tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,196,196,0,0,0,0,0,0,0,0,5492.258383,130.888914,3149.111086,1861.617313,19.49,20,1,100,24960.0,1810.7685,6.3014,50.8889,0.0,0.0,0.0,0.0,0,0.010204,1.000719,0.499069,0.496551,1.004081,0.398881,0.299783,0.298909,0.500353,0.049901,0.199472,0.300445,0.500196,0.399428,0.049608,0.001454,0.000398,0.000408,0.001672,0.000234,0.000124,0.000142,0.000344,5e-06,6.3e-05,0.000139,0.000473,0.000274,1.4e-05
40,199,199,0,0,0,0,0,0,0,0,5684.259214,192.437829,3087.562171,2240.791212,38.93,40,2,100,49920.0,3641.8455,16.4018,112.4378,0.0,0.0,0.0,0.0,3,0.015075,0.999615,0.498783,0.496429,1.004987,0.399051,0.299623,0.298878,0.500597,0.049956,0.199583,0.300201,0.500621,0.399514,0.049536,0.001519,0.000399,0.000406,0.001728,0.000245,0.000124,0.000141,0.000352,5e-06,6.4e-05,0.000144,0.000507,0.000273,1.4e-05
60,202,202,0,0,0,0,0,0,0,0,5579.448739,233.39988,3046.60012,2419.118351,58.19,60,2,100,74880.0,5490.1755,29.5275,153.3999,0.0,0.0,0.0,0.0,83,0.019802,0.999493,0.498953,0.496544,1.005264,0.399114,0.299812,0.2989,0.500086,0.049965,0.199673,0.30016,0.500708,0.399217,0.049497,0.001533,0.000396,0.000421,0.001756,0.000243,0.000131,0.00014,0.000371,6e-06,7.1e-05,0.000148,0.000501,0.000284,1.4e-05
80,202,205,3,3,0,0,0,3,2.435274,0.0,5386.079198,236.97938,3040.585346,2489.805108,77.21,80,2,100,99840.0,7355.403,44.5576,160.7829,0.0,0.0,0.0,0.0,30,0.019802,0.998823,0.499283,0.497296,1.004884,0.399383,0.299957,0.298967,0.499415,0.049945,0.199902,0.299972,0.500794,0.398901,0.049507,0.00146,0.000391,0.000445,0.001736,0.000238,0.000132,0.000131,0.000377,5e-06,7.2e-05,0.00014,0.000501,0.000291,1.4e-05
100,195,212,17,17,0,0,0,7,3.722599,0.0,5248.546781,225.67534,3050.602061,2516.264175,93.86,100,2,100,124800.0,9234.8895,59.6839,165.968,0.0,0.0,0.0,0.0,4,0.020513,0.99957,0.498979,0.497016,1.005077,0.399665,0.300122,0.299124,0.498515,0.049962,0.200392,0.299334,0.501318,0.398676,0.049302,0.001546,0.000368,0.00044,0.001597,0.000222,0.00013,0.000128,0.00039,6e-06,7.2e-05,0.000137,0.000482,0.000295,1.4e-05
120,190,219,29,29,0,0,0,5,1.965254,0.0,5234.553497,219.064138,3058.970608,2525.929492,109.78,120,2,100,149760.0,11136.1695,74.8102,173.9344,0.0,0.0,0.0,0.0,4,0.026316,0.998046,0.499558,0.497829,1.005078,0.399775,0.299497,0.2988,0.499944,0.049983,0.199783,0.298729,0.500809,0.398653,0.049204,0.001397,0.000383,0.000473,0.001569,0.000206,0.000127,0.000124,0.000373,6e-06,7.6e-05,0.000123,0.000459,0.000284,1.4e-05
140,190,225,35,35,0,0,0,6,2.687838,0.0,5233.827848,219.88012,3057.432042,2529.430737,125.69,140,3,98,174720.0,13039.7625,89.9365,182.2275,0.0,0.0,0.0,0.0,3,0.026316,0.996383,0.498623,0.499003,1.006661,0.399997,0.298971,0.298356,0.500826,0.049926,0.200117,0.298326,0.502144,0.399002,0.049101,0.001314,0.000411,0.000505,0.001547,0.000197,0.00014,0.000133,0.000429,6e-06,7.4e-05,0.00013,0.000448,0.000265,1.4e-05
160,186,230,44,44,0,0,0,9,6.487051,0.0,5235.052694,215.954246,3057.558703,2530.697334,141.3,160,3,95,199680.0,14926.116,105.0629,189.0008,0.0,0.0,0.0,0.0,3,0.026882,0.995399,0.498388,0.499676,1.007629,0.399514,0.298891,0.298069,0.500733,0.049925,0.200126,0.29812,0.502523,0.399043,0.049285,0.001462,0.000403,0.000489,0.00154,0.00019,0.000142,0.000132,0.000436,6e-06,7.8e-05,0.000135,0.000422,0.000299,1.3e-05
180,183,231,48,48,0,0,0,7,5.06083,0.0,5260.419379,215.901364,3059.037807,2531.156414,160.1,180,3,94,224640.0,16803.996,120.1892,193.9042,0.0,0.0,0.0,0.0,3,0.027322,0.99434,0.498894,0.500369,1.008219,0.399117,0.298666,0.298387,0.500619,0.049889,0.199989,0.298083,0.501963,0.399164,0.049292,0.001425,0.000445,0.000536,0.001443,0.000183,0.000144,0.00013,0.000438,6e-06,7.7e-05,0.000133,0.000433,0.000302,1.3e-05
200,184,236,52,52,0,0,0,8,5.408654,0.0,5303.825352,215.335413,3059.255933,2533.45182,175.16,200,3,93,249600.0,18704.3385,132.7387,198.199,0.0,0.0,0.0,0.0,91,0.038043,0.994011,0.498603,0.50032,1.008982,0.398376,0.298877,0.298347,0.500338,0.049909,0.200031,0.297949,0.501962,0.398704,0.049132,0.001472,0.000448,0.000526,0.001571,0.000189,0.000144,0.000131,0.000433,6e-06,8.3e-05,0.000136,0.00044,0.000291,1.2e-05
220,179,236,57,57,0,0,0,12,10.07396,0.0,5358.020271,212.250127,3057.675914,2535.340791,194.46,220,3,88,274560.0,20591.0265,143.9007,201.0811,0.0,0.0,0.0,0.0,91,0.039106,0.993995,0.498665,0.500177,1.009188,0.398494,0.298975,0.298322,0.500504,0.049912,0.200175,0.29798,0.50206,0.39867,0.049109,0.001499,0.000459,0.000539,0.001606,0.000192,0.000147,0.000135,0.000442,6e-06,8.4e-05,0.000139,0.000451,0.000297,1.2e-05
240,178,239,61,61,0,0,0,15,10.626812,0.0,5413.336206,209.074719,3060.298469,2536.194233,210.38,240,3,87,299520.0,22454.6685,155.0627,202.8716,0.0,0.0,0.0,0.0,91,0.044944,0.993094,0.498422,0.499872,1.008367,0.3988,0.299084,0.298601,0.500317,0.049863,0.200131,0.29796,0.502107,0.398448,0.049168,0.001441,0.000453,0.000546,0.001587,0.000191,0.000151,0.000136,0.000449,6e-06,8.3e-05,0.000142,0.000459,0.000293,1.2e-05
260,180,242,62,62,0,0,0,16,9.880247,0.0,5464.955324,210.508748,3059.611005,2536.565897,227.01,260,3,87,324480.0,24311.0385,166.2248,205.4699,0.0,0.0,0.0,0.0,30,0.044444,0.993804,0.498091,0.499695,1.007981,0.398381,0.298891,0.298869,0.500643,0.049863,0.200045,0.298292,0.502054,0.398403,0.049202,0.001463,0.000488,0.000563,0.001549,0.000188,0.000153,0.000139,0.000491,6e-06,8.1e-05,0.000149,0.000473,0.000292,1.1e-05
