tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,190,190,0,0,0,0,0,0,0,0,5618.472817,130.280712,3149.719288,1894.791617,19.46,20,1,100,24960.0,1911.693,10.2123,50.2807,0.0,0.0,0.0,0.0,0,0.010526,1.003145,0.500703,0.498418,0.999318,0.399795,0.302397,0.302115,0.499395,0.050007,0.201385,0.301475,0.503701,0.400732,0.050152,0.001842,0.000412,0.000508,0.001229,0.000239,0.000179,0.000156,0.000376,4e-06,7.5e-05,9.3e-05,0.000453,0.000318,1.3e-05
40,192,192,0,0,0,0,0,0,0,0,5962.523475,188.039304,3091.960696,2278.112669,39.06,40,2,100,49920.0,3848.193,26.7969,108.0393,0.0,0.0,0.0,0.0,17,0.015625,1.002825,0.500781,0.498383,0.99909,0.400035,0.302472,0.302211,0.499584,0.050011,0.201296,0.301636,0.503387,0.400472,0.050087,0.001845,0.000413,0.000504,0.001233,0.000245,0.000178,0.000155,0.000382,4e-06,7.5e-05,9.9e-05,0.00046,0.000321,1.4e-05
60,200,200,0,0,0,0,0,0,0,0,6018.681494,226.090447,3053.909553,2457.332354,57.3,60,2,100,74880.0,5805.726,49.1097,146.0904,0.0,0.0,0.0,0.0,5,0.015,1.002878,0.501601,0.499356,0.999999,0.399975,0.30251,0.30241,0.499414,0.049926,0.201511,0.302047,0.503561,0.400253,0.050208,0.001974,0.000553,0.000549,0.001297,0.000277,0.000205,0.000183,0.000437,5e-06,8.9e-05,0.000129,0.000489,0.000349,1.5e-05
80,204,206,2,2,0,0,0,2,1.073282,0.0,5985.287626,235.414428,3043.51229,2528.938447,75.35,80,2,100,99840.0,7796.8305,73.4131,157.747,0.0,0.0,0.0,0.0,5,0.019608,1.004052,0.501452,0.49853,0.999495,0.399727,0.302635,0.30237,0.499571,0.049984,0.201247,0.302082,0.503851,0.400615,0.050234,0.002055,0.00055,0.000553,0.001316,0.000285,0.000201,0.000181,0.000438,5e-06,9e-05,0.000134,0.000491,0.000366,1.6e-05
100,203,216,13,13,0,0,0,3,2.138103,0.0,5954.042462,231.072825,3046.789072,2554.766247,90.79,100,3,100,124800.0,9803.0205,99.4233,166.5747,0.0,0.0,0.0,0.0,15,0.034483,1.002089,0.502215,0.498751,0.999646,0.399292,0.302324,0.302643,0.500168,0.050052,0.201056,0.302159,0.503393,0.400726,0.05045,0.00219,0.000592,0.000588,0.001366,0.000306,0.000193,0.000208,0.000446,5e-06,8.7e-05,0.000164,0.000479,0.000436,1.7e-05
120,198,224,26,26,0,0,0,10,4.874508,0.0,5966.347417,225.513879,3049.611613,2561.788618,106.1,120,3,99,149760.0,11809.2105,128.8014,176.7123,0.0,0.0,0.0,0.0,15,0.040404,0.999844,0.502487,0.496993,0.998123,0.399364,0.302248,0.301965,0.500594,0.050146,0.201051,0.30154,0.503267,0.400923,0.050577,0.002215,0.000556,0.000601,0.00128,0.000314,0.000186,0.000208,0.000429,6e-06,7.9e-05,0.00017,0.000497,0.000456,1.9e-05
140,193,230,37,37,0,0,0,10,4.998999,0.0,6040.091509,221.291668,3053.709333,2561.197337,121.62,140,3,98,174720.0,13809.1365,162.1567,185.9687,0.0,0.0,0.0,0.0,15,0.051813,0.999286,0.503608,0.497283,0.998982,0.399845,0.302483,0.30199,0.500228,0.050285,0.200661,0.301596,0.502664,0.400162,0.050723,0.002091,0.000573,0.000568,0.00129,0.000342,0.000182,0.000202,0.000451,6e-06,8.5e-05,0.000181,0.00054,0.000484,2.1e-05
160,197,234,37,37,0,0,0,5,1.75439,0.0,6119.012086,228.432618,3049.812991,2559.324998,138.83,160,3,98,199680.0,15816.6765,196.9713,193.1097,0.0,0.0,0.0,0.0,15,0.050761,0.999604,0.504059,0.497697,0.999494,0.399791,0.302702,0.301774,0.500365,0.050254,0.200673,0.301814,0.502721,0.400518,0.050784,0.002243,0.000648,0.00059,0.001354,0.00036,0.000182,0.000204,0.000453,6e-06,8.5e-05,0.000205,0.000537,0.000503,2.1e-05
180,200,239,39,39,0,0,0,6,2.721093,0.0,6158.774695,233.442167,3043.83674,2556.902356,154.94,180,3,97,224640.0,17836.233,233.4034,200.5599,0.0,0.0,0.0,0.0,15,0.05,0.999464,0.503401,0.498216,1.000025,0.399656,0.302854,0.302093,0.501083,0.050221,0.200683,0.301659,0.503429,0.401135,0.050779,0.002358,0.000686,0.000605,0.001376,0.000364,0.000186,0.000199,0.000483,6e-06,9.5e-05,0.000207,0.000574,0.000545,2.1e-05
200,204,248,44,44,0,0,0,9,5.906996,0.0,6152.60597,236.28444,3037.808564,2554.721371,167.66,200,3,94,249600.0,19852.5315,271.062,209.1698,0.074,0.0,0.0,0.0,15,0.053922,0.999261,0.50295,0.497906,1.000802,0.399786,0.302903,0.301624,0.501426,0.050247,0.200336,0.301577,0.504147,0.401147,0.050755,0.002358,0.000754,0.000597,0.001545,0.000394,0.000199,0.000201,0.000513,6e-06,0.000103,0.000213,0.00063,0.000565,2.4e-05
