tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.010152,2,1.038931,0.310387,0.40657,0.051769
20,1,2,0.010152,2,1.001768,0.294633,0.375042,0.05352
20,2,2,0.010152,2,0.9388,0.28017,0.391307,0.048768
20,3,2,0.010152,2,0.964206,0.307273,0.370767,0.043446
20,4,2,0.010152,2,0.980194,0.30065,0.384117,0.047575
20,5,2,0.010152,2,0.9668,0.30936,0.392897,0.052767
20,6,2,0.010152,2,0.98295,0.300121,0.384824,0.052022
20,7,2,0.010152,2,0.979185,0.322477,0.386686,0.051409
40,3,3,0.015,3,0.957399,0.30357,0.373812,0.041159
40,5,3,0.015,3,0.965772,0.299411,0.395536,0.053371
40,41,3,0.015,3,0.919186,0.309054,0.396739,0.054453
40,0,2,0.01,2,1.038931,0.310387,0.40657,0.051769
40,1,2,0.01,2,1.001768,0.294633,0.375042,0.05352
40,2,2,0.01,2,0.9388,0.28017,0.391307,0.048768
40,4,2,0.01,2,0.980194,0.30065,0.384117,0.047575
40,6,2,0.01,2,0.98295,0.300121,0.384824,0.052022
60,3,4,0.019324,4,0.957593,0.311301,0.374676,0.04148
60,44,4,0.019324,4,1.045797,0.315523,0.40339,0.052802
60,5,3,0.014493,3,0.965772,0.299411,0.395536,0.053371
60,19,3,0.014493,3,0.973029,0.302214,0.390514,0.047942
60,41,3,0.014493,3,0.919186,0.309054,0.396739,0.054453
60,51,3,0.014493,3,1.008042,0.318531,0.384098,0.055362
60,77,3,0.014493,3,1.047742,0.299112,0.378176,0.050242
60,88,3,0.014493,3,1.032455,0.308431,0.388501,0.046285
80,3,4,0.019512,4,0.957593,0.311301,0.374676,0.04148
80,5,4,0.019512,4,0.961008,0.292774,0.394521,0.052887
80,41,4,0.019512,4,0.937499,0.305642,0.400473,0.054634
80,44,4,0.019512,4,1.045797,0.315523,0.40339,0.052802
80,77,4,0.019512,4,1.072659,0.298547,0.386768,0.049597
80,19,3,0.014634,3,0.973029,0.302214,0.390514,0.047942
80,51,3,0.014634,3,1.008042,0.318531,0.384098,0.055362
80,73,3,0.014634,3,0.960028,0.299305,0.393034,0.050068
100,5,6,0.029557,6,0.952513,0.293478,0.396652,0.053924
100,3,4,0.019704,4,0.957593,0.311301,0.374676,0.04148
100,41,4,0.019704,4,0.937499,0.305642,0.400473,0.054634
100,44,4,0.019704,4,1.045797,0.315523,0.40339,0.052802
100,51,4,0.019704,4,1.019653,0.313191,0.380221,0.054671
100,73,4,0.019704,4,0.961564,0.297912,0.410856,0.050976
100,77,4,0.019704,4,1.072659,0.298547,0.386768,0.049597
100,88,4,0.019704,4,1.028654,0.302638,0.394235,0.047913
120,5,6,0.030303,6,0.952513,0.293478,0.396652,0.053924
120,44,6,0.030303,6,1.051857,0.315638,0.410685,0.053942
120,3,5,0.025253,5,0.980657,0.310783,0.371514,0.042638
120,15,4,0.020202,4,0.986046,0.300249,0.370977,0.043929
120,19,4,0.020202,4,0.988842,0.303414,0.390749,0.047425
120,41,4,0.020202,4,0.937499,0.305642,0.400473,0.054634
120,51,4,0.020202,4,1.019653,0.313191,0.380221,0.054671
120,73,4,0.020202,4,0.961564,0.297912,0.410856,0.050976
140,5,6,0.031088,6,0.952513,0.293478,0.396652,0.053924
