tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,197,197,0,0,0,0,0,0,0,0,5584.47087,130.781256,3149.218744,1748.502273,19.49,20,1,100,24960.0,1901.6385,10.0557,50.7813,0.0,0.0,0.0,0.0,0,0.010152,0.994698,0.498731,0.499221,0.999499,0.397582,0.299361,0.29868,0.498783,0.049845,0.200171,0.299175,0.500631,0.400265,0.049768,0.001556,0.000379,0.000436,0.001689,0.000237,0.000146,0.000118,0.000378,4e-06,6.8e-05,0.00012,0.000387,0.000262,1.6e-05
40,200,200,0,0,0,0,0,0,0,0,5875.263356,192.271762,3087.728238,2101.984831,38.92,40,2,100,49920.0,3826.503,26.287,112.2718,0.0,0.0,0.0,0.0,3,0.015,0.993812,0.498892,0.4994,0.999576,0.397531,0.299403,0.298612,0.49912,0.04983,0.200213,0.299559,0.500397,0.400109,0.049764,0.001595,0.000386,0.000438,0.001735,0.000234,0.00015,0.000117,0.000387,4e-06,7e-05,0.000132,0.000386,0.000261,1.7e-05
60,207,207,0,0,0,0,0,0,0,0,5879.8488,233.210899,3046.789101,2267.347318,57.3,60,2,100,74880.0,5786.247,48.0203,153.2109,0.0,0.0,0.0,0.0,3,0.019324,0.99467,0.499129,0.499654,0.999409,0.397663,0.300097,0.299059,0.499006,0.049821,0.200445,0.299833,0.500054,0.399504,0.049799,0.00163,0.000402,0.000463,0.001862,0.00024,0.000163,0.000142,0.000397,5e-06,7.2e-05,0.00018,0.000417,0.000275,1.7e-05
80,205,211,6,6,0,0,0,5,3.380158,0.0,5786.536224,235.679126,3040.940716,2332.027761,75.88,80,2,100,99840.0,7757.466,73.7547,163.1036,0.0,0.0,0.0,0.0,3,0.019512,0.993877,0.499526,0.50064,0.999929,0.397481,0.299647,0.298811,0.498802,0.049872,0.200546,0.299956,0.499556,0.399528,0.04986,0.001698,0.000391,0.00045,0.001856,0.000249,0.000157,0.000143,0.000425,5e-06,7.6e-05,0.000181,0.000442,0.000274,1.7e-05
100,203,219,16,16,0,0,0,5,4.087441,0.0,5746.056997,232.426592,3043.485967,2354.089598,92.36,100,3,100,124800.0,9757.383,102.7582,171.7957,0.0,0.0,0.0,0.0,5,0.029557,0.993335,0.498522,0.500776,0.998923,0.397564,0.29952,0.298978,0.498524,0.049739,0.200695,0.300873,0.499032,0.399441,0.050091,0.001615,0.00037,0.000439,0.001893,0.000255,0.000158,0.000138,0.000386,5e-06,7.6e-05,0.000198,0.000454,0.000323,1.8e-05
120,198,225,27,27,0,0,0,5,2.584286,0.0,5761.544742,228.473593,3048.942121,2357.140003,108.93,120,3,98,149760.0,11762.043,138.6964,180.8166,0.0,0.0,0.0,0.0,5,0.030303,0.994807,0.499,0.500476,0.997379,0.398103,0.300034,0.298807,0.497859,0.049714,0.200559,0.301813,0.498479,0.399383,0.0501,0.001732,0.000376,0.000436,0.001977,0.000258,0.000152,0.000136,0.000397,5e-06,8e-05,0.000222,0.000436,0.000349,1.8e-05
140,193,228,35,35,0,0,0,5,3.18435,0.0,5830.090697,225.194186,3051.621464,2352.817628,126.78,140,3,97,174720.0,13765.4655,181.5211,187.0304,0.0,0.0,0.0,0.0,5,0.031088,0.993795,0.499,0.500264,0.998834,0.39837,0.300019,0.299057,0.4978,0.04964,0.201039,0.302237,0.498862,0.400055,0.05023,0.001831,0.00038,0.000445,0.002089,0.000292,0.000163,0.00014,0.000396,5e-06,8.1e-05,0.000223,0.00044,0.000365,1.9e-05
160,197,236,39,39,0,0,0,6,2.832843,0.0,5901.006811,226.382789,3050.784368,2347.914747,140.93,160,3,96,199680.0,15768.4815,227.8158,193.05,0.0,0.0,0.0,0.0,5,0.035533,0.991698,0.498803,0.500292,0.999263,0.398566,0.300319,0.299622,0.498041,0.049595,0.201362,0.302978,0.498179,0.40032,0.050255,0.001935,0.00043,0.000469,0.002065,0.000301,0.000167,0.000151,0.000427,6e-06,7.9e-05,0.000238,0.000449,0.00039,2.1e-05
180,197,241,44,44,0,0,0,8,5.821906,0.0,5966.717244,228.333448,3045.844646,2342.727575,156.72,180,3,93,224640.0,17772.3135,277.364,200.9555,0.0,0.0,0.0,0.0,44,0.040609,0.991872,0.498503,0.500073,0.998381,0.398498,0.300584,0.30033,0.497955,0.049711,0.201429,0.303265,0.498113,0.399971,0.050224,0.002125,0.00046,0.000482,0.00213,0.000317,0.000167,0.000163,0.00044,6e-06,8.2e-05,0.000245,0.000451,0.000406,2.1e-05
200,196,245,49,49,0,0,0,9,5.855854,0.0,6030.95356,228.963058,3045.181088,2337.093993,172.76,200,3,91,249600.0,19762.995,330.1808,207.4339,0.0728,0.0,0.0,0.0,44,0.045918,0.991728,0.49825,0.499442,0.998208,0.398668,0.300639,0.300394,0.498185,0.049711,0.20123,0.303664,0.497956,0.399958,0.050226,0.002257,0.000466,0.000504,0.002159,0.000316,0.000172,0.000164,0.000471,6e-06,8.3e-05,0.000253,0.000468,0.000416,2.2e-05
220,196,248,52,52,0,0,0,10,5.486524,0.0,6082.44216,230.053415,3044.460061,2330.95817,189.62,220,3,91,274560.0,21749.775,386.1655,212.1195,0.0728,0.0,0.0,0.0,44,0.045918,0.992063,0.498243,0.499018,0.999125,0.399333,0.300339,0.300198,0.497806,0.049701,0.201153,0.303416,0.498204,0.400036,0.050245,0.002251,0.000473,0.000489,0.002226,0.000311,0.000164,0.000163,0.000459,6e-06,8.4e-05,0.000251,0.000453,0.00041,2.2e-05
240,199,255,56,56,0,0,0,11,6.011317,0.0,6152.880896,229.062911,3044.925772,2322.139171,203.38,240,2,90,299520.0,23755.53,447.9822,215.9651,0.1853,0.0,0.0,0.0,5,0.040201,0.990062,0.498449,0.498862,0.999291,0.399487,0.30069,0.300101,0.497719,0.049592,0.201412,0.302822,0.498294,0.400153,0.050168,0.002238,0.000497,0.000503,0.0024,0.000308,0.000168,0.000174,0.000459,7e-06,8.7e-05,0.000215,0.000488,0.000475,2.5e-05
260,200,258,58,58,0,0,0,11,5.532084,0.0,6263.282083,231.892729,3042.575187,2312.271878,220.25,260,2,90,324480.0,25797.45,515.4206,221.0584,0.3043,0.0,0.0,0.0,94,0.045,0.990062,0.498446,0.49847,1.001403,0.399347,0.300944,0.29967,0.497387,0.049587,0.201303,0.302406,0.498061,0.400151,0.050182,0.002219,0.000514,0.000528,0.002849,0.000304,0.000172,0.000192,0.000458,7e-06,8.7e-05,0.000199,0.0005,0.000472,2.5e-05
280,200,262,62,62,0,0,0,13,6.658247,0.0,6357.373853,231.475937,3041.865816,2302.557053,236.22,280,2,89,349440.0,27831.189,586.3049,225.3983,0.3573,0.0,0.0,0.0,5,0.045,0.988809,0.498371,0.498271,1.000774,0.399306,0.301166,0.300081,0.497118,0.049546,0.20139,0.30237,0.498813,0.399999,0.050194,0.002246,0.000538,0.000528,0.002822,0.000302,0.000176,0.000204,0.000476,7e-06,8.9e-05,0.000199,0.000546,0.000477,2.5e-05
300,202,266,64,64,0,0,0,11,6.043716,0.0,6428.433501,234.485311,3039.470973,2292.105629,252.21,300,3,89,374400.0,29864.019,660.2921,230.7343,0.4203,0.0,0.0,0.0,5,0.049505,0.988426,0.49868,0.49895,1.00017,0.399307,0.30135,0.299966,0.496833,0.049479,0.201322,0.302733,0.499029,0.400356,0.050221,0.002296,0.00055,0.000583,0.002823,0.00031,0.00018,0.000198,0.000472,7e-06,8.4e-05,0.000203,0.000555,0.000465,2.7e-05
320,199,268,69,69,0,0,0,12,6.621834,0.0,6512.053122,233.508502,3039.869664,2278.942319,270.75,320,3,88,399360.0,31888.7655,736.4758,235.1866,0.6095,0.0,0.0,0.0,94,0.050251,0.990085,0.498949,0.49911,0.998094,0.39906,0.301412,0.299634,0.496794,0.04952,0.201112,0.3026,0.499101,0.400115,0.050198,0.002202,0.000548,0.000592,0.002685,0.000314,0.000179,0.000198,0.000442,7e-06,8.4e-05,0.000195,0.000561,0.000451,2.8e-05
340,201,272,71,71,0,0,0,14,6.787423,0.0,6567.101797,235.008868,3038.203709,2271.072961,286.68,340,3,88,424320.0,33915.3315,803.5351,239.0627,0.6095,0.0,0.0,0.0,5,0.049751,0.989803,0.498754,0.49927,0.998952,0.398982,0.301952,0.300343,0.496758,0.049479,0.200854,0.302342,0.498861,0.399959,0.050109,0.00216,0.000554,0.000605,0.003022,0.000315,0.000186,0.00021,0.00044,6e-06,8.7e-05,0.0002,0.000561,0.000441,2.7e-05
360,194,276,82,82,0,0,0,18,7.932073,0.0,6679.306289,226.06018,3046.007746,2266.683748,301.85,360,3,87,449280.0,35960.724,868.7361,242.8768,0.6936,0.0,0.0,0.0,94,0.056701,0.989634,0.499391,0.499896,0.998884,0.399683,0.302382,0.300112,0.49688,0.049465,0.200994,0.302421,0.498645,0.400547,0.050071,0.002241,0.000542,0.000616,0.003067,0.000321,0.000187,0.000202,0.000419,7e-06,9e-05,0.000201,0.00056,0.000447,2.8e-05
380,196,282,86,86,0,0,0,17,8.08025,0.0,6834.179803,226.444909,3045.474841,2261.156244,312.1,380,3,87,474240.0,38031.2175,936.7114,247.9072,0.6936,0.0,0.0,0.0,94,0.056122,0.989612,0.499664,0.500116,0.997301,0.40002,0.30238,0.300491,0.496933,0.049421,0.200591,0.301622,0.498973,0.400398,0.05012,0.002385,0.000558,0.00063,0.003047,0.000317,0.000184,0.000218,0.000436,7e-06,9.6e-05,0.000209,0.000553,0.000461,3e-05
400,198,285,87,87,0,0,0,18,7.078924,0.0,7021.461035,229.860136,3043.06094,2255.179378,326.98,400,3,87,499200.0,40136.1165,1006.276,252.5329,0.6936,0.0,0.0,0.0,94,0.055556,0.990043,0.499678,0.499814,0.996712,0.400512,0.302291,0.300337,0.497765,0.049472,0.200641,0.30166,0.49935,0.400583,0.050122,0.002384,0.000554,0.000619,0.003052,0.000394,0.000181,0.000213,0.000493,7e-06,9.8e-05,0.000209,0.000564,0.000454,3.1e-05
420,203,293,90,90,0,0,0,19,6.654633,0.0,7200.855601,231.129516,3042.215851,2248.045746,334.67,420,3,87,524160.0,42263.331,1076.4455,256.9946,0.8814,0.0,0.0,0.0,94,0.059113,0.990508,0.500552,0.501016,0.996792,0.400478,0.302371,0.299881,0.497891,0.049386,0.200817,0.301612,0.498977,0.400249,0.050134,0.002339,0.000566,0.000649,0.003084,0.00041,0.000182,0.00022,0.000525,7e-06,9.9e-05,0.000213,0.000572,0.000457,3.2e-05
440,208,299,91,91,0,0,0,18,4.971987,0.0,7347.491999,238.923936,3036.104077,2235.116913,345.77,440,3,87,549120.0,44397.471,1147.8286,265.7414,1.1082,0.0,0.0,0.0,94,0.057692,0.991177,0.500611,0.500475,0.997188,0.399946,0.302574,0.299848,0.498591,0.049401,0.200533,0.301659,0.499046,0.400445,0.050121,0.002381,0.000568,0.000586,0.003122,0.000405,0.000182,0.000219,0.00055,7e-06,9.8e-05,0.00021,0.000568,0.000448,3.1e-05
460,213,307,94,94,0,0,0,18,4.497712,0.0,7420.198444,243.951705,3031.550583,2233.557567,354.39,460,3,87,574080.0,46531.611,1202.0049,274.3331,1.3198,0.0,0.0,0.0,44,0.046948,0.990584,0.49996,0.500084,0.997473,0.399378,0.302601,0.299888,0.499,0.049462,0.200647,0.301891,0.4987,0.400794,0.050298,0.002354,0.00062,0.000616,0.003144,0.000416,0.000197,0.000224,0.000572,7e-06,0.000102,0.000213,0.000599,0.000457,3.2e-05
480,216,313,97,97,0,0,0,17,5.058155,0.0,7477.701447,249.608333,3025.333513,2231.7441,365.57,480,3,87,599040.0,48701.7285,1257.2342,283.1544,1.4351,0.0,0.0,0.0,44,0.050926,0.992232,0.500121,0.49987,0.997941,0.398893,0.302862,0.300003,0.499161,0.049581,0.200787,0.301653,0.498017,0.400538,0.050331,0.002254,0.000618,0.000628,0.003086,0.000417,0.000208,0.000228,0.00056,7e-06,0.00011,0.000208,0.000587,0.000453,3.1e-05
500,219,320,101,101,0,0,0,18,4.446985,0.0,7517.348562,252.697338,3022.855677,2227.690512,374.86,500,3,87,624000.0,50882.913,1316.3057,290.3819,1.8087,0.0,0.0,0.0,44,0.050228,0.993557,0.500167,0.500291,0.999475,0.398759,0.303106,0.299904,0.499295,0.049702,0.200489,0.301524,0.497502,0.400311,0.050228,0.002264,0.000616,0.000667,0.003124,0.000392,0.000222,0.000243,0.000558,6e-06,0.000111,0.000212,0.000599,0.000472,3.1e-05
520,222,328,106,106,0,0,0,17,4.15639,0.0,7549.537668,255.84612,3019.99749,2224.238743,382.96,520,3,87,648960.0,53084.706,1377.0517,299.0092,1.8874,0.0,0.0,0.0,44,0.04955,0.996839,0.500055,0.500714,0.999362,0.398543,0.303573,0.299983,0.49924,0.049699,0.200423,0.301634,0.496539,0.40015,0.050341,0.002232,0.000637,0.00067,0.003186,0.000396,0.00023,0.000244,0.000559,7e-06,0.00011,0.000233,0.000589,0.00046,3.3e-05
540,227,334,107,107,0,0,0,16,3.040114,0.0,7563.632176,263.344425,3013.615461,2222.342886,393.61,540,3,87,673920.0,55305.165,1437.5966,307.6363,1.9931,0.0,0.0,0.0,44,0.044053,0.997144,0.500158,0.500131,1.000298,0.398495,0.30348,0.299667,0.499123,0.049691,0.200539,0.301677,0.496813,0.399812,0.050291,0.002308,0.000715,0.000683,0.003132,0.000401,0.000226,0.000248,0.000561,7e-06,0.000112,0.00023,0.000594,0.000459,3.3e-05
560,226,340,114,114,0,0,0,20,4.231684,0.0,7536.618068,263.929236,3011.83908,2220.859312,404.88,560,3,87,698880.0,57531.375,1498.1526,316.298,2.1592,0.0,0.0,0.0,5,0.039823,0.997298,0.499304,0.500911,1.000199,0.398344,0.303165,0.299612,0.500172,0.049739,0.200665,0.301368,0.497175,0.399236,0.050418,0.002188,0.000691,0.00072,0.002988,0.000389,0.00023,0.00023,0.000555,6e-06,0.000108,0.00022,0.000604,0.000404,3.4e-05
