tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
10780,487,5010,4523,4523,0,0,0,75,12.605872,0.0,16706.589465,580.586697,2686.807431,2270.189609,3099.63,10780,15,81,1.021889,0.507704,0.506751,0.991577,0.399408,0.338246,0.303912,0.501485,0.050093,0.201686,0.297799,0.500355,0.401325,0.052733,0.011,0.002943,0.003664,0.013175,0.001866,0.003058,0.001578,0.003396,3.9e-05,0.000447,0.001047,0.004203,0.002319,0.000151
10800,496,5025,4529,4529,0,0,0,76,14.770153,0.0,16663.552627,589.565889,2675.663958,2267.123316,3054.6,10800,15,81,1.022526,0.507865,0.507497,0.992255,0.400468,0.338596,0.303663,0.500698,0.050139,0.201157,0.297685,0.50088,0.400516,0.052921,0.011109,0.003018,0.003765,0.013485,0.00191,0.003159,0.001597,0.003434,3.9e-05,0.000445,0.001059,0.004223,0.002246,0.000156
10820,493,5033,4540,4540,0,0,0,71,14.945088,0.0,16632.327213,590.965423,2674.089489,2262.89074,3082.09,10820,15,81,1.022082,0.50791,0.506936,0.993039,0.400751,0.339211,0.303616,0.500267,0.050139,0.201287,0.297871,0.500864,0.400561,0.05299,0.010979,0.003019,0.003822,0.013647,0.001922,0.003284,0.001668,0.003485,3.8e-05,0.000445,0.001047,0.004155,0.00227,0.000154
10840,495,5049,4554,4554,0,0,0,73,14.982591,0.0,16571.259911,589.581445,2675.435964,2258.091656,3054.06,10840,14,81,1.022873,0.507756,0.506419,0.991036,0.400159,0.34026,0.302901,0.500151,0.050203,0.2012,0.297709,0.500417,0.400122,0.053064,0.011413,0.002886,0.00371,0.013222,0.001943,0.003354,0.001639,0.003519,3.8e-05,0.000461,0.001011,0.004043,0.002284,0.000157
10860,498,5064,4566,4566,0,0,0,70,14.125801,0.0,16527.03462,589.814967,2676.059231,2255.473731,3035.61,10860,15,81,1.020133,0.509361,0.507426,0.989581,0.400996,0.340294,0.303606,0.500729,0.05028,0.201251,0.297978,0.50064,0.400192,0.052824,0.011053,0.002906,0.00386,0.013492,0.002021,0.003391,0.001638,0.003588,3.9e-05,0.000467,0.001027,0.004038,0.002304,0.000153
10880,498,5078,4580,4580,0,0,0,76,16.623935,0.0,16444.531287,591.873439,2671.502626,2254.906666,3036.15,10880,16,81,1.020138,0.508275,0.507906,0.988142,0.401735,0.341378,0.303423,0.499279,0.050284,0.201358,0.297657,0.499841,0.402627,0.053057,0.011209,0.002919,0.003845,0.013753,0.002201,0.003526,0.001578,0.003622,4e-05,0.000466,0.001049,0.004104,0.002611,0.00016
10900,500,5094,4594,4594,0,0,0,74,13.501959,0.0,16395.678438,591.207911,2675.29013,2254.959587,3028.66,10900,16,81,1.021643,0.507827,0.507345,0.988682,0.401344,0.340491,0.303142,0.499233,0.050311,0.201216,0.297516,0.499554,0.402038,0.052889,0.011202,0.00296,0.003683,0.013559,0.00205,0.003382,0.00154,0.003466,4e-05,0.000471,0.001062,0.00401,0.002579,0.000157
10920,500,5104,4604,4604,0,0,0,66,11.937693,0.0,16338.702673,597.525732,2670.536575,2255.62814,3042.88,10920,16,81,1.020322,0.507192,0.507368,0.98761,0.401193,0.340865,0.304011,0.498644,0.050355,0.20112,0.297382,0.499037,0.401831,0.05278,0.011035,0.002936,0.003651,0.01353,0.002048,0.00343,0.001549,0.00359,4.1e-05,0.000471,0.001057,0.004034,0.002564,0.000156
10940,493,5117,4624,4624,0,0,0,75,15.740717,0.0,16283.608532,587.674468,2676.584815,2262.040708,3051.63,10940,16,81,1.019286,0.507309,0.508141,0.988853,0.400883,0.340937,0.305469,0.499024,0.05044,0.201417,0.29694,0.498166,0.401955,0.052682,0.010799,0.002994,0.003765,0.013321,0.002054,0.003381,0.001611,0.003699,4e-05,0.000464,0.00105,0.004044,0.002538,0.000156
10960,497,5132,4635,4635,0,0,0,73,12.452703,0.0,16265.66036,589.957058,2677.590239,2267.756069,3013.44,10960,16,81,1.018199,0.507552,0.508398,0.990304,0.400511,0.341748,0.305268,0.498712,0.050454,0.201148,0.296829,0.498238,0.401469,0.052594,0.010768,0.003003,0.00379,0.012816,0.002106,0.003412,0.001626,0.003704,4.1e-05,0.000472,0.001025,0.004121,0.002547,0.000152
