seed,final_tick,population,max_generation,n_lineages,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate
1,5000,490.0,8.0,56.0,0.038776,1.01363,0.49741,0.504087,1.007675,0.397508,0.333678,0.29514,0.501897,0.049924,0.197633,0.300885,0.492298,0.402693,0.050248
2,5000,480.0,12.0,52.0,0.04375,0.996638,0.495198,0.504421,1.01011,0.409383,0.343959,0.294085,0.507439,0.050298,0.195762,0.302311,0.496123,0.401797,0.05263
3,5000,443.0,7.0,52.0,0.047404,1.021404,0.500842,0.501291,0.996367,0.402776,0.336348,0.294776,0.492871,0.050046,0.202436,0.304149,0.500821,0.39834,0.051719

median,,480.0,8.0,52.0,0.04375,1.01363,0.49741,0.504087,1.007675,0.402776,0.336348,0.294776,0.501897,0.050046,0.197633,0.302311,0.496123,0.401797,0.051719
min,,443.0,7.0,52.0,0.038776,0.996638,0.495198,0.501291,0.996367,0.397508,0.333678,0.294085,0.492871,0.049924,0.195762,0.300885,0.492298,0.39834,0.050248
max,,490.0,12.0,56.0,0.047404,1.021404,0.500842,0.504421,1.01011,0.409383,0.343959,0.29514,0.507439,0.050298,0.202436,0.304149,0.500821,0.402693,0.05263
