tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,192,192,0,0,0,0,0,0,0,0,5628.715031,131.02578,3148.97422,1887.705569,19.48,20,1,100,24960.0,1924.3155,18.2056,51.0258,0.0,0.0,0.0,0.0,0,0.010417,1.000034,0.496777,0.499938,1.000449,0.399832,0.301188,0.301072,0.503936,0.050272,0.199547,0.302451,0.499459,0.398706,0.050181,0.001668,0.000407,0.000396,0.001593,0.000293,0.000118,0.000155,0.000389,4e-06,6.2e-05,0.000147,0.000368,0.000292,1.3e-05
40,194,194,0,0,0,0,0,0,0,0,5983.61767,190.024578,3089.975422,2263.908636,39.09,40,2,100,49920.0,3876.822,47.7106,110.0246,0.0,0.0,0.0,0.0,47,0.015464,0.998986,0.496765,0.500049,1.000822,0.399953,0.301243,0.301103,0.50416,0.050251,0.199522,0.30271,0.499418,0.398671,0.050177,0.001767,0.000403,0.000397,0.001667,0.000292,0.000121,0.000154,0.000394,4e-06,6.2e-05,0.00016,0.000365,0.00029,1.3e-05
60,196,196,0,0,0,0,0,0,0,0,6063.16531,228.866193,3051.133807,2438.457095,58.63,60,2,100,74880.0,5848.122,86.4254,148.8662,0.0,0.0,0.0,0.0,1,0.015306,0.999583,0.496651,0.499914,1.000107,0.39985,0.301339,0.30111,0.504002,0.050242,0.199697,0.302569,0.499478,0.398968,0.050163,0.001784,0.0004,0.000395,0.001718,0.000292,0.000121,0.000152,0.000398,4e-06,6.8e-05,0.000161,0.000375,0.000313,1.3e-05
80,196,198,2,2,0,0,0,2,1.462227,0.0,6067.63102,230.923098,3047.614675,2507.377084,77.88,80,3,100,99840.0,7819.422,129.0223,153.3755,0.0,0.0,0.0,0.0,47,0.02551,0.998706,0.497238,0.500376,1.000826,0.400127,0.30118,0.3013,0.504213,0.050274,0.199557,0.302436,0.499583,0.399112,0.050095,0.001831,0.000382,0.000402,0.001721,0.000282,0.00012,0.000155,0.000405,4e-06,6.7e-05,0.000163,0.000375,0.000303,1.3e-05
100,191,203,12,12,0,0,0,5,4.300603,0.0,6111.173051,222.8522,3052.847196,2533.606181,95.45,100,3,99,124800.0,9799.2675,171.6351,157.1652,0.0,0.0,0.0,0.0,47,0.026178,0.998508,0.498247,0.500202,1.000007,0.400034,0.301911,0.30117,0.503572,0.050219,0.199836,0.302539,0.499608,0.399473,0.05007,0.001814,0.000361,0.00039,0.001691,0.000282,0.000121,0.000151,0.000402,4e-06,7.1e-05,0.000173,0.000351,0.000302,1.3e-05
120,195,211,16,16,0,0,0,3,2.199872,0.0,6186.652344,223.94944,3053.850688,2542.605819,110.92,120,3,98,149760.0,11783.316,215.2216,163.1682,0.0,0.0,0.0,0.0,47,0.025641,0.997945,0.497795,0.501079,0.99998,0.400346,0.301632,0.301386,0.503241,0.050193,0.1996,0.302803,0.499687,0.399934,0.050265,0.001739,0.000421,0.000425,0.001718,0.000291,0.000127,0.000162,0.000407,4e-06,8.2e-05,0.000176,0.000357,0.000298,1.4e-05
140,196,215,19,19,0,0,0,5,2.625118,0.0,6242.332243,228.222313,3049.152569,2543.878994,128.33,140,3,98,174720.0,13772.676,261.6906,170.9936,0.0,0.0,0.0,0.0,47,0.030612,0.998224,0.498645,0.501188,1.000387,0.400183,0.30137,0.301634,0.503459,0.050241,0.199449,0.303002,0.499736,0.40003,0.050139,0.0018,0.000442,0.000447,0.001736,0.000291,0.000121,0.000162,0.00042,4e-06,8.1e-05,0.000178,0.000353,0.000308,1.5e-05
160,196,220,24,24,0,0,0,5,5.031187,0.0,6273.398488,228.800309,3046.168504,2542.514498,144.44,160,3,97,199680.0,15760.806,310.6409,177.6106,0.0,0.0,0.0,0.0,47,0.035714,0.997031,0.498593,0.501696,0.999584,0.400425,0.301269,0.301887,0.503924,0.050234,0.199507,0.303069,0.499936,0.399581,0.050185,0.001797,0.000438,0.000428,0.001699,0.000295,0.000122,0.000161,0.000481,4e-06,8.7e-05,0.000175,0.000354,0.0003,1.5e-05
180,197,226,29,29,0,0,0,8,6.99606,0.0,6312.074257,228.473197,3044.530743,2541.269155,159.26,180,3,94,224640.0,17748.9555,360.3726,182.7918,0.3291,0.0,0.0,0.0,47,0.040609,0.997192,0.499228,0.502259,0.999715,0.400814,0.30108,0.302006,0.503683,0.050201,0.199866,0.30248,0.500383,0.39985,0.050052,0.002035,0.000449,0.000454,0.001805,0.000323,0.000133,0.000165,0.000498,5e-06,9.3e-05,0.000185,0.000382,0.000312,1.5e-05
200,198,229,31,31,0,0,0,7,6.006078,0.0,6369.781526,231.677261,3042.316661,2539.42995,176.48,200,4,94,249600.0,19762.98,411.5897,188.6139,0.3291,0.0,0.0,0.0,47,0.045455,0.996029,0.499937,0.503031,0.999549,0.40061,0.301147,0.302166,0.504361,0.05017,0.199693,0.30241,0.500772,0.39982,0.050031,0.001992,0.000453,0.000475,0.001806,0.000316,0.000137,0.000167,0.000485,5e-06,9.2e-05,0.000187,0.000371,0.000316,1.6e-05
220,199,235,36,36,0,0,0,10,7.656077,0.0,6417.449674,231.43489,3040.909032,2537.287892,190.3,220,4,94,274560.0,21787.104,464.3259,194.2909,0.3291,0.0,0.0,0.0,47,0.050251,0.995314,0.500613,0.50283,0.999671,0.402145,0.301114,0.30254,0.504726,0.050141,0.199875,0.301682,0.501369,0.398896,0.050028,0.002103,0.000449,0.000493,0.001828,0.000388,0.000143,0.00017,0.000517,5e-06,9.9e-05,0.000195,0.000393,0.000336,1.5e-05
240,196,237,41,41,0,0,0,11,5.927413,0.0,6489.964245,230.383206,3043.689381,2535.399996,208.68,240,4,93,299520.0,23806.5555,517.938,199.0569,0.6274,0.0,0.0,0.0,47,0.05102,0.994674,0.500599,0.503398,0.998301,0.401785,0.300992,0.302295,0.50481,0.050139,0.199782,0.301715,0.501153,0.398402,0.050026,0.002035,0.000424,0.00049,0.001765,0.000387,0.000143,0.000163,0.00052,5e-06,9.5e-05,0.000192,0.000373,0.000305,1.5e-05
260,196,242,46,46,0,0,0,13,6.505453,0.0,6559.061666,229.074019,3044.420528,2534.224684,222.99,260,4,93,324480.0,25824.384,571.5518,203.6094,0.6274,0.0,0.0,0.0,47,0.045918,0.995103,0.501576,0.502733,0.997831,0.401975,0.300852,0.302212,0.503874,0.0502,0.200002,0.301857,0.50124,0.398149,0.050045,0.0021,0.000399,0.000471,0.00173,0.000396,0.000143,0.000167,0.000561,5e-06,9.7e-05,0.000204,0.000362,0.000316,1.6e-05
280,194,246,52,52,0,0,0,16,9.17994,0.0,6628.766061,226.784792,3044.035268,2533.458926,238.47,280,4,91,349440.0,27834.0555,625.1657,208.3566,0.6274,0.0,0.0,0.0,47,0.046392,0.994829,0.502314,0.501975,0.997197,0.402305,0.300833,0.302375,0.50353,0.050147,0.199808,0.302004,0.501085,0.397673,0.050064,0.002191,0.000389,0.000481,0.001795,0.000401,0.000147,0.000171,0.000523,6e-06,9.7e-05,0.000207,0.000364,0.000333,1.5e-05
300,192,248,56,56,0,0,0,19,8.200418,0.0,6726.639112,226.65102,3045.148562,2535.266524,255.46,300,4,91,374400.0,29848.938,675.8612,213.058,0.6274,0.0,0.0,0.0,47,0.041667,0.99425,0.502173,0.50225,0.996917,0.402635,0.300864,0.302469,0.503633,0.050144,0.19966,0.302222,0.500655,0.398287,0.05005,0.002198,0.000399,0.000504,0.001906,0.000415,0.00015,0.000173,0.000536,5e-06,9.5e-05,0.000213,0.000366,0.000338,1.5e-05
320,194,252,58,58,0,0,0,19,8.214521,0.0,6822.177252,227.097479,3044.688,2536.545987,270.12,320,4,90,399360.0,31866.2355,725.584,216.0016,0.6274,0.0,0.0,0.0,47,0.041237,0.993558,0.502074,0.502507,0.996002,0.40287,0.300845,0.302536,0.503594,0.050151,0.199582,0.302352,0.500723,0.398617,0.050136,0.002175,0.000417,0.000521,0.002041,0.000411,0.00015,0.000181,0.000568,6e-06,0.000106,0.000216,0.000363,0.000339,1.6e-05
340,197,255,58,58,0,0,0,17,6.801343,0.0,6894.294933,231.248544,3041.950114,2536.067124,285.9,340,4,90,424320.0,33877.3455,776.4092,220.1527,0.6274,0.0,0.0,0.0,47,0.040609,0.994023,0.50212,0.502499,0.995698,0.402813,0.300631,0.302733,0.504054,0.050161,0.199652,0.30229,0.500839,0.398565,0.050144,0.002195,0.000443,0.000527,0.00203,0.000417,0.000156,0.000182,0.000611,6e-06,0.000104,0.000226,0.00036,0.000346,1.7e-05
360,201,261,60,60,0,0,0,18,8.129213,0.0,6937.14278,232.672436,3039.198351,2532.933339,296.36,360,4,89,449280.0,35889.2955,830.9352,223.9882,0.6274,0.0,0.0,0.0,85,0.044776,0.995113,0.502106,0.501726,0.996199,0.402555,0.300747,0.30262,0.50439,0.05014,0.199662,0.302195,0.500344,0.398511,0.050025,0.002214,0.000487,0.000572,0.002114,0.000407,0.000159,0.000182,0.000602,6e-06,0.000105,0.000244,0.000384,0.000353,1.8e-05
380,204,267,63,63,0,0,0,19,7.273363,0.0,6953.629646,236.281451,3036.445187,2529.096454,309.29,380,4,89,474240.0,37904.6055,888.0952,231.3015,0.6274,0.0,0.0,0.0,85,0.044118,0.994614,0.501877,0.501985,0.995,0.401574,0.301246,0.30275,0.504632,0.050128,0.199464,0.30197,0.500331,0.399362,0.04995,0.002219,0.000493,0.000573,0.002154,0.000382,0.000166,0.000178,0.00061,6e-06,0.000104,0.000243,0.000371,0.000361,1.8e-05
400,209,274,65,65,0,0,0,19,6.808919,0.0,6933.390481,241.413973,3031.777108,2526.437705,319.63,400,4,89,499200.0,39921.5385,945.7029,238.8327,0.6274,0.0,0.0,0.0,36,0.038278,0.994155,0.502039,0.502351,0.996374,0.401589,0.300792,0.302699,0.504702,0.050149,0.199367,0.30212,0.500346,0.39992,0.049867,0.002227,0.0005,0.000597,0.002107,0.000386,0.000173,0.000189,0.000604,6e-06,0.000103,0.000233,0.000373,0.000369,1.9e-05
420,208,279,71,71,0,0,0,20,7.773303,0.0,6910.613095,241.032176,3031.194521,2524.716658,334.16,420,4,89,524160.0,41953.0785,1003.3106,245.1812,1.2002,0.0,0.0,0.0,47,0.038462,0.993461,0.501159,0.502232,0.996675,0.401396,0.300677,0.303009,0.504607,0.050126,0.199574,0.301933,0.500145,0.400116,0.050051,0.00226,0.000485,0.000603,0.002149,0.000386,0.000176,0.000185,0.000604,5e-06,0.000108,0.000238,0.000358,0.000361,1.9e-05
440,210,285,75,75,0,0,0,16,5.639254,0.0,6885.415881,243.108422,3031.252324,2523.564021,346.86,440,4,89,549120.0,43984.6185,1060.9183,251.9159,1.2002,0.0,0.0,0.0,47,0.038095,0.993612,0.501105,0.501782,0.994553,0.401156,0.30062,0.302682,0.503878,0.050097,0.199712,0.301397,0.500032,0.4,0.050122,0.002213,0.000477,0.000595,0.002104,0.000358,0.000172,0.000184,0.000597,5e-06,0.000109,0.00025,0.000334,0.00036,2e-05
460,208,286,78,78,0,0,0,17,6.049319,0.0,6853.324025,245.081373,3028.869309,2522.774458,368.15,460,4,89,574080.0,46016.1585,1118.5261,257.6403,1.2002,0.0,0.0,0.0,36,0.038462,0.993441,0.500393,0.501527,0.994276,0.401491,0.300705,0.302967,0.503201,0.050067,0.199578,0.301148,0.500145,0.399766,0.050045,0.002257,0.000461,0.000594,0.002126,0.000356,0.000168,0.000183,0.000548,5e-06,0.000108,0.000246,0.000333,0.000341,1.9e-05
480,208,289,81,81,0,0,0,17,4.886729,0.0,6822.52254,245.099021,3030.014249,2522.225035,385.28,480,4,89,599040.0,48049.1955,1176.1338,261.161,1.2002,0.0,0.0,0.0,36,0.038462,0.992968,0.500759,0.501097,0.994845,0.401296,0.300722,0.302659,0.50245,0.050119,0.199548,0.300883,0.5003,0.399849,0.050126,0.002274,0.000442,0.000593,0.002198,0.000373,0.000167,0.000184,0.000554,5e-06,0.000106,0.000246,0.000332,0.000337,1.6e-05
500,209,293,84,84,0,0,0,20,6.150676,0.0,6807.785045,244.657569,3029.191755,2521.838328,400.33,500,4,89,624000.0,50107.347,1233.7415,264.4179,1.2002,0.0,0.0,0.0,36,0.038278,0.991886,0.50015,0.500879,0.99439,0.401472,0.300752,0.302324,0.502428,0.050123,0.199867,0.300976,0.500462,0.399916,0.050115,0.002263,0.000431,0.000594,0.002027,0.000392,0.000167,0.000191,0.000548,5e-06,0.000102,0.000247,0.000332,0.000346,1.6e-05
520,204,296,92,92,0,0,0,26,8.54313,0.0,6829.719473,238.912343,3032.544527,2521.563811,419.24,520,4,88,648960.0,52170.3,1291.3492,268.0309,1.3162,0.0,0.0,0.0,36,0.039216,0.992037,0.500471,0.500963,0.993558,0.401329,0.30095,0.302573,0.501835,0.050153,0.199822,0.301268,0.501159,0.40012,0.050041,0.002219,0.000373,0.000537,0.001888,0.00038,0.000172,0.00019,0.000532,5e-06,0.000103,0.000245,0.000326,0.000344,1.6e-05
540,206,302,96,96,0,0,0,26,7.186223,0.0,6866.555831,239.463178,3033.350599,2521.367647,430.83,540,4,88,673920.0,54239.34,1348.957,273.3061,1.5535,0.0,0.0,0.0,47,0.043689,0.991772,0.500481,0.501123,0.993427,0.401298,0.300949,0.302535,0.50199,0.050128,0.199774,0.301213,0.501084,0.40022,0.049993,0.00226,0.000382,0.000552,0.00189,0.000391,0.000174,0.000201,0.000525,5e-06,0.000105,0.000244,0.000345,0.000349,1.6e-05
560,207,306,99,99,0,0,0,24,5.691567,0.0,6909.265404,240.574173,3033.73426,2521.226739,441.17,560,4,88,698880.0,56308.38,1406.5647,277.882,1.5535,0.0,0.0,0.0,47,0.048309,0.991439,0.50054,0.501157,0.993104,0.401624,0.301358,0.302564,0.502848,0.05014,0.199813,0.301157,0.501922,0.400098,0.049961,0.002274,0.000388,0.00056,0.001917,0.000402,0.000179,0.000202,0.000554,5e-06,0.000102,0.000243,0.000357,0.000342,1.6e-05
580,214,313,99,99,0,0,0,23,5.099979,0.0,6908.965736,246.444792,3028.455229,2521.125094,446.34,580,4,88,723840.0,58379.574,1464.1724,283.7526,1.5535,0.0,0.0,0.0,47,0.046729,0.989858,0.500154,0.500886,0.992973,0.401608,0.301355,0.302084,0.502409,0.050162,0.199736,0.300791,0.501635,0.400007,0.049955,0.002318,0.000419,0.00058,0.001984,0.00041,0.000185,0.000209,0.000579,5e-06,0.0001,0.000247,0.000357,0.000352,1.6e-05
600,213,318,105,105,0,0,0,26,6.846896,0.0,6890.50345,246.046737,3027.106367,2521.051517,458.84,600,4,87,748800.0,60458.595,1521.7801,290.4226,1.5535,0.0,0.0,0.0,47,0.046948,0.991367,0.499871,0.500051,0.992695,0.401847,0.301468,0.302068,0.502537,0.050225,0.199892,0.301272,0.500714,0.39988,0.049983,0.002391,0.00041,0.000579,0.001964,0.000404,0.000185,0.000209,0.000584,6e-06,0.0001,0.000246,0.000367,0.000349,1.6e-05
620,216,324,108,108,0,0,0,26,5.899967,0.0,6868.387363,250.422044,3023.677989,2520.765582,469.61,620,4,87,773760.0,62551.9155,1579.6498,298.377,1.5535,0.0,0.0,0.0,47,0.046296,0.990252,0.499795,0.500169,0.992798,0.401827,0.301865,0.302091,0.502174,0.050248,0.199809,0.301385,0.500016,0.399854,0.049828,0.002538,0.00039,0.000575,0.001952,0.000401,0.000183,0.000211,0.000592,6e-06,9.7e-05,0.000246,0.000401,0.000344,1.6e-05
640,211,325,114,114,0,0,0,28,6.329155,0.0,6874.099539,248.612198,3025.058647,2519.423426,490.34,640,4,87,798720.0,64668.003,1639.2399,303.8103,1.5535,0.0,0.0,0.0,47,0.047393,0.989643,0.499558,0.49987,0.993046,0.402435,0.301727,0.302273,0.502815,0.050273,0.19976,0.301017,0.49963,0.399216,0.04983,0.002521,0.000393,0.000549,0.001922,0.000398,0.000179,0.000214,0.000583,6e-06,9.7e-05,0.00024,0.000393,0.000327,1.6e-05
660,213,329,116,116,0,0,0,28,5.338686,0.0,6900.082961,249.353105,3025.308209,2517.974869,503.34,660,4,87,823680.0,66789.933,1700.0595,306.9805,1.5535,0.0,0.0,0.0,47,0.046948,0.989641,0.499535,0.499983,0.993816,0.402811,0.301358,0.30231,0.502677,0.050331,0.199832,0.301542,0.499762,0.399073,0.049888,0.002536,0.000397,0.000544,0.001861,0.000409,0.000179,0.000215,0.000573,6e-06,0.0001,0.000243,0.000399,0.000329,1.6e-05
680,217,336,119,119,0,0,0,30,6.250365,0.0,6895.32422,250.546691,3023.202944,2517.167037,510.11,680,4,87,848640.0,68911.863,1761.0885,311.6492,1.6995,0.0,0.0,0.0,47,0.046083,0.988944,0.499083,0.500383,0.995866,0.402692,0.301441,0.302275,0.503293,0.050274,0.199731,0.301337,0.500009,0.399326,0.049905,0.002475,0.000411,0.00055,0.002013,0.000401,0.00018,0.000209,0.000611,7e-06,0.000101,0.00024,0.000424,0.000336,1.7e-05
700,218,341,123,123,0,0,0,33,6.946757,0.0,6890.076595,252.406333,3020.646909,2516.766434,521.71,700,4,87,873600.0,71045.9805,1822.1176,318.2868,1.7697,0.0,0.0,0.0,47,0.045872,0.989,0.499713,0.5007,0.994892,0.40252,0.30235,0.302159,0.503208,0.050285,0.199884,0.301396,0.499693,0.399152,0.049883,0.002423,0.000403,0.00056,0.002132,0.000409,0.000209,0.000217,0.000631,7e-06,0.0001,0.000237,0.000424,0.000329,1.7e-05
720,212,342,130,130,0,0,0,35,8.097455,0.0,6905.078252,249.795592,3022.106953,2516.563202,549.25,720,4,87,898560.0,73186.6605,1883.1467,323.8674,1.83,0.0,0.0,0.0,47,0.04717,0.989121,0.500009,0.500424,0.994877,0.401863,0.302271,0.302201,0.504027,0.050295,0.199848,0.301706,0.49964,0.398548,0.050069,0.002434,0.000407,0.000554,0.002076,0.000404,0.00021,0.000218,0.000637,7e-06,0.000101,0.000243,0.000432,0.000331,2.1e-05
740,214,349,135,135,0,0,0,36,8.310646,0.0,6948.34521,248.417005,3023.272349,2516.458441,558.18,740,5,87,923520.0,75351.987,1944.1758,328.2718,1.83,0.0,0.0,0.0,47,0.046729,0.98978,0.49987,0.501619,0.994789,0.401004,0.301935,0.301643,0.504255,0.050181,0.199453,0.30176,0.500022,0.398755,0.049959,0.00246,0.000421,0.000572,0.002027,0.000384,0.000212,0.000204,0.000638,7e-06,0.000102,0.00025,0.000402,0.00033,2.1e-05
760,213,353,140,140,0,0,0,35,8.121354,0.0,7023.85705,246.779774,3025.098871,2516.403654,576.6,760,5,87,948480.0,77530.71,2005.2049,332.465,1.83,0.0,0.0,0.0,47,0.046948,0.990156,0.49968,0.501289,0.995432,0.400918,0.301966,0.301428,0.504491,0.05019,0.199397,0.301955,0.500599,0.398752,0.049904,0.002413,0.000427,0.000563,0.002059,0.000386,0.000216,0.000199,0.000615,7e-06,0.000102,0.000248,0.000386,0.000347,2.1e-05
