tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
20,11,3,0.014925,3,1.008777,0.303546,0.405844,0.049404,2,578.566,64.043,2.642,0.0,1.733333,0.0,0.308134
20,18,3,0.014925,3,1.043071,0.30451,0.387966,0.047231,3,519.44,39.517,4.152,0.0,1.733333,0.0,0.307141
20,21,3,0.014925,3,1.019613,0.315141,0.414742,0.049167,2,299.69,154.949,3.243,0.0,1.733333,0.0,0.288137
20,29,3,0.014925,3,0.995187,0.301972,0.405667,0.046002,2,120.926,145.933,3.096,0.0,1.733333,0.0,0.290119
20,37,3,0.014925,3,0.96359,0.298894,0.397904,0.048043,2,145.218,216.654,4.102,0.0,1.516667,1.0,0.303603
20,50,3,0.014925,3,0.933317,0.305607,0.415096,0.049708,2,278.339,83.213,3.967,0.0,1.733333,0.0,0.282241
20,64,3,0.014925,3,1.062569,0.311859,0.382016,0.053563,2,223.212,194.443,4.039,0.0,1.574444,0.0,0.303219
20,70,3,0.014925,3,0.998222,0.308443,0.394831,0.054314,2,646.586,159.146,3.927,0.0,1.718889,0.0,0.299114
40,29,5,0.023923,5,1.001771,0.300831,0.403564,0.044786,2,119.708,147.075,3.381,0.0,1.733333,0.0,0.28495
40,11,4,0.019139,4,1.00836,0.304238,0.408596,0.049458,2,576.283,63.932,4.313,0.0,1.733333,0.0,0.313361
40,18,4,0.019139,4,1.03662,0.304247,0.388532,0.048279,3,518.298,39.113,4.187,0.0,1.733333,0.0,0.30294
40,21,4,0.019139,4,1.034287,0.31122,0.422627,0.051425,2,300.321,154.567,3.0,0.0,1.733333,0.0,0.284036
40,37,4,0.019139,4,0.961218,0.300866,0.393092,0.047948,2,143.075,215.587,5.377,0.0,1.516667,1.0,0.306029
40,48,3,0.014354,3,0.912528,0.312012,0.398107,0.051494,2,382.069,328.867,3.833,0.0,0.996667,0.0,0.301505
40,50,3,0.014354,3,0.933317,0.305607,0.415096,0.049708,2,278.339,83.213,3.967,0.0,1.733333,0.0,0.282241
40,64,3,0.014354,3,1.062569,0.311859,0.382016,0.053563,2,223.212,194.443,4.039,0.0,1.574444,0.0,0.303219
60,18,7,0.035354,7,1.056891,0.308592,0.382919,0.050115,3,518.909,37.133,5.673,0.0,1.733333,0.0,0.300165
60,21,6,0.030303,6,1.032176,0.310903,0.415573,0.049979,2,300.035,154.676,2.972,0.0,1.733333,0.0,0.284008
60,11,5,0.025253,5,1.026631,0.30907,0.408575,0.050288,2,576.679,65.139,4.616,0.0,1.733333,0.0,0.311209
60,29,5,0.025253,5,1.001771,0.300831,0.403564,0.044786,2,119.708,147.075,3.381,0.0,1.733333,0.0,0.28495
60,37,5,0.025253,5,0.946086,0.302027,0.396194,0.048496,3,141.687,216.685,5.698,0.0,1.499333,0.8,0.310168
60,70,5,0.025253,5,0.999304,0.307059,0.388599,0.053914,2,646.289,160.483,4.83,0.0,1.716,0.0,0.29541
60,82,5,0.025253,5,1.041284,0.289405,0.385447,0.052833,2,242.113,113.353,3.287,0.0,1.733333,0.0,0.304656
60,50,4,0.020202,4,0.922318,0.295645,0.423258,0.048369,3,278.666,81.344,4.823,0.0,1.733333,0.0,0.279117
80,18,8,0.041885,8,1.059311,0.309746,0.38004,0.049898,4,518.724,38.372,6.161,0.0,1.733333,0.0,0.298928
80,21,6,0.031414,6,1.032176,0.310903,0.415573,0.049979,2,300.035,154.676,2.972,0.0,1.733333,0.0,0.284008
80,50,6,0.031414,6,0.916674,0.296449,0.435459,0.047828,3,280.583,82.629,5.108,0.0,1.733333,0.0,0.275051
80,82,6,0.031414,6,1.058594,0.290244,0.385935,0.053974,2,240.313,113.382,4.736,0.0,1.733333,0.0,0.30207
80,90,6,0.031414,6,1.001274,0.308293,0.423819,0.054583,3,359.832,222.108,7.21,0.0,1.458889,0.0,0.310072
80,11,5,0.026178,5,1.026631,0.30907,0.408575,0.050288,2,576.679,65.139,4.616,0.0,1.733333,0.0,0.311209
80,29,5,0.026178,5,1.001771,0.300831,0.403564,0.044786,2,119.708,147.075,3.381,0.0,1.733333,0.0,0.28495
80,37,5,0.026178,5,0.946086,0.302027,0.396194,0.048496,3,141.687,216.685,5.698,0.0,1.499333,0.8,0.310168
100,18,9,0.046392,9,1.056334,0.309091,0.378138,0.049679,4,519.794,38.884,6.592,0.0,1.733333,0.0,0.297996
100,50,8,0.041237,8,0.914426,0.291893,0.434202,0.048306,3,280.548,82.483,5.096,0.0,1.733333,0.0,0.276408
100,21,6,0.030928,6,1.032176,0.310903,0.415573,0.049979,2,300.035,154.676,2.972,0.0,1.733333,0.0,0.284008
100,29,6,0.030928,6,0.999255,0.301968,0.406,0.045754,2,118.226,146.839,4.273,0.0,1.733333,0.0,0.288794
100,37,6,0.030928,6,0.957251,0.301181,0.398829,0.049341,4,142.581,218.075,6.312,0.0,1.487778,0.833333,0.309967
100,64,6,0.030928,6,1.072635,0.303381,0.403621,0.055312,3,223.248,197.504,5.041,0.0,1.574444,0.0,0.291676
100,82,6,0.030928,6,1.058594,0.290244,0.385935,0.053974,2,240.313,113.382,4.736,0.0,1.733333,0.0,0.30207
100,90,6,0.030928,6,1.001274,0.308293,0.423819,0.054583,3,359.832,222.108,7.21,0.0,1.458889,0.0,0.310072
120,18,11,0.053659,11,1.06116,0.310393,0.38165,0.049322,4,519.461,40.633,7.141,0.0,1.733333,0.0,0.301623
120,37,9,0.043902,9,0.949411,0.298951,0.401998,0.050037,4,141.03,220.048,6.649,0.0,1.468519,0.777778,0.321484
120,50,9,0.043902,9,0.912521,0.286942,0.438222,0.04849,4,281.048,81.838,5.282,0.0,1.733333,0.0,0.27496
120,64,7,0.034146,7,1.082347,0.301821,0.407638,0.057048,3,223.311,197.832,4.564,0.0,1.578571,0.0,0.286929
120,90,7,0.034146,7,1.011814,0.304711,0.418692,0.054012,3,358.667,222.494,7.336,0.0,1.454762,0.0,0.306651
120,21,6,0.029268,6,1.032176,0.310903,0.415573,0.049979,2,300.035,154.676,2.972,0.0,1.733333,0.0,0.284008
120,29,6,0.029268,6,0.999255,0.301968,0.406,0.045754,2,118.226,146.839,4.273,0.0,1.733333,0.0,0.288794
120,73,6,0.029268,6,1.076846,0.289872,0.378985,0.045785,3,400.965,116.078,2.655,0.0,1.733333,0.0,0.307211
140,18,12,0.055814,12,1.069629,0.310401,0.379096,0.049451,4,519.646,41.52,7.419,0.0,1.733333,0.0,0.299412
140,37,12,0.055814,12,0.941385,0.300462,0.398944,0.049762,4,139.868,219.338,6.32,0.0,1.480556,0.833333,0.319146
140,50,9,0.04186,9,0.912521,0.286942,0.438222,0.04849,4,281.048,81.838,5.282,0.0,1.733333,0.0,0.27496
140,64,7,0.032558,7,1.082347,0.301821,0.407638,0.057048,3,223.311,197.832,4.564,0.0,1.578571,0.0,0.286929
140,73,7,0.032558,7,1.063743,0.29302,0.376933,0.045493,4,401.087,116.683,2.967,0.0,1.733333,0.0,0.309022
140,90,7,0.032558,7,1.011814,0.304711,0.418692,0.054012,3,358.667,222.494,7.336,0.0,1.454762,0.0,0.306651
140,11,6,0.027907,6,1.027794,0.312772,0.401598,0.050461,3,577.997,64.045,5.251,0.0,1.733333,0.0,0.30689
140,21,6,0.027907,6,1.032176,0.310903,0.415573,0.049979,2,300.035,154.676,2.972,0.0,1.733333,0.0,0.284008
160,37,13,0.057269,13,0.941181,0.298692,0.398111,0.049085,4,140.928,219.466,6.877,0.0,1.476667,0.846154,0.317218
160,18,12,0.052863,12,1.069629,0.310401,0.379096,0.049451,4,519.646,41.52,7.419,0.0,1.733333,0.0,0.299412
160,50,11,0.048458,11,0.911531,0.285804,0.438105,0.048399,4,280.217,81.064,5.611,0.0,1.733333,0.0,0.278795
160,64,8,0.035242,8,1.097255,0.30182,0.402098,0.058614,3,223.153,197.427,4.474,0.0,1.581667,0.0,0.285966
160,73,8,0.035242,8,1.058973,0.292494,0.375795,0.045142,4,400.056,116.866,3.699,0.0,1.733333,0.0,0.310189
160,11,7,0.030837,7,1.018224,0.309564,0.401679,0.049755,3,577.977,65.187,5.504,0.0,1.733333,0.0,0.312784
160,21,7,0.030837,7,1.028068,0.307014,0.417001,0.049532,2,300.363,155.122,3.02,0.0,1.733333,0.0,0.284254
160,90,7,0.030837,7,1.011814,0.304711,0.418692,0.054012,3,358.667,222.494,7.336,0.0,1.454762,0.0,0.306651
180,37,14,0.057613,14,0.945212,0.299877,0.400874,0.048838,4,141.702,219.607,7.202,0.0,1.473333,0.857143,0.31644
180,50,13,0.053498,13,0.905001,0.279462,0.444081,0.047724,4,280.637,80.3,5.526,0.0,1.733333,0.0,0.277956
180,18,12,0.049383,12,1.069629,0.310401,0.379096,0.049451,4,519.646,41.52,7.419,0.0,1.733333,0.0,0.299412
180,64,10,0.041152,10,1.089995,0.299898,0.397937,0.059452,4,222.36,198.871,5.564,0.0,1.568667,0.0,0.289257
180,73,10,0.041152,10,1.041799,0.29883,0.371678,0.045383,4,400.803,118.252,4.715,0.0,1.733333,0.0,0.312875
180,11,8,0.032922,8,1.028206,0.311342,0.396347,0.050106,3,578.583,65.065,5.298,0.0,1.733333,0.0,0.309469
180,90,8,0.032922,8,1.010206,0.306336,0.417052,0.054066,4,358.836,222.017,6.916,0.0,1.4625,0.0,0.303235
180,21,7,0.028807,7,1.028068,0.307014,0.417001,0.049532,2,300.363,155.122,3.02,0.0,1.733333,0.0,0.284254
200,50,15,0.05814,15,0.915549,0.277034,0.443781,0.047495,4,280.864,81.049,5.709,0.0,1.733333,0.0,0.277973
200,37,14,0.054264,14,0.945212,0.299877,0.400874,0.048838,4,141.702,219.607,7.202,0.0,1.473333,0.857143,0.31644
200,18,13,0.050388,13,1.069893,0.312034,0.376692,0.050903,4,520.553,41.842,7.767,0.0,1.733333,0.0,0.299217
200,64,11,0.042636,11,1.086807,0.298352,0.401942,0.060927,4,222.413,198.587,5.328,0.0,1.571818,0.0,0.290272
200,73,11,0.042636,11,1.041972,0.297516,0.373372,0.045689,4,400.093,118.737,5.191,0.0,1.733333,0.0,0.314891
200,11,10,0.03876,10,1.020611,0.316898,0.387271,0.051559,3,580.153,63.996,5.859,0.0,1.733333,0.0,0.306275
200,21,8,0.031008,8,1.014939,0.304132,0.414151,0.049452,2,299.25,155.34,3.854,0.0,1.733333,0.0,0.283078
200,71,8,0.031008,8,1.044396,0.295576,0.389377,0.048106,4,573.239,19.055,5.939,0.0,1.733333,0.0,0.311962
220,50,15,0.056391,15,0.915549,0.277034,0.443781,0.047495,4,280.864,81.049,5.709,0.0,1.733333,0.0,0.277973
220,37,14,0.052632,14,0.945212,0.299877,0.400874,0.048838,4,141.702,219.607,7.202,0.0,1.473333,0.857143,0.31644
220,18,13,0.048872,13,1.069893,0.312034,0.376692,0.050903,4,520.553,41.842,7.767,0.0,1.733333,0.0,0.299217
220,64,12,0.045113,12,1.090372,0.296907,0.40445,0.060796,4,222.524,198.535,4.982,0.0,1.574444,0.0,0.288391
220,73,11,0.041353,12,1.038793,0.30033,0.371746,0.045038,4,399.038,118.619,5.753,0.0,1.733333,0.0,0.320495
220,11,10,0.037594,10,1.020611,0.316898,0.387271,0.051559,3,580.153,63.996,5.859,0.0,1.733333,0.0,0.306275
220,71,10,0.037594,10,1.053262,0.300268,0.397052,0.047335,4,575.271,18.193,7.172,0.0,1.733333,0.0,0.308744
220,90,9,0.033835,9,1.01239,0.30826,0.414934,0.054061,4,359.558,221.9,6.789,0.0,1.458889,0.0,0.300665
240,50,16,0.059041,16,0.917406,0.276087,0.443668,0.047205,4,280.907,80.731,5.643,0.0,1.733333,0.0,0.277973
240,18,14,0.051661,14,1.068548,0.311496,0.376568,0.050261,4,520.056,41.546,7.767,0.0,1.733333,0.0,0.298231
240,37,14,0.051661,14,0.945212,0.299877,0.400874,0.048838,4,141.702,219.607,7.202,0.0,1.473333,0.857143,0.31644
240,64,13,0.04797,13,1.09912,0.296038,0.404398,0.060324,4,222.622,198.542,4.673,0.0,1.576667,0.0,0.2885
240,71,11,0.04059,11,1.042028,0.300537,0.399613,0.046536,4,575.372,18.388,6.713,0.0,1.733333,0.0,0.30879
240,90,11,0.04059,11,1.012944,0.309658,0.409915,0.054536,4,359.793,220.885,6.713,0.0,1.469394,0.0,0.302636
240,11,10,0.0369,10,1.020611,0.316898,0.387271,0.051559,3,580.153,63.996,5.859,0.0,1.733333,0.0,0.306275
240,73,10,0.0369,12,1.024969,0.303118,0.372415,0.045248,4,398.911,118.939,5.985,0.0,1.733333,0.0,0.322797
260,50,16,0.057762,16,0.917406,0.276087,0.443668,0.047205,4,280.907,80.731,5.643,0.0,1.733333,0.0,0.277973
260,37,15,0.054152,15,0.937046,0.301527,0.401421,0.048873,4,141.131,219.424,7.25,0.0,1.476222,0.866667,0.316421
260,18,13,0.046931,14,1.068293,0.312632,0.376385,0.050317,4,520.087,42.241,7.64,0.0,1.733333,0.0,0.298284
260,64,12,0.043321,14,1.092363,0.298426,0.394623,0.060748,4,222.343,198.025,5.161,0.0,1.574444,0.0,0.292486
260,71,12,0.043321,12,1.041644,0.300385,0.400642,0.045498,4,576.255,18.681,7.03,0.0,1.733333,0.0,0.310179
260,90,12,0.043321,12,1.005482,0.310199,0.409905,0.054874,4,359.187,220.22,7.072,0.0,1.473333,0.0,0.305114
260,98,12,0.043321,12,0.913168,0.342011,0.421657,0.051543,2,353.772,42.083,4.288,0.0,1.733333,0.0,0.290685
260,11,10,0.036101,10,1.020611,0.316898,0.387271,0.051559,3,580.153,63.996,5.859,0.0,1.733333,0.0,0.306275
280,37,16,0.056738,16,0.930868,0.302516,0.40055,0.048718,4,140.434,219.683,7.496,0.0,1.473333,0.8125,0.317283
280,50,16,0.056738,16,0.917406,0.276087,0.443668,0.047205,4,280.907,80.731,5.643,0.0,1.733333,0.0,0.277973
280,18,14,0.049645,15,1.06565,0.314634,0.376974,0.051025,4,520.252,42.492,7.374,0.0,1.733333,0.0,0.295363
280,71,13,0.046099,13,1.043138,0.301288,0.402799,0.045476,4,576.2,18.894,6.666,0.0,1.733333,0.0,0.310619
