tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,201,201,0,0,0,0,0,0,0,0,5705.395613,130.40733,3149.59267,1898.555834,18.61,20,1,100,24960.0,2028.1851,5.9726,50.4073,0.0,0.0,0.0,0.0,11,0.014925,55,95,51,0.273632,0.472637,0.253731,0.875506,5,0.024876,0.002151,1.00341,0.498859,0.500143,1.003256,0.40179,0.300504,0.299969,0.49945,0.050194,0.200124,0.300017,0.499274,0.401384,0.05024,0.00175,0.000393,0.000333,0.001763,0.000241,0.000127,0.000165,0.000386,4e-06,7.2e-05,0.000171,0.000426,0.000247,1.6e-05
40,209,209,0,0,0,0,0,0,0,0,6165.087909,190.46049,3089.53951,2285.616746,37.21,40,2,100,49920.0,4134.9752,15.5167,110.4605,0.0,0.0,0.0,0.0,29,0.023923,60,98,51,0.287081,0.4689,0.244019,0.901085,6,0.028708,0.047454,1.002629,0.498538,0.499896,1.003648,0.402123,0.300718,0.299858,0.500281,0.05019,0.200095,0.300289,0.499966,0.401512,0.050212,0.001936,0.000407,0.000348,0.001879,0.000264,0.000128,0.000175,0.00044,4e-06,7.1e-05,0.000175,0.000458,0.000252,1.6e-05
60,198,229,31,31,0,0,0,31,34.356874,0.0,6311.148518,200.798478,3044.844649,2466.505805,52.04,60,2,92,74880.0,6304.8957,29.9022,157.0704,0.0,0.0,0.0,0.0,18,0.035354,73,105,20,0.368687,0.530303,0.10101,1.115505,7,0.035354,0.11029,1.007192,0.497018,0.500437,1.001589,0.401477,0.30114,0.299792,0.499263,0.050131,0.200578,0.300148,0.501487,0.401037,0.050422,0.002404,0.000433,0.000384,0.002281,0.000327,0.000151,0.000151,0.000601,4e-06,8.7e-05,0.000184,0.000737,0.000318,1.6e-05
80,191,249,58,58,0,0,0,56,54.874684,0.0,6810.393938,192.302605,3032.822711,2536.151094,64.17,80,2,73,99840.0,8551.2095,48.9377,180.8014,0.0,0.0,0.0,0.0,18,0.041885,87,99,5,0.455497,0.518325,0.026178,1.319284,7,0.036649,0.033227,1.005651,0.49583,0.500111,1.003745,0.40249,0.30107,0.299228,0.499429,0.05024,0.200997,0.300167,0.501547,0.401087,0.050316,0.002777,0.00053,0.000458,0.002385,0.000365,0.000159,0.000189,0.000725,5e-06,0.000101,0.000222,0.000863,0.00042,1.8e-05
100,194,263,69,69,0,0,0,61,56.517326,0.0,7410.00536,206.430542,3017.052133,2558.991986,77.95,100,3,66,124800.0,10964.794,72.2957,208.4139,0.0,0.0,0.0,0.0,18,0.046392,97,97,0,0.5,0.5,0.0,1.403419,8,0.041237,0.016989,1.003442,0.495501,0.500442,1.005019,0.402198,0.301118,0.298989,0.499023,0.050511,0.201242,0.300391,0.501171,0.401308,0.050345,0.002968,0.000548,0.000494,0.002595,0.000398,0.00018,0.000192,0.000756,7e-06,0.000107,0.000234,0.000904,0.00049,1.8e-05
120,205,280,75,75,0,0,0,65,55.500622,0.0,7993.594476,220.102785,3004.396593,2563.478607,89.84,120,3,62,149760.0,13464.6075,100.5805,229.2727,0.0,0.0,0.0,0.0,18,0.053659,106,99,0,0.517073,0.482927,0.0,1.448179,10,0.04878,0.002428,1.003735,0.495247,0.50094,1.005082,0.403957,0.301175,0.299792,0.499661,0.050427,0.201671,0.300131,0.50141,0.402233,0.050338,0.003349,0.00055,0.000538,0.003113,0.000463,0.000231,0.00024,0.000851,7e-06,0.000112,0.000234,0.000926,0.000522,1.9e-05
140,215,293,78,78,0,0,0,67,50.860318,0.0,8550.864971,231.941295,2997.198387,2562.461778,103.27,140,3,61,174720.0,16024.8701,131.6097,244.887,0.0,0.0,0.0,0.0,18,0.055814,113,102,0,0.525581,0.474419,0.0,1.465674,13,0.060465,0.0,1.002344,0.494823,0.500974,1.00354,0.404623,0.301733,0.299519,0.499097,0.050394,0.201584,0.300727,0.501734,0.401143,0.050353,0.003527,0.0006,0.000569,0.003342,0.000486,0.00024,0.000261,0.000961,8e-06,0.000132,0.000244,0.000976,0.000578,2e-05
160,227,310,83,83,0,0,0,71,50.433928,0.0,9075.666584,245.510674,2984.055399,2556.196619,114.0,160,4,57,199680.0,18661.0779,169.6807,264.5022,0.0,0.0,0.0,0.0,37,0.057269,121,106,0,0.53304,0.46696,0.0,1.489369,14,0.061674,0.0,1.002107,0.49511,0.501355,1.004624,0.404524,0.301444,0.298824,0.499411,0.050355,0.201848,0.300538,0.502935,0.400988,0.050251,0.003789,0.000621,0.000644,0.00378,0.000519,0.000271,0.000274,0.00102,8e-06,0.000154,0.000254,0.001072,0.000608,2.2e-05
180,243,326,83,83,0,0,0,70,45.573231,0.0,9472.167083,266.793619,2967.633149,2546.098448,125.86,180,4,57,224640.0,21329.0961,216.0893,285.7851,0.0,0.0,0.0,0.0,37,0.057613,131,112,0,0.539095,0.460905,0.0,1.499726,16,0.065844,0.0,1.002233,0.494617,0.502295,1.004292,0.404401,0.301582,0.298948,0.498781,0.050384,0.201692,0.300449,0.504178,0.400542,0.050282,0.003927,0.000617,0.000681,0.003925,0.000519,0.000302,0.000279,0.001056,9e-06,0.000181,0.000271,0.001148,0.000686,2.4e-05
200,258,342,84,84,0,0,0,69,41.178054,0.0,9783.307041,285.292209,2953.529737,2533.441559,137.35,200,4,57,249600.0,24067.9325,270.0452,305.4733,0.0,0.0,0.0,0.0,50,0.05814,143,115,0,0.554264,0.445736,0.0,1.510452,17,0.065891,0.0,1.002605,0.494074,0.501781,1.002275,0.403499,0.301335,0.29908,0.497906,0.050347,0.20166,0.300352,0.505127,0.400553,0.050345,0.003904,0.000664,0.000698,0.004212,0.000548,0.000344,0.000297,0.001076,9e-06,0.000189,0.000286,0.001178,0.000729,2.8e-05
