seed,final_tick,population,max_generation,n_lineages,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate
1,30000,3628.0,96.0,67.0,0.822216,0.461137,0.625707,0.329022,1.583768,0.533057,2.17448,0.447715,0.578438,0.033131,0.14877,0.317415,0.633551,0.436689,0.140841
2,30000,901.0,42.0,75.0,0.048835,1.014744,0.495884,0.516461,1.045577,0.406899,0.456321,0.303918,0.489978,0.049233,0.203842,0.317967,0.499233,0.426207,0.052112
3,30000,902.0,41.0,74.0,0.059867,1.044995,0.485188,0.511501,1.086861,0.414495,0.542282,0.337182,0.518056,0.052255,0.203787,0.311057,0.498393,0.439776,0.060481
4,30000,3630.0,78.0,19.0,0.964187,0.350022,0.61413,0.340653,1.243343,0.545934,4.332721,0.451915,0.497976,0.057198,0.411327,0.351347,0.70867,0.489412,0.204314
5,30000,960.0,47.0,77.0,0.078125,1.006728,0.494304,0.488559,1.021391,0.432824,0.87509,0.298171,0.485105,0.052567,0.199097,0.31234,0.504898,0.445465,0.067517

median,,960.0,47.0,74.0,0.078125,1.006728,0.495884,0.488559,1.086861,0.432824,0.87509,0.337182,0.497976,0.052255,0.203787,0.317415,0.504898,0.439776,0.067517
min,,901.0,41.0,19.0,0.048835,0.350022,0.485188,0.329022,1.021391,0.406899,0.456321,0.298171,0.485105,0.033131,0.14877,0.311057,0.498393,0.426207,0.052112
max,,3630.0,96.0,77.0,0.964187,1.044995,0.625707,0.516461,1.583768,0.545934,4.332721,0.451915,0.578438,0.057198,0.411327,0.351347,0.70867,0.489412,0.204314
