tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,196,196,0,0,0,0,0,0,0,0,5519.019771,130.844746,3149.155254,1709.696991,19.48,20,1,100,24960.0,1832.0835,12.5002,50.8447,0.0,0.0,0.0,0.0,0,0.010204,0.996921,0.501783,0.499033,1.003912,0.400152,0.300769,0.300489,0.500318,0.049989,0.200301,0.299672,0.503329,0.398219,0.04985,0.00139,0.000356,0.000412,0.001662,0.000263,0.000144,0.000152,0.000415,4e-06,6.3e-05,0.000167,0.000474,0.000301,1.2e-05
40,197,197,0,0,0,0,0,0,0,0,5745.267089,191.977906,3088.022094,2054.330604,39.28,40,2,100,49920.0,3683.4735,31.4355,111.9779,0.0,0.0,0.0,0.0,23,0.015228,0.99642,0.501795,0.499305,1.003941,0.400266,0.30089,0.300515,0.50046,0.050023,0.200465,0.299537,0.503341,0.398012,0.049826,0.001432,0.000355,0.000425,0.001653,0.000265,0.000146,0.000152,0.000417,4e-06,6.8e-05,0.00017,0.000472,0.000308,1.2e-05
60,200,200,0,0,0,0,0,0,0,0,5663.883379,232.437852,3047.562148,2216.524987,58.57,60,2,100,74880.0,5540.181,54.7883,152.4379,0.0,0.0,0.0,0.0,23,0.02,0.997304,0.501407,0.498965,1.003745,0.40045,0.300812,0.300322,0.500627,0.050116,0.200457,0.299765,0.504049,0.39794,0.049768,0.001542,0.000369,0.00044,0.001664,0.000277,0.000146,0.000153,0.000427,5e-06,6.9e-05,0.000171,0.000503,0.000308,1.2e-05
80,200,202,2,2,0,0,0,1,1.231215,0.0,5511.314129,235.365118,3043.403666,2281.38205,77.84,80,2,100,99840.0,7412.841,79.9908,157.8136,0.0,0.0,0.0,0.0,23,0.02,0.997356,0.501541,0.499099,1.003767,0.399954,0.300921,0.300379,0.500253,0.050096,0.200407,0.299635,0.504208,0.398183,0.049842,0.001624,0.000372,0.000434,0.00167,0.0003,0.00014,0.000154,0.000427,5e-06,7e-05,0.000172,0.0005,0.000296,1.2e-05
100,197,206,9,9,0,0,0,2,1.774931,0.0,5396.381537,231.069437,3047.155632,2305.250664,96.06,100,2,100,124800.0,9302.1525,106.3843,161.7878,0.0,0.0,0.0,0.0,23,0.030457,0.997533,0.501629,0.499769,1.003482,0.399351,0.30088,0.30018,0.500051,0.050096,0.200252,0.299623,0.504836,0.398204,0.049802,0.001615,0.000347,0.000443,0.001681,0.0003,0.000138,0.000149,0.000417,5e-06,6.8e-05,0.000177,0.000524,0.000296,1.2e-05
120,184,211,27,27,0,0,0,9,6.612047,0.0,5369.295949,215.045344,3058.342609,2313.287869,112.97,120,2,99,149760.0,11203.1475,133.7686,167.4646,0.0,0.0,0.0,0.0,23,0.032609,0.997378,0.501674,0.50174,1.00165,0.39903,0.301053,0.30031,0.500643,0.050049,0.200327,0.299205,0.504358,0.397662,0.049613,0.001483,0.000362,0.000459,0.001651,0.000298,0.000137,0.000139,0.000393,5e-06,7e-05,0.000179,0.000514,0.000306,1.2e-05
140,179,213,34,34,0,0,0,8,3.707281,0.0,5469.871609,211.602359,3064.69036,2314.006922,131.35,140,2,97,174720.0,13125.9525,164.2301,171.8803,0.2503,0.0,0.0,0.0,23,0.03352,0.998886,0.501723,0.501822,1.000826,0.399147,0.301255,0.299991,0.501048,0.050049,0.200407,0.299303,0.504019,0.39767,0.049709,0.001471,0.000371,0.000465,0.001577,0.000302,0.000127,0.000132,0.000405,5e-06,7.2e-05,0.000179,0.000514,0.000305,1.3e-05
160,179,219,40,40,0,0,0,11,6.10544,0.0,5606.31364,208.716181,3065.178379,2313.988925,146.28,160,2,96,199680.0,15066.162,195.0901,176.0624,0.2503,0.0,0.0,0.0,23,0.039106,0.998601,0.50136,0.501928,1.001729,0.399472,0.301786,0.299575,0.50043,0.050045,0.20061,0.299643,0.503941,0.396766,0.049583,0.001504,0.000381,0.000468,0.001682,0.000336,0.000138,0.000134,0.000388,5e-06,7.8e-05,0.000175,0.000554,0.000286,1.2e-05
180,183,224,41,41,0,0,0,9,4.324062,0.0,5760.146009,213.590952,3062.084986,2317.048001,162.02,180,2,95,224640.0,17035.8285,220.8881,182.1257,0.2503,0.0,0.0,0.0,23,0.038251,0.998281,0.501567,0.501799,1.002535,0.399026,0.30199,0.299722,0.500231,0.050053,0.200532,0.299318,0.5038,0.396688,0.049561,0.001537,0.000385,0.000472,0.001684,0.000341,0.000145,0.000141,0.000407,5e-06,8.3e-05,0.000183,0.000552,0.000295,1.4e-05
200,189,231,42,42,0,0,0,8,3.923654,0.0,5860.36408,219.691918,3056.384429,2317.059118,175.73,200,3,95,249600.0,19004.238,248.4421,189.428,0.2814,0.0,0.0,0.0,23,0.042328,0.998768,0.502218,0.501821,1.004612,0.399417,0.30205,0.299578,0.500189,0.050027,0.200771,0.299376,0.503592,0.396662,0.049537,0.001683,0.000417,0.000483,0.001927,0.000355,0.000162,0.000156,0.000422,5e-06,8.8e-05,0.000191,0.00064,0.000293,1.5e-05
