tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.010309,2,1.022475,0.302089,0.411657,0.050685
20,1,2,0.010309,2,0.996667,0.29252,0.392265,0.054895
20,2,2,0.010309,2,1.037952,0.30009,0.425951,0.04852
20,3,2,0.010309,2,0.981467,0.303553,0.409258,0.050927
20,4,2,0.010309,2,0.991999,0.302013,0.402139,0.050601
20,5,2,0.010309,2,1.021777,0.280851,0.398635,0.050794
20,6,2,0.010309,2,1.017336,0.325706,0.396045,0.052087
20,7,2,0.010309,2,0.971923,0.298708,0.415324,0.053858
40,56,3,0.015306,3,0.958031,0.310787,0.416452,0.051624
40,73,3,0.015306,3,0.93164,0.305267,0.435158,0.051625
40,0,2,0.010204,2,1.022475,0.302089,0.411657,0.050685
40,1,2,0.010204,2,0.996667,0.29252,0.392265,0.054895
40,2,2,0.010204,2,1.037952,0.30009,0.425951,0.04852
40,3,2,0.010204,2,0.981467,0.303553,0.409258,0.050927
40,4,2,0.010204,2,0.991999,0.302013,0.402139,0.050601
40,5,2,0.010204,2,1.021777,0.280851,0.398635,0.050794
60,0,3,0.015,3,1.015754,0.290515,0.40551,0.0535
60,8,3,0.015,3,0.962605,0.298731,0.378491,0.051904
60,50,3,0.015,3,0.983652,0.300717,0.382915,0.048584
60,56,3,0.015,3,0.958031,0.310787,0.416452,0.051624
60,59,3,0.015,3,1.019626,0.320866,0.406906,0.043249
60,73,3,0.015,3,0.93164,0.305267,0.435158,0.051625
60,1,2,0.01,2,0.996667,0.29252,0.392265,0.054895
60,2,2,0.01,2,1.037952,0.30009,0.425951,0.04852
80,50,5,0.024272,5,0.976985,0.306829,0.38249,0.049228
80,8,4,0.019417,4,0.950745,0.301771,0.384498,0.050267
80,56,4,0.019417,4,0.939587,0.311323,0.413273,0.048623
80,59,4,0.019417,4,1.028331,0.310834,0.410616,0.044812
80,0,3,0.014563,3,1.015754,0.290515,0.40551,0.0535
80,73,3,0.014563,3,0.93164,0.305267,0.435158,0.051625
80,75,3,0.014563,3,1.001468,0.305831,0.399504,0.0469
