tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,194,194,0,0,0,0,0,0,0,0,5600.150716,130.913569,3149.086431,1746.368242,19.52,20,1,100,24960.0,1907.874,12.4348,50.9136,0.0,0.0,0.0,0.0,0,0.010309,1.00386,0.500554,0.500706,1.004489,0.400793,0.300929,0.300716,0.50249,0.05027,0.199386,0.300478,0.501427,0.400796,0.050347,0.001555,0.00036,0.000366,0.001477,0.000252,0.000122,0.000147,0.000507,4e-06,6.1e-05,0.000117,0.000499,0.000288,1.3e-05
40,196,196,0,0,0,0,0,0,0,0,5911.347584,191.164034,3088.835966,2097.722923,39.14,40,2,100,49920.0,3837.084,32.321,111.164,0.0,0.0,0.0,0.0,56,0.015306,1.003046,0.501117,0.500373,1.004515,0.400909,0.300985,0.300858,0.503096,0.050277,0.199422,0.300344,0.501468,0.40127,0.050398,0.001627,0.000389,0.000381,0.001507,0.00026,0.000122,0.000149,0.000546,4e-06,6.2e-05,0.000119,0.000514,0.000308,1.3e-05
60,200,200,0,0,0,0,0,0,0,0,5929.947306,230.830936,3049.169064,2262.056699,58.28,60,2,100,74880.0,5783.8215,57.981,150.8309,0.0,0.0,0.0,0.0,0,0.015,1.002632,0.501176,0.499853,1.00509,0.401078,0.30103,0.300922,0.502611,0.050282,0.199175,0.300227,0.501178,0.401047,0.050374,0.001647,0.000409,0.00045,0.00171,0.000266,0.000134,0.000147,0.000576,4e-06,6.6e-05,0.000123,0.000521,0.000315,1.4e-05
80,206,206,0,0,0,0,0,0,0,0,5859.79319,239.453912,3040.546088,2325.860662,76.35,80,2,100,99840.0,7757.4345,88.121,159.4539,0.0,0.0,0.0,0.0,50,0.024272,1.00147,0.501454,0.499906,1.004795,0.401545,0.301262,0.300967,0.502299,0.050289,0.199196,0.300001,0.500838,0.401028,0.050289,0.00173,0.000423,0.00045,0.001695,0.000278,0.000139,0.000148,0.000589,4e-06,7e-05,0.000126,0.000512,0.000322,1.4e-05
100,199,210,11,11,0,0,0,5,1.677134,0.0,5818.026205,232.660213,3045.662653,2347.761429,94.48,100,3,100,124800.0,9743.712,121.2897,166.1157,0.0,0.0,0.0,0.0,8,0.025126,1.000369,0.50101,0.498236,1.006369,0.401182,0.301704,0.300903,0.502525,0.05029,0.199231,0.299935,0.501234,0.401061,0.050252,0.001644,0.000431,0.000487,0.001811,0.000274,0.000136,0.000154,0.000645,4e-06,6.8e-05,0.000126,0.000499,0.00033,1.3e-05
120,197,218,21,21,0,0,0,4,2.249166,0.0,5856.74689,225.986258,3051.764576,2353.7827,109.87,120,3,100,149760.0,11742.612,157.2253,171.7338,0.0,0.0,0.0,0.0,8,0.030457,0.998577,0.501615,0.498238,1.008009,0.400751,0.301717,0.301231,0.502921,0.05018,0.199145,0.300145,0.500256,0.400381,0.050249,0.001613,0.000475,0.000501,0.001934,0.000262,0.000147,0.00016,0.00067,4e-06,6.6e-05,0.000123,0.000533,0.000351,1.5e-05
140,198,220,22,22,0,0,0,1,0.104649,0.0,5914.832626,231.847405,3048.047946,2354.909037,128.6,140,3,100,174720.0,13758.582,194.3064,178.7624,0.0,0.0,0.0,0.0,8,0.030303,0.998315,0.501926,0.498044,1.007463,0.400591,0.301578,0.300848,0.503057,0.050188,0.199384,0.300346,0.500379,0.40018,0.050315,0.001649,0.000513,0.000501,0.002004,0.00027,0.000142,0.000182,0.000677,4e-06,6.9e-05,0.000143,0.00054,0.000355,1.5e-05
160,197,225,28,28,0,0,0,6,5.039371,0.0,5941.575293,229.555724,3045.404906,2355.019136,144.66,160,4,96,199680.0,15764.2335,231.459,183.6102,0.0,0.0,0.0,0.0,8,0.035533,0.998382,0.501538,0.49692,1.008047,0.400581,0.301356,0.300591,0.503349,0.050234,0.199401,0.300239,0.500642,0.400337,0.050284,0.001731,0.000593,0.000553,0.002137,0.000279,0.000145,0.000184,0.000694,5e-06,7.1e-05,0.000153,0.000556,0.000369,1.5e-05
180,195,228,33,33,0,0,0,7,3.662437,0.0,5992.549766,229.018612,3047.318951,2354.913034,162.01,180,4,96,224640.0,17766.0945,268.6117,188.775,0.2315,0.0,0.0,0.0,8,0.041026,0.998154,0.501517,0.495908,1.00981,0.400574,0.301048,0.30082,0.502764,0.05024,0.199366,0.300473,0.500836,0.400353,0.050253,0.001792,0.000617,0.000618,0.00226,0.000274,0.000142,0.000223,0.000734,4e-06,7.2e-05,0.000163,0.000576,0.000389,1.4e-05
200,194,229,35,35,0,0,0,6,4.039508,0.0,6046.567968,230.285875,3045.674617,2354.797421,180.89,200,4,95,249600.0,19769.502,305.7643,192.2663,0.2315,0.0,0.0,0.0,8,0.041237,0.998398,0.501543,0.495537,1.008963,0.400453,0.300972,0.301004,0.502777,0.050236,0.199393,0.300358,0.500777,0.400679,0.050253,0.001782,0.000617,0.000615,0.002414,0.000288,0.000138,0.000237,0.000736,4e-06,7.4e-05,0.000164,0.000581,0.0004,1.4e-05
