seed,final_tick,population,max_generation,n_lineages,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate
1,5000,364.0,10.0,85.0,0.027473,1.006733,0.502736,0.505686,1.005346,0.398188,0.31834,0.299837,0.497253,0.050111,0.200837,0.300593,0.5048,0.405247,0.051006
2,5000,336.0,7.0,79.0,0.026786,0.991072,0.493365,0.496802,1.002147,0.404423,0.31591,0.302137,0.500032,0.049913,0.199896,0.305797,0.499593,0.402561,0.048978
3,5000,376.0,9.0,81.0,0.039894,1.016202,0.498078,0.504852,1.010942,0.407515,0.316127,0.298738,0.498408,0.050383,0.200126,0.304316,0.501402,0.395259,0.050558

median,,364.0,9.0,81.0,0.027473,1.006733,0.498078,0.504852,1.005346,0.404423,0.316127,0.299837,0.498408,0.050111,0.200126,0.304316,0.501402,0.402561,0.050558
min,,336.0,7.0,79.0,0.026786,0.991072,0.493365,0.496802,1.002147,0.398188,0.31591,0.298738,0.497253,0.049913,0.199896,0.300593,0.499593,0.395259,0.048978
max,,376.0,10.0,85.0,0.039894,1.016202,0.502736,0.505686,1.010942,0.407515,0.31834,0.302137,0.500032,0.050383,0.200837,0.305797,0.5048,0.405247,0.051006
