tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,194,194,0,0,0,0,0,0,0,0,5687.482513,130.610979,3149.389021,1898.407387,19.47,20,1,100,24960.0,1999.254,6.1229,50.611,0.0,0.0,0.0,0.0,0,0.010309,47,96,51,0.242268,0.494845,0.262887,0.796237,4,0.020619,0.0,1.002934,0.498671,0.500121,1.003468,0.402108,0.300211,0.299921,0.499905,0.050232,0.20002,0.300242,0.499482,0.401543,0.050269,0.001694,0.000407,0.000302,0.001707,0.000239,0.00013,0.000165,0.000351,4e-06,7.1e-05,0.000167,0.000386,0.000232,1.6e-05
40,197,197,0,0,0,0,0,0,0,0,6089.828924,190.841362,3089.158638,2285.381812,38.87,40,2,100,49920.0,4027.554,15.9888,110.8414,0.0,0.0,0.0,0.0,29,0.015228,48,98,51,0.243655,0.497462,0.258883,0.799454,5,0.025381,0.0,1.002093,0.498517,0.500428,1.003179,0.402199,0.300277,0.299951,0.49995,0.050256,0.200139,0.300092,0.499648,0.401518,0.050174,0.001718,0.000404,0.000315,0.001696,0.000241,0.00013,0.000174,0.000349,4e-06,7.2e-05,0.000175,0.000396,0.00023,1.7e-05
60,202,202,0,0,0,0,0,0,0,0,6211.047379,231.03957,3048.96043,2467.545914,57.83,60,2,100,74880.0,6090.432,28.8537,151.0396,0.0,0.0,0.0,0.0,11,0.014851,52,99,51,0.257426,0.490099,0.252475,0.806406,5,0.024752,0.0,1.002118,0.498519,0.49998,1.00424,0.402401,0.300723,0.299698,0.500359,0.050235,0.200232,0.300524,0.499852,0.400852,0.050207,0.001788,0.000403,0.000324,0.001891,0.000272,0.000139,0.000176,0.000401,4e-06,7.5e-05,0.000182,0.000424,0.000266,1.7e-05
80,205,207,2,2,0,0,0,1,1.041783,0.0,6248.350088,238.350009,3040.608208,2539.160088,76.12,80,2,100,99840.0,8188.518,44.5958,160.7174,0.0,0.0,0.0,0.0,11,0.019512,57,99,49,0.278049,0.482927,0.239024,0.817441,5,0.02439,0.002084,1.003347,0.49854,0.49983,1.005036,0.402211,0.300824,0.299582,0.500185,0.050219,0.20031,0.300082,0.500095,0.401079,0.050108,0.001859,0.000412,0.000324,0.001866,0.000271,0.000137,0.000173,0.000395,4e-06,7.4e-05,0.000186,0.00043,0.000265,1.7e-05
100,201,215,14,14,0,0,0,5,3.495946,0.0,6357.247766,232.531769,3043.972285,2564.339676,92.61,100,3,99,124800.0,10351.9395,62.6476,169.3244,0.0,0.0,0.0,0.0,11,0.024876,60,102,39,0.298507,0.507463,0.19403,0.843679,7,0.034826,0.013312,1.003259,0.498106,0.499638,1.005867,0.401954,0.300921,0.29975,0.500405,0.050267,0.200411,0.300673,0.500155,0.400527,0.050056,0.001895,0.000398,0.000321,0.002046,0.000306,0.000139,0.000155,0.000402,5e-06,8e-05,0.000188,0.000504,0.000279,1.6e-05
120,202,225,23,23,0,0,0,5,1.359517,0.0,6520.621311,231.768992,3046.871491,2570.502738,107.23,120,3,99,149760.0,12542.598,84.505,179.345,0.0,0.0,0.0,0.0,11,0.034653,64,105,33,0.316832,0.519802,0.163366,0.859218,7,0.034653,0.00944,1.003651,0.49805,0.499266,1.005403,0.401795,0.300846,0.299349,0.501242,0.050255,0.200722,0.301097,0.500522,0.400731,0.049934,0.001933,0.000389,0.000329,0.002068,0.000307,0.000156,0.00014,0.000432,5e-06,8.4e-05,0.000198,0.000531,0.000272,1.4e-05
140,204,232,28,28,0,0,0,4,1.782387,0.0,6714.814955,236.417069,3041.800545,2570.157778,122.9,140,3,98,174720.0,14770.3995,108.763,189.7687,0.0,0.0,0.0,0.0,11,0.034314,65,108,31,0.318627,0.529412,0.151961,0.8675,8,0.039216,0.002063,1.005107,0.498149,0.499073,1.00516,0.402249,0.301345,0.299748,0.500864,0.050113,0.201058,0.301952,0.501594,0.400207,0.049817,0.001997,0.00039,0.00036,0.002054,0.000331,0.000167,0.000144,0.000422,5e-06,8.8e-05,0.000208,0.000558,0.000305,1.4e-05
160,201,239,38,38,0,0,0,10,6.702312,0.0,6917.702724,234.252077,3039.045612,2567.419465,137.49,160,3,95,199680.0,17014.7595,135.1186,199.7751,0.0,0.0,0.0,0.0,11,0.034826,69,104,28,0.343284,0.517413,0.139303,0.884425,8,0.039801,0.004062,1.006281,0.498481,0.498802,1.005541,0.401706,0.301482,0.299694,0.501552,0.050053,0.201359,0.301571,0.501459,0.400282,0.049819,0.002136,0.000448,0.000382,0.002061,0.000334,0.000177,0.000148,0.000437,5e-06,8.9e-05,0.000214,0.000592,0.00033,1.5e-05
180,209,247,38,38,0,0,0,6,4.213614,0.0,7105.519874,241.505584,3034.280802,2564.073399,151.7,180,3,95,224640.0,19257.3195,163.0098,207.0286,0.0,0.0,0.0,0.0,11,0.038278,71,110,28,0.339713,0.526316,0.133971,0.886356,11,0.052632,0.0,1.005272,0.497794,0.498504,1.005733,0.401791,0.300991,0.299932,0.501486,0.050078,0.201484,0.301568,0.501222,0.400504,0.049684,0.002254,0.000461,0.000374,0.002045,0.000334,0.000193,0.000158,0.000427,5e-06,9.3e-05,0.000248,0.000582,0.000387,1.6e-05
200,208,249,41,41,0,0,0,8,7.190479,0.0,7260.851458,245.360598,3027.448923,2557.809908,169.67,200,3,92,249600.0,21506.571,195.3149,214.4353,0.0,0.0,0.0,0.0,11,0.038462,72,111,25,0.346154,0.533654,0.120192,0.893481,11,0.052885,0.0,1.006146,0.497395,0.498673,1.005823,0.401804,0.301324,0.299728,0.501388,0.050102,0.201451,0.301787,0.501402,0.400465,0.049656,0.002322,0.000469,0.000383,0.002143,0.000347,0.000202,0.000161,0.000432,5e-06,9.4e-05,0.000254,0.000593,0.000401,1.6e-05
