tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
2540,71,9,0.028754,12,1.059453,0.298257,0.401384,0.053026,4,562.231,18.809,6.055,0.0,1.180167,0.0,0.303526
2540,99,9,0.028754,34,0.993784,0.28008,0.39648,0.050848,5,160.603,296.086,9.768,0.0,0.890833,0.0,0.305835
2540,11,8,0.025559,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2540,29,8,0.025559,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2540,46,8,0.025559,38,0.957154,0.293882,0.378494,0.050607,4,338.72,380.149,6.218,0.0,0.798375,0.0,0.304194
2540,82,8,0.025559,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2540,0,7,0.022364,18,0.952625,0.335218,0.403755,0.040701,4,558.531,238.86,6.991,0.0,0.9465,0.0,0.3173
2560,71,10,0.031746,13,1.059477,0.297112,0.405549,0.0534,4,561.937,19.091,5.838,0.0,1.179,0.0,0.302056
2560,50,9,0.028571,19,1.017557,0.301531,0.414466,0.056157,4,279.434,77.322,7.126,0.0,1.117167,0.0,0.279748
2560,99,9,0.028571,34,0.993784,0.28008,0.39648,0.050848,5,160.603,296.086,9.768,0.0,0.890833,0.0,0.305835
2560,11,8,0.025397,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2560,29,8,0.025397,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2560,46,8,0.025397,38,0.957154,0.293882,0.378494,0.050607,4,338.72,380.149,6.218,0.0,0.798375,0.0,0.304194
2560,82,8,0.025397,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2560,0,7,0.022222,18,0.952625,0.335218,0.403755,0.040701,4,558.531,238.86,6.991,0.0,0.9465,0.0,0.3173
2580,71,10,0.032051,13,1.059477,0.297112,0.405549,0.0534,4,561.937,19.091,5.838,0.0,1.179,0.0,0.302056
