tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,197,197,0,0,0,0,0,0,0,0,5618.657419,130.997788,3149.002212,1749.1333,19.47,20,1,100,24960.0,1938.03,9.2916,50.9978,0.0,0.0,0.0,0.0,0,0.010152,0.999708,0.500701,0.500834,1.000055,0.399209,0.29903,0.299307,0.501458,0.050131,0.199558,0.300607,0.498527,0.402256,0.050855,0.001677,0.000462,0.000451,0.001387,0.000224,0.000143,0.000143,0.000451,4e-06,6e-05,0.00018,0.00044,0.000265,1.5e-05
40,201,201,0,0,0,0,0,0,0,0,5939.275379,193.466601,3086.533399,2102.85814,38.7,40,2,100,49920.0,3903.21,24.4423,113.4666,0.0,0.0,0.0,0.0,12,0.014925,0.999594,0.50034,0.500742,1.000335,0.399431,0.298703,0.299639,0.501946,0.050194,0.199457,0.300964,0.498394,0.402314,0.050923,0.001833,0.000469,0.000503,0.001526,0.000233,0.000153,0.000149,0.00046,4e-06,6.4e-05,0.000194,0.000446,0.000274,1.6e-05
60,207,207,0,0,0,0,0,0,0,0,5955.116539,234.342801,3045.657199,2268.470467,57.44,60,2,100,74880.0,5888.289,44.2515,154.3428,0.0,0.0,0.0,0.0,79,0.019324,0.99877,0.500735,0.500596,1.000189,0.399896,0.298711,0.299735,0.501975,0.05023,0.199713,0.301259,0.498253,0.401548,0.051004,0.001857,0.000501,0.000557,0.001541,0.000261,0.000154,0.000164,0.00046,4e-06,6.9e-05,0.000196,0.000451,0.000302,1.7e-05
80,209,212,3,3,0,0,0,3,2.339472,0.0,5856.640567,242.607057,3035.053471,2334.563025,75.88,80,2,100,99840.0,7892.1615,65.6275,166.1736,0.0,0.0,0.0,0.0,12,0.019139,0.999048,0.500461,0.499755,1.001254,0.399784,0.298797,0.299521,0.502275,0.050234,0.199751,0.300952,0.498099,0.401734,0.050994,0.001844,0.000499,0.000551,0.001555,0.000266,0.000155,0.000165,0.000458,4e-06,7.3e-05,0.000186,0.000446,0.000315,1.7e-05
100,201,216,15,15,0,0,0,6,3.311421,0.0,5811.135781,236.443869,3040.24471,2359.520564,94.07,100,3,100,124800.0,9920.172,87.0093,174.536,0.0,0.0,0.0,0.0,96,0.024876,0.999252,0.500971,0.500033,1.000042,0.399969,0.299238,0.299777,0.503375,0.050282,0.199707,0.300811,0.498169,0.401062,0.050955,0.001791,0.00049,0.000615,0.001579,0.000261,0.000139,0.000153,0.00044,4e-06,7.5e-05,0.000188,0.00045,0.000321,1.8e-05
120,203,226,23,23,0,0,0,8,5.386275,0.0,5805.929674,231.855304,3042.758421,2368.733089,108.53,120,3,96,149760.0,11940.1275,108.3912,179.4634,0.0,0.0,0.0,0.0,96,0.029557,1.000755,0.50055,0.499995,0.999715,0.399908,0.300159,0.299452,0.503353,0.050221,0.199861,0.301134,0.498081,0.400557,0.050808,0.001856,0.000496,0.000706,0.001672,0.000281,0.000174,0.000156,0.000481,4e-06,7.9e-05,0.000206,0.000444,0.000331,1.9e-05
140,199,231,32,32,0,0,0,11,4.864323,0.0,5823.447248,230.282916,3044.852761,2372.118662,125.11,140,3,96,174720.0,13959.6075,129.773,188.5936,0.0,0.0,0.0,0.0,96,0.030151,1.001737,0.500802,0.500199,1.000507,0.400102,0.300152,0.299587,0.502829,0.050273,0.200068,0.301231,0.498148,0.400654,0.050893,0.001756,0.000486,0.000696,0.001814,0.000283,0.000185,0.000158,0.00049,4e-06,8.7e-05,0.000216,0.000448,0.000311,2.1e-05
160,202,242,40,40,0,0,0,9,4.434192,0.0,5871.36702,230.802301,3044.763507,2373.367573,137.15,160,3,95,199680.0,16011.3495,151.1549,198.651,0.0,0.0,0.0,0.0,96,0.034653,1.00296,0.500681,0.50055,0.997742,0.399385,0.3004,0.298975,0.502268,0.05024,0.200622,0.300649,0.49808,0.400749,0.050881,0.001805,0.000454,0.000656,0.001782,0.000295,0.000186,0.000169,0.000482,4e-06,8.6e-05,0.00022,0.000506,0.000351,2.2e-05
180,200,246,46,46,0,0,0,11,6.996113,0.0,5954.795407,233.285639,3039.718248,2373.832256,153.5,180,3,93,224640.0,18105.7245,172.5367,208.4126,0.0,0.0,0.0,0.0,96,0.04,1.003974,0.500869,0.500692,0.996404,0.399414,0.300126,0.299083,0.502554,0.050228,0.200745,0.300829,0.498779,0.40097,0.05083,0.002086,0.000476,0.000698,0.001774,0.000318,0.000191,0.000182,0.000504,4e-06,8.7e-05,0.000224,0.000535,0.000366,2.2e-05
200,197,248,51,51,0,0,0,10,7.403931,0.0,6060.164858,233.509968,3039.086101,2374.00733,171.78,200,3,92,249600.0,20219.607,193.9185,214.8202,0.0312,0.0,0.0,0.0,96,0.035533,1.003997,0.500651,0.50154,0.995668,0.399015,0.300127,0.298949,0.502255,0.05014,0.201013,0.300688,0.499392,0.40103,0.05071,0.002098,0.000483,0.000677,0.001729,0.000305,0.00019,0.000181,0.00048,4e-06,8.5e-05,0.000223,0.000534,0.000374,2e-05
