tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,196,196,0,0,0,0,0,0,0,0,5704.267699,130.999843,3149.000157,1857.344879,19.5,20,1,100,24960.0,2019.216,11.1822,50.9998,0.0,0.0,0.0,0.0,0,0.010204,0.996654,0.501005,0.500125,1.002086,0.399264,0.301625,0.301055,0.501726,0.050269,0.200493,0.300684,0.499534,0.398076,0.0504,0.001399,0.000445,0.000392,0.001535,0.000217,0.00013,0.000172,0.000463,5e-06,6.5e-05,0.000166,0.000361,0.000257,1.5e-05
40,200,200,0,0,0,0,0,0,0,0,6114.462268,192.370414,3087.629586,2232.48621,38.73,40,2,100,49920.0,4064.316,29.1969,112.3704,0.0,0.0,0.0,0.0,1,0.015,0.995947,0.500998,0.500172,1.002262,0.398945,0.301542,0.300988,0.501969,0.050285,0.200485,0.300828,0.499478,0.398419,0.050361,0.001431,0.000467,0.000405,0.001601,0.000218,0.000131,0.00017,0.000475,5e-06,6.8e-05,0.000178,0.000363,0.000275,1.5e-05
60,207,207,0,0,0,0,0,0,0,0,6247.599972,232.725029,3047.274971,2408.632934,57.22,60,2,100,74880.0,6153.9931,52.3367,152.725,0.0,0.0,0.0,0.0,16,0.019324,0.993874,0.500923,0.500238,1.002074,0.398677,0.301665,0.3007,0.500647,0.050331,0.200297,0.300982,0.499722,0.398172,0.050331,0.001774,0.000489,0.000441,0.001682,0.000273,0.000156,0.000177,0.000532,5e-06,7.8e-05,0.000177,0.000374,0.000287,1.5e-05
80,211,211,0,0,0,0,0,0,0,0,6281.943855,243.295117,3036.704883,2479.590584,76.03,80,2,100,99840.0,8267.5231,76.9514,163.2951,0.0,0.0,0.0,0.0,16,0.023697,0.994649,0.500987,0.500444,1.001887,0.398701,0.301655,0.300532,0.500258,0.050336,0.200212,0.301063,0.499671,0.398417,0.050308,0.001801,0.000483,0.000437,0.001685,0.000271,0.000154,0.000177,0.000535,5e-06,7.7e-05,0.000181,0.000368,0.000286,1.5e-05
100,206,218,12,12,0,0,0,6,2.667204,0.0,6327.244122,236.979112,3040.353685,2506.188127,93.01,100,3,100,124800.0,10396.0606,102.1074,171.3264,0.0,0.0,0.0,0.0,16,0.029126,0.994022,0.501498,0.500305,0.999301,0.398076,0.301775,0.300883,0.500294,0.050294,0.200492,0.301376,0.498894,0.398803,0.050086,0.001799,0.000469,0.000445,0.00156,0.000265,0.000159,0.00016,0.000537,6e-06,8.8e-05,0.000174,0.000384,0.000311,1.2e-05
120,209,230,21,21,0,0,0,9,3.304624,0.0,6405.684523,235.310373,3041.385004,2516.338493,106.78,120,3,100,149760.0,12545.7421,126.9772,179.9426,0.3446,0.0,0.0,0.0,16,0.043062,0.993975,0.500857,0.500523,0.998985,0.397917,0.301887,0.300096,0.498951,0.050365,0.200152,0.300675,0.498875,0.399671,0.050149,0.001882,0.000529,0.000558,0.001791,0.0003,0.000173,0.000169,0.000559,6e-06,8.8e-05,0.00019,0.000394,0.000349,1.4e-05
140,210,236,26,26,0,0,0,5,2.093082,0.0,6519.901962,240.2783,3037.628617,2519.947874,123.14,140,3,99,174720.0,14732.8651,151.8886,190.9553,0.4123,0.0,0.0,0.0,16,0.042857,0.992022,0.500814,0.500577,0.999321,0.398041,0.301499,0.300143,0.498958,0.050288,0.200147,0.30061,0.499038,0.399873,0.050259,0.001891,0.000527,0.000579,0.001787,0.000297,0.000177,0.00017,0.000551,6e-06,9.3e-05,0.000195,0.000381,0.000377,1.6e-05
160,214,246,32,32,0,0,0,10,4.672673,0.0,6622.008597,242.265909,3033.061417,2521.123036,136.57,160,3,98,199680.0,16935.6526,177.101,200.2736,0.4123,0.0,0.0,0.0,16,0.046729,0.992555,0.500453,0.500485,0.998401,0.397813,0.30168,0.300395,0.500741,0.050262,0.200346,0.300643,0.498771,0.400683,0.050446,0.001862,0.000549,0.000575,0.001814,0.000317,0.000183,0.00018,0.000563,6e-06,0.000101,0.000193,0.000394,0.000404,1.7e-05
180,218,252,34,34,0,0,0,8,3.465565,0.0,6693.175066,250.015568,3026.518867,2521.935533,152.28,180,3,97,224640.0,19144.8976,201.6698,210.4557,0.4123,0.0,0.0,0.0,16,0.045872,0.992202,0.500494,0.500005,0.999468,0.397453,0.301842,0.300432,0.501258,0.050228,0.20036,0.300406,0.498942,0.400769,0.050424,0.001879,0.000576,0.00061,0.001881,0.000343,0.000188,0.000189,0.000579,6e-06,0.000104,0.000205,0.000421,0.000402,1.7e-05
200,213,259,46,46,0,0,0,15,8.533876,0.0,6735.558253,246.406892,3025.059232,2521.868606,165.89,200,3,94,249600.0,21349.8496,226.8822,221.0262,0.4704,0.0,0.0,0.0,16,0.051643,0.992131,0.500213,0.500286,0.9993,0.397856,0.301784,0.300241,0.500464,0.050247,0.200384,0.301032,0.49907,0.400514,0.050336,0.001891,0.00058,0.000619,0.002038,0.000359,0.000199,0.000176,0.000565,6e-06,0.000103,0.000228,0.000423,0.000406,1.7e-05
