tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
20,0,2,0.010204,2,0.968695,0.298374,0.382779,0.046517,1,165.226,211.423,2.921,0.0,0.9795,0.0,0.30748
20,1,2,0.010204,2,1.010646,0.295182,0.407641,0.050383,1,34.544,422.329,2.92,0.0,0.7485,0.0,0.296605
20,2,2,0.010204,2,1.020084,0.284927,0.418291,0.04883,1,644.642,154.041,2.92,0.0,1.0425,0.0,0.308449
20,3,2,0.010204,2,0.967039,0.303884,0.399024,0.050472,2,119.512,388.545,2.92,0.0,0.7905,0.0,0.306107
20,4,2,0.010204,2,1.019208,0.299674,0.403069,0.051449,2,134.518,299.908,2.92,0.0,0.885,0.0,0.306606
20,5,2,0.010204,2,1.016969,0.30862,0.430292,0.052266,1,651.137,273.307,2.92,0.0,0.9165,0.0,0.286964
20,6,2,0.010204,2,0.999731,0.297219,0.389592,0.050883,1,670.499,583.819,2.921,0.0,0.5805,0.0,0.2961
20,7,2,0.010204,2,1.003493,0.291578,0.401721,0.046518,1,554.623,400.383,2.92,0.0,0.7695,0.0,0.286988
40,28,3,0.015152,3,0.996495,0.306918,0.392558,0.045698,3,338.163,16.54,3.656,0.0,1.1825,0.0,0.312114
40,42,3,0.015152,3,0.9781,0.304991,0.431215,0.05132,2,597.529,115.901,3.982,0.0,1.0845,0.0,0.319993
40,0,2,0.010101,2,0.968695,0.298374,0.382779,0.046517,1,165.226,211.423,2.921,0.0,0.9795,0.0,0.30748
40,1,2,0.010101,2,1.010646,0.295182,0.407641,0.050383,1,34.544,422.329,2.92,0.0,0.7485,0.0,0.296605
40,2,2,0.010101,2,1.020084,0.284927,0.418291,0.04883,1,644.642,154.041,2.92,0.0,1.0425,0.0,0.308449
40,3,2,0.010101,2,0.967039,0.303884,0.399024,0.050472,2,119.512,388.545,2.92,0.0,0.7905,0.0,0.306107
40,4,2,0.010101,2,1.019208,0.299674,0.403069,0.051449,2,134.518,299.908,2.92,0.0,0.885,0.0,0.306606
40,5,2,0.010101,2,1.016969,0.30862,0.430292,0.052266,1,651.137,273.307,2.92,0.0,0.9165,0.0,0.286964
60,8,3,0.014634,3,0.953071,0.287085,0.385083,0.046472,2,313.346,182.46,3.197,0.0,1.0075,0.0,0.325957
60,11,3,0.014634,3,1.026604,0.30445,0.391054,0.055079,2,203.213,59.884,2.801,0.0,1.1335,0.0,0.277756
60,25,3,0.014634,3,1.075406,0.300769,0.412039,0.054141,2,182.438,133.991,4.162,0.0,1.0635,0.0,0.280899
60,28,3,0.014634,3,0.996495,0.306918,0.392558,0.045698,3,338.163,16.54,3.656,0.0,1.1825,0.0,0.312114
60,42,3,0.014634,3,0.9781,0.304991,0.431215,0.05132,2,597.529,115.901,3.982,0.0,1.0845,0.0,0.319993
60,58,3,0.014634,3,1.101642,0.281636,0.401062,0.051607,2,598.041,125.08,4.231,0.0,1.0635,0.0,0.311947
60,60,3,0.014634,3,0.980819,0.292592,0.407489,0.042089,2,564.372,161.034,2.828,0.0,1.0285,0.0,0.310559
60,61,3,0.014634,3,1.00808,0.290172,0.392328,0.053726,2,522.095,33.257,3.011,0.0,1.1685,0.0,0.302945
80,25,4,0.019231,4,1.067334,0.29493,0.406387,0.052565,2,181.828,135.39,4.675,0.0,1.0635,0.0,0.283716
80,28,4,0.019231,4,1.012063,0.310547,0.389295,0.045241,3,339.638,17.035,4.142,0.0,1.18425,0.0,0.312698
80,42,4,0.019231,4,0.972662,0.300808,0.420285,0.048751,2,596.946,115.956,3.396,0.0,1.0845,0.0,0.313033
80,58,4,0.019231,4,1.074095,0.288312,0.39609,0.052427,2,597.925,124.667,3.475,0.0,1.0635,0.0,0.313358
80,60,4,0.019231,4,1.001578,0.293213,0.412224,0.044091,2,564.198,162.281,3.245,0.0,1.02675,0.0,0.308937
80,61,4,0.019231,4,1.012831,0.287436,0.389688,0.053373,2,523.062,31.392,4.241,0.0,1.1685,0.0,0.301023
80,91,4,0.019231,4,1.004635,0.300901,0.41914,0.048174,2,100.738,16.848,4.605,0.0,1.1895,0.0,0.316992
80,8,3,0.014423,3,0.953071,0.287085,0.385083,0.046472,2,313.346,182.46,3.197,0.0,1.0075,0.0,0.325957
100,28,5,0.023585,5,1.014848,0.311938,0.388121,0.045073,3,340.247,16.727,3.859,0.0,1.1853,0.0,0.306633
100,61,5,0.023585,5,1.002641,0.283709,0.386149,0.053553,2,520.862,31.263,5.417,0.0,1.1685,0.0,0.301941
100,13,4,0.018868,4,1.03902,0.300587,0.401355,0.055198,2,480.466,205.918,3.721,0.0,0.9795,0.0,0.309819
100,22,4,0.018868,4,0.961808,0.310976,0.385002,0.05313,2,223.576,229.326,4.697,0.0,0.9585,0.0,0.296713
100,25,4,0.018868,4,1.067334,0.29493,0.406387,0.052565,2,181.828,135.39,4.675,0.0,1.0635,0.0,0.283716
100,33,4,0.018868,4,0.941407,0.282801,0.390864,0.05014,3,717.173,220.738,4.134,0.0,0.96375,0.0,0.307
100,42,4,0.018868,4,0.972662,0.300808,0.420285,0.048751,2,596.946,115.956,3.396,0.0,1.0845,0.0,0.313033
100,58,4,0.018868,4,1.074095,0.288312,0.39609,0.052427,2,597.925,124.667,3.475,0.0,1.0635,0.0,0.313358
120,28,6,0.028037,6,1.000793,0.308962,0.39154,0.045378,3,340.771,16.761,3.608,0.0,1.186,0.0,0.299984
120,61,5,0.023364,5,1.002641,0.283709,0.386149,0.053553,2,520.862,31.263,5.417,0.0,1.1685,0.0,0.301941
120,8,4,0.018692,4,0.966349,0.290832,0.391537,0.047599,2,314.847,180.363,4.661,0.0,1.011,0.0,0.332047
120,11,4,0.018692,4,1.046811,0.307515,0.378291,0.054283,2,203.004,60.811,2.745,0.0,1.13175,0.0,0.275482
120,13,4,0.018692,4,1.03902,0.300587,0.401355,0.055198,2,480.466,205.918,3.721,0.0,0.9795,0.0,0.309819
120,22,4,0.018692,4,0.961808,0.310976,0.385002,0.05313,2,223.576,229.326,4.697,0.0,0.9585,0.0,0.296713
120,25,4,0.018692,4,1.067334,0.29493,0.406387,0.052565,2,181.828,135.39,4.675,0.0,1.0635,0.0,0.283716
120,33,4,0.018692,4,0.941407,0.282801,0.390864,0.05014,3,717.173,220.738,4.134,0.0,0.96375,0.0,0.307
140,28,7,0.032558,7,0.994677,0.31402,0.39278,0.045024,3,340.348,15.531,4.338,0.0,1.1865,0.0,0.302683
140,42,5,0.023256,5,0.975826,0.300518,0.422014,0.049184,2,596.658,114.8,3.657,0.0,1.0845,0.0,0.313485
140,58,5,0.023256,5,1.061023,0.285527,0.402365,0.053094,2,599.077,124.24,3.746,0.0,1.0635,0.0,0.304707
140,60,5,0.023256,5,0.995943,0.301254,0.405098,0.046096,3,562.555,161.487,4.085,0.0,1.0299,0.0,0.310165
140,61,5,0.023256,5,1.002641,0.283709,0.386149,0.053553,2,520.862,31.263,5.417,0.0,1.1685,0.0,0.301941
140,3,4,0.018605,4,0.958678,0.303247,0.395832,0.050131,2,121.351,388.892,6.209,0.0,0.7905,0.0,0.299566
140,8,4,0.018605,4,0.966349,0.290832,0.391537,0.047599,2,314.847,180.363,4.661,0.0,1.011,0.0,0.332047
140,11,4,0.018605,4,1.046811,0.307515,0.378291,0.054283,2,203.004,60.811,2.745,0.0,1.13175,0.0,0.275482
160,28,8,0.03653,8,0.987239,0.312337,0.393124,0.045357,3,339.224,16.623,5.501,0.0,1.18425,0.0,0.299244
160,22,5,0.022831,5,0.966728,0.313993,0.390249,0.051081,2,222.238,227.937,5.412,0.0,0.9585,0.0,0.296852
160,33,5,0.022831,5,0.956049,0.283573,0.390064,0.048626,3,717.302,221.451,3.895,0.0,0.9627,0.0,0.308771
160,42,5,0.022831,5,0.975826,0.300518,0.422014,0.049184,2,596.658,114.8,3.657,0.0,1.0845,0.0,0.313485
160,58,5,0.022831,5,1.061023,0.285527,0.402365,0.053094,2,599.077,124.24,3.746,0.0,1.0635,0.0,0.304707
160,60,5,0.022831,5,0.995943,0.301254,0.405098,0.046096,3,562.555,161.487,4.085,0.0,1.0299,0.0,0.310165
160,61,5,0.022831,5,1.002641,0.283709,0.386149,0.053553,2,520.862,31.263,5.417,0.0,1.1685,0.0,0.301941
160,3,4,0.018265,4,0.958678,0.303247,0.395832,0.050131,2,121.351,388.892,6.209,0.0,0.7905,0.0,0.299566
180,28,8,0.036697,8,0.987239,0.312337,0.393124,0.045357,3,339.224,16.623,5.501,0.0,1.18425,0.0,0.299244
180,33,6,0.027523,6,0.95419,0.283866,0.388619,0.049955,4,719.253,221.149,5.065,0.0,0.9655,0.0,0.311001
180,42,6,0.027523,6,0.971998,0.301438,0.420129,0.04905,3,597.369,115.752,4.31,0.0,1.081,0.0,0.313773
180,11,5,0.022936,5,1.059788,0.297561,0.379542,0.05608,2,204.566,59.014,4.866,0.0,1.1349,0.0,0.274633
180,13,5,0.022936,5,1.030109,0.299523,0.395935,0.056536,2,482.716,205.58,5.4,0.0,0.9795,0.0,0.314778
180,22,5,0.022936,5,0.966728,0.313993,0.390249,0.051081,2,222.238,227.937,5.412,0.0,0.9585,0.0,0.296852
180,58,5,0.022936,5,1.061023,0.285527,0.402365,0.053094,2,599.077,124.24,3.746,0.0,1.0635,0.0,0.304707
180,60,5,0.022936,5,0.995943,0.301254,0.405098,0.046096,3,562.555,161.487,4.085,0.0,1.0299,0.0,0.310165
200,28,8,0.036364,8,0.987239,0.312337,0.393124,0.045357,3,339.224,16.623,5.501,0.0,1.18425,0.0,0.299244
200,33,6,0.027273,6,0.95419,0.283866,0.388619,0.049955,4,719.253,221.149,5.065,0.0,0.9655,0.0,0.311001
200,42,6,0.027273,6,0.971998,0.301438,0.420129,0.04905,3,597.369,115.752,4.31,0.0,1.081,0.0,0.313773
200,60,6,0.027273,6,0.999401,0.30367,0.403456,0.04736,3,562.268,159.951,4.96,0.0,1.032,0.0,0.302613
200,11,5,0.022727,5,1.059788,0.297561,0.379542,0.05608,2,204.566,59.014,4.866,0.0,1.1349,0.0,0.274633
200,13,5,0.022727,5,1.030109,0.299523,0.395935,0.056536,2,482.716,205.58,5.4,0.0,0.9795,0.0,0.314778
200,22,5,0.022727,5,0.966728,0.313993,0.390249,0.051081,2,222.238,227.937,5.412,0.0,0.9585,0.0,0.296852
200,43,5,0.022727,5,0.950041,0.282591,0.411661,0.050109,3,641.021,322.427,6.283,0.0,0.8577,0.0,0.303104
