tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
18100,60,16,0.026981,201,1.043755,0.449245,0.484368,0.050459
18100,72,16,0.026981,133,0.919367,0.696611,0.533034,0.080748
18100,2,15,0.025295,118,0.897805,0.383227,0.392966,0.049993
18100,37,15,0.025295,102,0.994748,0.297536,0.386503,0.043349
18100,74,15,0.025295,149,1.259577,0.411903,0.441067,0.064976
18120,99,19,0.03204,167,0.905921,0.544175,0.521658,0.057083
18120,57,18,0.030354,253,1.139782,0.409671,0.525984,0.041071
18120,1,16,0.026981,233,1.076956,0.324888,0.367384,0.038906
18120,60,16,0.026981,201,1.043755,0.449245,0.484368,0.050459
18120,72,16,0.026981,133,0.919367,0.696611,0.533034,0.080748
18120,2,15,0.025295,118,0.897805,0.383227,0.392966,0.049993
18120,37,15,0.025295,102,0.994748,0.297536,0.386503,0.043349
18120,46,15,0.025295,322,0.987468,0.334713,0.371203,0.037985
18140,57,18,0.030201,253,1.139782,0.409671,0.525984,0.041071
18140,99,18,0.030201,167,0.892935,0.555775,0.520501,0.056759
18140,37,17,0.028523,104,0.998345,0.299214,0.386887,0.042835
18140,1,16,0.026846,234,1.075647,0.323422,0.36672,0.038574
18140,60,16,0.026846,201,1.043755,0.449245,0.484368,0.050459
18140,74,16,0.026846,150,1.27444,0.415532,0.435366,0.067517
18140,2,15,0.025168,118,0.897805,0.383227,0.392966,0.049993
18140,46,15,0.025168,322,0.987468,0.334713,0.371203,0.037985
18160,57,18,0.030508,253,1.139782,0.409671,0.525984,0.041071
18160,99,18,0.030508,167,0.892935,0.555775,0.520501,0.056759
18160,37,16,0.027119,104,1.003612,0.300119,0.384172,0.042473
18160,74,16,0.027119,150,1.27444,0.415532,0.435366,0.067517
18160,1,15,0.025424,234,1.078993,0.321033,0.36937,0.039414
18160,2,15,0.025424,118,0.897805,0.383227,0.392966,0.049993
18160,10,15,0.025424,57,1.099246,0.377763,0.430788,0.069966
18160,60,15,0.025424,201,1.050566,0.454247,0.482042,0.049853
18180,57,19,0.032258,254,1.135613,0.410627,0.524768,0.041061
18180,99,18,0.03056,167,0.892935,0.555775,0.520501,0.056759
18180,10,16,0.027165,58,1.091503,0.37601,0.43625,0.070633
18180,37,16,0.027165,104,1.003612,0.300119,0.384172,0.042473
18180,72,16,0.027165,134,0.925036,0.686581,0.52985,0.080285
18180,74,16,0.027165,150,1.27444,0.415532,0.435366,0.067517
18180,1,15,0.025467,234,1.078993,0.321033,0.36937,0.039414
18180,2,15,0.025467,118,0.897805,0.383227,0.392966,0.049993
18200,10,17,0.02916,59,1.09266,0.378588,0.432085,0.069069
18200,57,17,0.02916,255,1.133331,0.399091,0.530787,0.041908
18200,99,17,0.02916,167,0.878655,0.565637,0.516875,0.055718
18200,60,16,0.027444,202,1.05758,0.455547,0.485417,0.048556
18200,72,16,0.027444,134,0.925036,0.686581,0.52985,0.080285
18200,2,15,0.025729,118,0.897805,0.383227,0.392966,0.049993
18200,37,15,0.025729,105,1.004412,0.298832,0.386418,0.043951
18200,47,15,0.025729,157,1.251138,0.426884,0.385916,0.064081
18220,10,17,0.02926,59,1.09266,0.378588,0.432085,0.069069
18220,99,17,0.02926,167,0.878655,0.565637,0.516875,0.055718
18220,57,16,0.027539,256,1.158981,0.409048,0.531004,0.041575
18220,60,16,0.027539,202,1.05758,0.455547,0.485417,0.048556
18220,72,16,0.027539,134,0.925036,0.686581,0.52985,0.080285
18220,74,16,0.027539,151,1.282441,0.416478,0.428144,0.068054
18220,2,15,0.025818,118,0.897805,0.383227,0.392966,0.049993
18220,37,15,0.025818,105,1.004412,0.298832,0.386418,0.043951
18240,99,20,0.034483,170,0.894715,0.54371,0.520351,0.057019
18240,57,17,0.02931,257,1.150637,0.406447,0.534429,0.0423
18240,60,17,0.02931,203,1.054959,0.457577,0.477675,0.049706
18240,74,17,0.02931,152,1.269709,0.414513,0.430801,0.066617
18240,10,16,0.027586,60,1.092673,0.387333,0.420707,0.069809
18240,72,16,0.027586,134,0.925036,0.686581,0.52985,0.080285
