tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
3880,303,1184,881,881,0,0,0,41,9.163726,0.0,9961.124114,353.205805,2917.630468,2450.0,2090.79,3880,6,79,4842240.0,509163.351,1261.4222,1295.2687,25.3339,0.0,0.0,0.0,26,0.029703,116,168,19,0.382838,0.554455,0.062706,0.912619,6,0.019802,0.000483,0.990222,0.496789,0.49643,1.002641,0.400692,0.309985,0.299756,0.500332,0.04995,0.19965,0.304771,0.496618,0.404285,0.048817,0.005574,0.001099,0.001182,0.005439,0.000598,0.000889,0.000375,0.000805,1.2e-05,0.000169,0.0005,0.001038,0.000996,4.1e-05
3900,302,1189,887,887,0,0,0,39,7.220896,0.0,9986.792002,353.280224,2919.498881,2450.0,2100.51,3900,6,79,4867200.0,512254.731,1262.9072,1302.3876,25.5808,0.0,0.0,0.0,26,0.029801,115,168,19,0.380795,0.556291,0.062914,0.912258,6,0.019868,0.001421,0.989041,0.496137,0.49558,1.003673,0.400354,0.31038,0.299833,0.500664,0.049991,0.199501,0.305075,0.496342,0.404505,0.048772,0.00572,0.001118,0.001157,0.005411,0.000626,0.000919,0.000375,0.000797,1.2e-05,0.000163,0.000495,0.001038,0.001011,4e-05
3920,303,1194,891,891,0,0,0,39,7.030714,0.0,10008.958956,353.588013,2919.381273,2450.0,2111.13,3920,6,79,4892160.0,515346.111,1264.3922,1307.7364,25.5808,0.0,0.0,0.0,26,0.029703,114,170,19,0.376238,0.561056,0.062706,0.911233,7,0.023102,0.00067,0.98889,0.495833,0.496001,1.003311,0.400808,0.310398,0.299803,0.500949,0.050025,0.199656,0.304817,0.496191,0.404451,0.048775,0.005638,0.001093,0.001153,0.005445,0.000618,0.00091,0.000385,0.000778,1.2e-05,0.000172,0.000493,0.001058,0.001011,4e-05
3940,305,1201,896,896,0,0,0,39,6.680476,0.0,10020.28507,353.840597,2919.478927,2450.0,2114.13,3940,6,79,4917120.0,518437.491,1265.8772,1314.2092,25.5808,0.0,0.0,0.0,26,0.029508,114,173,18,0.37377,0.567213,0.059016,0.912851,7,0.022951,0.002001,0.988344,0.495785,0.496784,1.003147,0.400865,0.310879,0.300186,0.50069,0.050181,0.199437,0.304541,0.495783,0.404221,0.048852,0.005551,0.001048,0.001245,0.005633,0.000638,0.000896,0.000383,0.000802,1.3e-05,0.000183,0.00049,0.001116,0.000996,4.2e-05
3960,310,1209,899,899,0,0,0,38,5.534443,0.0,10007.84131,358.009004,2916.456553,2450.0,2096.79,3960,6,79,4942080.0,521528.871,1267.3622,1321.2545,25.7975,0.0,0.0,0.0,26,0.029032,114,178,18,0.367742,0.574194,0.058065,0.911487,7,0.022581,0.0,0.989886,0.495872,0.496903,1.002082,0.401038,0.3105,0.300143,0.500131,0.050191,0.199262,0.305133,0.495353,0.404772,0.048872,0.005352,0.001041,0.001241,0.005549,0.000622,0.000872,0.000387,0.000808,1.3e-05,0.000181,0.000502,0.001103,0.00108,4.2e-05
3980,310,1215,905,905,0,0,0,36,6.724882,0.0,9965.9378,359.123298,2914.15182,2450.0,2101.68,3980,6,79,4967040.0,524620.251,1268.8472,1329.9127,25.7975,0.0,0.0,0.0,26,0.032258,116,177,17,0.374194,0.570968,0.054839,0.91711,8,0.025806,0.001501,0.988567,0.495932,0.496789,1.001898,0.401286,0.311425,0.300144,0.500139,0.050167,0.198751,0.305111,0.495258,0.404472,0.049015,0.005395,0.00104,0.001243,0.005621,0.000631,0.000902,0.000388,0.0008,1.3e-05,0.000185,0.000498,0.00113,0.001111,4.3e-05
4000,311,1222,911,911,0,0,0,34,5.705794,0.0,9910.172465,361.004941,2913.289265,2450.0,2108.67,4000,6,79,4992000.0,527711.631,1270.3322,1338.9973,25.9161,0.0,0.0,0.0,26,0.032154,117,177,17,0.376206,0.569132,0.054662,0.917243,8,0.025723,0.001082,0.98766,0.496095,0.497756,1.001563,0.401593,0.311478,0.300152,0.500719,0.050144,0.19897,0.304747,0.49555,0.404513,0.049037,0.005436,0.001051,0.001255,0.005619,0.000618,0.000901,0.000389,0.000818,1.3e-05,0.000181,0.000515,0.001133,0.001143,4.4e-05
4020,307,1224,917,917,0,0,0,34,6.143508,0.0,9870.963585,360.726344,2913.130149,2450.0,2150.96,4020,6,79,5016960.0,530803.011,1271.8172,1345.6457,26.3126,0.0,0.0,0.0,26,0.032573,118,172,17,0.384365,0.560261,0.055375,0.919099,8,0.026059,0.000648,0.98692,0.496095,0.497708,1.001886,0.401603,0.31144,0.30042,0.500611,0.050187,0.19915,0.304648,0.495962,0.404004,0.048952,0.005423,0.001051,0.001263,0.005641,0.000627,0.000903,0.000389,0.000827,1.3e-05,0.00018,0.000516,0.001105,0.001115,4.4e-05
4040,309,1230,921,921,0,0,0,35,7.324794,0.0,9814.6956,360.825388,2911.849818,2450.0,2148.56,4040,6,79,5041920.0,533894.391,1273.3022,1350.358,26.3531,0.0,0.0,0.0,26,0.032362,118,174,17,0.381877,0.563107,0.055016,0.919083,8,0.02589,0.000668,0.987591,0.496211,0.497186,1.001279,0.401933,0.311407,0.300203,0.500327,0.050245,0.199089,0.305191,0.495745,0.403934,0.048963,0.00563,0.001107,0.00122,0.005786,0.000669,0.000913,0.000388,0.000818,1.3e-05,0.000185,0.000549,0.001088,0.001124,4.4e-05
4060,305,1236,931,931,0,0,0,35,5.518103,0.0,9795.613336,354.733613,2919.748283,2450.0,2185.63,4060,6,79,5066880.0,536985.771,1274.7872,1355.8493,26.7477,0.0,0.0,0.0,71,0.032787,113,174,18,0.370492,0.570492,0.059016,0.914503,8,0.02623,0.000464,0.986968,0.496297,0.497284,1.002234,0.401206,0.311996,0.300445,0.499963,0.050142,0.199028,0.305793,0.495047,0.404069,0.048984,0.005902,0.001085,0.001251,0.005864,0.000667,0.000954,0.000391,0.000785,1.3e-05,0.000193,0.000557,0.001089,0.001117,4.5e-05
