tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
20,0,2,0.01,2,1.018355,0.307527,0.404148,0.047445,1,316.235,150.155,2.956,0.0,1.0425,0.0,0.314918
20,1,2,0.01,2,0.982626,0.319641,0.386287,0.050431,1,323.998,410.618,2.919,0.0,0.7695,0.0,0.295354
20,2,2,0.01,2,0.981528,0.286839,0.394659,0.045243,1,715.268,668.252,2.921,0.0,0.4965,0.0,0.297765
20,3,2,0.01,2,1.023215,0.294615,0.385818,0.053102,1,404.696,747.36,2.92,0.0,0.4125,0.0,0.290943
20,4,2,0.01,2,0.976229,0.329392,0.377691,0.050601,2,659.054,88.374,2.921,0.0,1.1055,0.0,0.300461
20,5,2,0.01,2,1.057901,0.291336,0.37607,0.050974,1,724.852,768.881,2.92,0.0,0.3915,0.0,0.309191
20,6,2,0.01,2,1.05024,0.307448,0.420851,0.050956,1,206.856,496.095,2.957,0.0,0.6855,0.0,0.286246
20,7,2,0.01,2,1.000835,0.293393,0.40069,0.052438,1,86.986,3.875,2.92,0.0,1.1895,0.0,0.286257
40,85,3,0.014925,3,0.914736,0.29805,0.417584,0.055187,2,60.783,174.09,3.33,0.0,1.0215,0.0,0.30105
40,0,2,0.00995,2,1.018355,0.307527,0.404148,0.047445,1,316.235,150.155,2.956,0.0,1.0425,0.0,0.314918
40,1,2,0.00995,2,0.982626,0.319641,0.386287,0.050431,1,323.998,410.618,2.919,0.0,0.7695,0.0,0.295354
40,2,2,0.00995,2,0.981528,0.286839,0.394659,0.045243,1,715.268,668.252,2.921,0.0,0.4965,0.0,0.297765
40,3,2,0.00995,2,1.023215,0.294615,0.385818,0.053102,1,404.696,747.36,2.92,0.0,0.4125,0.0,0.290943
40,4,2,0.00995,2,0.976229,0.329392,0.377691,0.050601,2,659.054,88.374,2.921,0.0,1.1055,0.0,0.300461
40,5,2,0.00995,2,1.057901,0.291336,0.37607,0.050974,1,724.852,768.881,2.92,0.0,0.3915,0.0,0.309191
40,6,2,0.00995,2,1.05024,0.307448,0.420851,0.050956,1,206.856,496.095,2.957,0.0,0.6855,0.0,0.286246
60,26,4,0.018779,4,1.026019,0.297917,0.370246,0.043117,3,560.673,38.602,5.619,0.0,1.16325,0.0,0.290582
60,69,4,0.018779,4,0.972019,0.308596,0.403239,0.053358,2,336.174,68.022,4.795,0.0,1.1265,1.0,0.301552
60,9,3,0.014085,3,1.044077,0.287827,0.408322,0.046136,2,757.331,126.206,4.151,0.0,1.0635,0.0,0.272748
60,49,3,0.014085,3,0.987304,0.275608,0.399626,0.045381,2,321.347,189.412,2.585,0.0,1.0005,0.0,0.28896
60,52,3,0.014085,3,0.994609,0.302112,0.402378,0.048032,2,737.851,2.915,3.059,0.0,1.1895,0.0,0.308183
60,54,3,0.014085,3,1.00623,0.309549,0.428836,0.054613,3,358.564,218.488,3.519,0.0,0.9725,0.0,0.300396
60,61,3,0.014085,3,1.0011,0.289232,0.408391,0.049854,2,321.012,115.406,2.938,0.0,1.0845,0.0,0.326085
60,75,3,0.014085,3,0.958541,0.313041,0.4017,0.046912,3,580.495,237.659,3.801,0.0,0.9515,0.0,0.294926
80,52,5,0.023148,5,0.99136,0.30308,0.399986,0.04671,2,736.044,2.149,3.127,0.0,1.1895,0.0,0.316305
80,9,4,0.018519,4,1.033921,0.29396,0.406044,0.049836,2,758.492,127.121,4.565,0.0,1.0635,0.0,0.281908
80,26,4,0.018519,4,1.026019,0.297917,0.370246,0.043117,3,560.673,38.602,5.619,0.0,1.16325,0.0,0.290582
80,69,4,0.018519,4,0.972019,0.308596,0.403239,0.053358,2,336.174,68.022,4.795,0.0,1.1265,1.0,0.301552
80,85,4,0.018519,4,0.933841,0.300044,0.414909,0.057423,3,61.218,176.049,4.295,0.0,1.01625,0.0,0.299968
80,98,4,0.018519,4,0.986806,0.291764,0.416583,0.047189,2,552.269,117.239,3.689,0.0,1.07925,0.0,0.285111
80,4,3,0.013889,3,0.971344,0.323699,0.380495,0.048533,2,658.937,90.415,3.738,0.0,1.1055,0.0,0.304239
80,49,3,0.013889,3,0.987304,0.275608,0.399626,0.045381,2,321.347,189.412,2.585,0.0,1.0005,0.0,0.28896
100,26,5,0.024155,5,1.008817,0.294037,0.375538,0.043045,3,562.453,38.289,6.015,0.0,1.1643,0.0,0.292414
100,52,5,0.024155,5,0.99136,0.30308,0.399986,0.04671,2,736.044,2.149,3.127,0.0,1.1895,0.0,0.316305
100,54,5,0.024155,5,1.023717,0.318742,0.420935,0.055157,3,358.482,218.822,4.474,0.0,0.9711,0.0,0.302894
100,69,5,0.024155,5,0.987856,0.302491,0.403971,0.053011,2,336.678,66.474,5.366,0.0,1.1265,1.0,0.294808
100,75,5,0.024155,5,0.9727,0.315774,0.397091,0.048873,4,580.7,237.467,5.519,0.0,0.9501,0.0,0.289129
100,9,4,0.019324,4,1.033921,0.29396,0.406044,0.049836,2,758.492,127.121,4.565,0.0,1.0635,0.0,0.281908
100,85,4,0.019324,4,0.933841,0.300044,0.414909,0.057423,3,61.218,176.049,4.295,0.0,1.01625,0.0,0.299968
100,98,4,0.019324,4,0.986806,0.291764,0.416583,0.047189,2,552.269,117.239,3.689,0.0,1.07925,0.0,0.285111
120,26,6,0.029126,6,1.00568,0.294468,0.381551,0.044991,3,562.493,36.771,6.26,0.0,1.165,0.0,0.291915
120,52,5,0.024272,5,0.99136,0.30308,0.399986,0.04671,2,736.044,2.149,3.127,0.0,1.1895,0.0,0.316305
120,54,5,0.024272,5,1.023717,0.318742,0.420935,0.055157,3,358.482,218.822,4.474,0.0,0.9711,0.0,0.302894
120,61,5,0.024272,5,1.018242,0.294139,0.410739,0.049433,2,323.234,114.929,3.34,0.0,1.0845,0.0,0.322818
120,69,5,0.024272,5,0.987856,0.302491,0.403971,0.053011,2,336.678,66.474,5.366,0.0,1.1265,1.0,0.294808
120,75,5,0.024272,5,0.9727,0.315774,0.397091,0.048873,4,580.7,237.467,5.519,0.0,0.9501,0.0,0.289129
120,4,4,0.019417,4,0.970713,0.327166,0.38295,0.048905,2,659.859,91.631,4.128,0.0,1.1055,0.0,0.30622
120,9,4,0.019417,4,1.033921,0.29396,0.406044,0.049836,2,758.492,127.121,4.565,0.0,1.0635,0.0,0.281908
140,26,6,0.029268,6,1.00568,0.294468,0.381551,0.044991,3,562.493,36.771,6.26,0.0,1.165,0.0,0.291915
140,52,6,0.029268,6,0.992944,0.304163,0.395767,0.046946,2,735.624,1.957,2.887,0.0,1.1895,0.0,0.315804
140,69,6,0.029268,6,0.992276,0.299894,0.403599,0.05226,2,336.154,66.48,4.901,0.0,1.1265,1.0,0.29032
140,75,6,0.029268,6,0.973871,0.315391,0.399999,0.047348,4,581.168,236.921,5.265,0.0,0.9515,0.0,0.291887
