tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
20,4,3,0.014563,3,0.996591,0.318371,0.389234,0.051494,2,659.152,90.051,3.366,0.0,1.733333,0.0,0.303152
20,9,3,0.014563,3,1.0115,0.279118,0.409549,0.051591,2,760.996,124.845,4.052,0.0,1.733333,0.0,0.280214
20,26,3,0.014563,3,0.992071,0.301819,0.385065,0.048271,3,562.685,37.941,3.95,0.0,1.733333,0.0,0.295146
20,49,3,0.014563,3,0.950002,0.286718,0.394065,0.047365,2,322.712,190.798,3.968,0.0,1.603333,0.0,0.297848
20,52,3,0.014563,3,1.013583,0.299588,0.406376,0.048032,2,738.463,2.852,3.074,0.0,1.733333,0.0,0.306108
20,61,3,0.014563,3,1.0179,0.307533,0.398072,0.04914,2,318.584,115.331,2.811,0.0,1.733333,0.0,0.304435
20,69,3,0.014563,3,1.00619,0.310786,0.386408,0.052541,2,339.628,65.64,4.084,0.0,1.733333,1.0,0.284838
20,85,3,0.014563,3,0.961407,0.301381,0.400196,0.051826,2,57.019,174.124,3.875,0.0,1.69,0.0,0.29522
40,4,4,0.019048,4,0.983665,0.319251,0.385357,0.050984,2,659.171,88.335,4.016,0.0,1.733333,0.0,0.297527
40,26,4,0.019048,4,0.992008,0.304661,0.384226,0.050303,3,563.4,36.077,4.441,0.0,1.733333,0.0,0.293551
40,61,4,0.019048,4,1.002761,0.298679,0.394804,0.049788,2,320.284,114.933,3.817,0.0,1.733333,0.0,0.310304
40,85,4,0.019048,4,0.95477,0.306421,0.410363,0.051299,2,58.195,171.942,5.136,0.0,1.69,0.0,0.296545
40,9,3,0.014286,3,1.0115,0.279118,0.409549,0.051591,2,760.996,124.845,4.052,0.0,1.733333,0.0,0.280214
40,49,3,0.014286,3,0.950002,0.286718,0.394065,0.047365,2,322.712,190.798,3.968,0.0,1.603333,0.0,0.297848
40,52,3,0.014286,3,1.013583,0.299588,0.406376,0.048032,2,738.463,2.852,3.074,0.0,1.733333,0.0,0.306108
40,69,3,0.014286,3,1.00619,0.310786,0.386408,0.052541,2,339.628,65.64,4.084,0.0,1.733333,1.0,0.284838
60,26,6,0.031414,6,1.025551,0.310759,0.385291,0.051029,3,562.942,35.92,6.044,0.0,1.733333,0.0,0.293014
60,4,5,0.026178,5,0.9854,0.312394,0.382353,0.049901,2,660.435,87.411,4.59,0.0,1.733333,0.0,0.299149
60,61,5,0.026178,5,1.008292,0.292875,0.39766,0.051207,2,319.0,115.374,4.141,0.0,1.733333,0.0,0.316646
60,75,5,0.026178,5,0.954346,0.303974,0.421443,0.04957,4,579.746,241.62,3.901,0.0,1.378,0.0,0.288578
60,85,5,0.026178,5,0.950628,0.305429,0.414192,0.052067,2,58.525,170.584,5.318,0.0,1.69,0.0,0.301102
60,98,5,0.026178,5,0.993568,0.297111,0.419953,0.044306,2,551.882,119.284,5.041,0.0,1.733333,0.0,0.283916
60,99,5,0.026178,5,0.973089,0.265154,0.41943,0.052822,3,525.608,201.982,5.917,0.0,1.551333,0.0,0.285948
