tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,206,206,0,0,0,0,0,0,0,0,5642.488869,130.962762,3149.037238,1901.771298,18.66,20,1,100,24960.0,1986.4023,2.3525,50.9628,0.0,0.0,0.0,0.0,4,0.014563,63,82,61,0.305825,0.398058,0.296117,0.861197,3,0.014563,0.0,0.995643,0.496804,0.500823,1.002046,0.399975,0.298939,0.299418,0.501508,0.050067,0.199278,0.298572,0.50017,0.401303,0.050197,0.001586,0.000371,0.000299,0.001732,0.000244,0.000172,0.000121,0.000417,4e-06,8.4e-05,0.000134,0.000392,0.000341,1.6e-05
40,210,210,0,0,0,0,0,0,0,0,6011.279057,193.981774,3086.018226,2292.25878,38.0,40,2,100,49920.0,4030.0887,5.7101,113.9818,0.0,0.0,0.0,0.0,4,0.019048,66,83,61,0.314286,0.395238,0.290476,0.877603,3,0.014286,0.036688,0.994911,0.496988,0.500641,1.002252,0.400231,0.299096,0.299419,0.501516,0.050082,0.199161,0.298589,0.499875,0.401189,0.050228,0.001592,0.000372,0.000301,0.001729,0.000252,0.000178,0.000125,0.000432,4e-06,8.5e-05,0.000136,0.000391,0.000349,1.6e-05
60,191,230,39,39,0,0,0,39,42.960977,0.0,6091.163895,196.088996,3040.950027,2474.759069,52.89,60,2,93,74880.0,6166.3083,13.0539,161.6014,0.0,0.0,0.0,0.0,26,0.031414,75,93,23,0.39267,0.486911,0.120419,1.128255,4,0.020942,0.120943,0.994446,0.495564,0.500354,1.004184,0.400116,0.298875,0.298661,0.499858,0.050016,0.198998,0.298745,0.498777,0.401703,0.050208,0.001787,0.00041,0.000386,0.002014,0.00026,0.000202,0.000152,0.000416,5e-06,8.2e-05,0.000152,0.000428,0.000421,1.8e-05
80,180,256,76,76,0,0,0,71,69.492066,0.0,6690.222443,172.210464,3038.29747,2545.953027,61.96,80,2,64,99840.0,8356.0389,23.5933,181.5124,0.0,0.0,0.0,0.0,26,0.044444,95,85,0,0.527778,0.472222,0.0,1.427352,6,0.033333,0.016067,0.993701,0.495655,0.501114,1.006754,0.400304,0.298508,0.297542,0.49825,0.050015,0.198309,0.298953,0.498412,0.402268,0.05012,0.002344,0.000528,0.000554,0.00238,0.000295,0.000277,0.000212,0.000435,6e-06,9.8e-05,0.000184,0.000552,0.000447,2.9e-05
100,193,274,81,81,0,0,0,75,67.193557,0.0,7333.083564,196.317885,3016.488558,2568.83813,74.95,100,3,60,124800.0,10705.304,39.3025,211.4343,0.0,0.0,0.0,0.0,75,0.051813,106,87,0,0.549223,0.450777,0.0,1.474905,6,0.031088,0.001561,0.994691,0.493976,0.501326,1.003795,0.400079,0.298747,0.297345,0.499218,0.049935,0.198052,0.298286,0.498127,0.403405,0.050337,0.002362,0.000538,0.000579,0.00253,0.000344,0.000315,0.000227,0.000547,7e-06,0.000104,0.000178,0.000584,0.000464,3.2e-05
120,204,287,83,83,0,0,0,77,62.873833,0.0,7842.542086,218.683305,2998.442862,2573.601389,89.28,120,3,59,149760.0,13095.7873,59.1015,236.1557,0.0,0.0,0.0,0.0,75,0.053922,114,90,0,0.558824,0.441176,0.0,1.496275,6,0.029412,0.0,0.994877,0.494251,0.50113,1.003065,0.400217,0.299366,0.297492,0.500018,0.049934,0.197894,0.298568,0.498207,0.403344,0.050463,0.00252,0.000571,0.000581,0.002628,0.000407,0.000321,0.000236,0.000581,7e-06,0.000117,0.000209,0.000588,0.000455,3.7e-05
140,210,295,85,85,0,0,0,79,58.106756,0.0,8334.522996,232.071244,2989.822,2572.620656,105.24,140,3,58,174720.0,15582.7953,80.7446,252.0159,0.0,0.0,0.0,0.0,75,0.052381,121,89,0,0.57619,0.42381,0.0,1.508206,8,0.038095,0.0,0.995294,0.494378,0.50043,1.002073,0.400443,0.299508,0.297718,0.500128,0.049961,0.198101,0.298357,0.49906,0.403156,0.050344,0.002521,0.000606,0.000575,0.002827,0.000428,0.000319,0.000252,0.000588,7e-06,0.000124,0.000227,0.000648,0.000459,3.6e-05
160,221,309,88,88,0,0,0,80,52.676336,0.0,8749.608944,242.678645,2984.645018,2568.110393,117.38,160,3,58,199680.0,18094.3958,105.5297,266.3057,0.0,0.0,0.0,0.0,75,0.049774,130,91,0,0.588235,0.411765,0.0,1.523725,9,0.040724,0.001311,0.993814,0.495602,0.499298,1.002655,0.40132,0.299529,0.297233,0.501411,0.050001,0.198608,0.298581,0.498463,0.403043,0.050439,0.002636,0.000655,0.00062,0.002944,0.000498,0.000329,0.000276,0.000793,7e-06,0.000148,0.000264,0.000684,0.000458,3.7e-05
180,236,327,91,91,0,0,0,81,49.383376,0.0,9082.683137,256.846337,2973.770287,2562.102458,127.06,180,3,57,224640.0,20644.4039,132.6085,284.0816,0.0,0.0,0.0,0.0,69,0.04661,143,93,0,0.605932,0.394068,0.0,1.541455,10,0.042373,0.000609,0.994857,0.496164,0.500017,1.003044,0.401653,0.299711,0.296715,0.501277,0.050069,0.198707,0.299001,0.498325,0.401974,0.050383,0.002745,0.000708,0.00062,0.003088,0.000522,0.000341,0.000302,0.0009,8e-06,0.000165,0.000289,0.000724,0.000493,4.1e-05
200,240,332,92,92,0,0,0,80,44.083372,0.0,9423.834588,272.988522,2962.928107,2554.784703,144.04,200,3,57,249600.0,23308.9163,161.0335,301.5054,0.0,0.0,0.0,0.0,69,0.05,147,93,0,0.6125,0.3875,0.0,1.544653,11,0.045833,0.0,0.995104,0.496569,0.499859,1.002172,0.401729,0.29964,0.296947,0.50113,0.050078,0.19871,0.298879,0.498466,0.401841,0.050357,0.002737,0.000716,0.000661,0.003213,0.000531,0.000344,0.000314,0.000904,8e-06,0.000165,0.000301,0.000747,0.000492,4.1e-05
