tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,199,199,0,0,0,0,0,0,0,0,5642.994956,131.266212,3148.733788,1894.810752,19.46,20,1,100,24960.0,1969.44,10.1979,51.2662,0.0,0.0,0.0,0.0,0,0.01005,1.000495,0.500351,0.499278,1.000513,0.403583,0.299524,0.299938,0.50199,0.04998,0.200533,0.299657,0.498018,0.398908,0.050087,0.001428,0.000308,0.00039,0.001516,0.000252,0.000152,0.000159,0.000427,4e-06,7.2e-05,0.000142,0.000349,0.000328,1.4e-05
40,200,200,0,0,0,0,0,0,0,0,5991.62164,194.962157,3085.037843,2278.318023,39.27,40,2,100,49920.0,3969.3675,26.4541,114.9622,0.0,0.0,0.0,0.0,21,0.015,1.00018,0.500576,0.499281,1.001408,0.403746,0.299599,0.299988,0.50229,0.05,0.20036,0.299725,0.498392,0.398844,0.050231,0.00144,0.000317,0.000388,0.001668,0.000256,0.000152,0.000158,0.000442,4e-06,7.7e-05,0.000143,0.000375,0.000328,1.8e-05
60,206,206,0,0,0,0,0,0,0,0,6050.927052,236.606546,3043.393454,2458.704887,57.98,60,2,100,74880.0,6012.9615,46.932,156.6065,0.0,0.0,0.0,0.0,21,0.014563,1.000292,0.500383,0.49903,1.001816,0.404302,0.299423,0.299929,0.501976,0.050005,0.200495,0.299369,0.498284,0.398323,0.050322,0.001557,0.000395,0.000414,0.001743,0.000287,0.000152,0.000168,0.000461,4e-06,8.8e-05,0.000153,0.000416,0.000332,2e-05
80,211,213,2,2,0,0,0,2,1.162752,0.0,6011.850168,243.186847,3035.650401,2531.35673,75.69,80,3,100,99840.0,8073.9915,68.429,165.7297,0.0,0.0,0.0,0.0,21,0.023697,0.998551,0.500555,0.499439,1.003367,0.404306,0.299697,0.300397,0.50237,0.049958,0.200246,0.299741,0.498499,0.398063,0.05057,0.001675,0.000394,0.000401,0.002128,0.000282,0.000147,0.000168,0.000483,4e-06,9.3e-05,0.000153,0.00044,0.000335,2.5e-05
100,201,216,15,15,0,0,0,6,3.592155,0.0,6001.519738,234.865667,3041.542178,2558.18886,94.18,100,3,99,124800.0,10132.854,90.6372,172.9887,0.0,0.0,0.0,0.0,21,0.024876,0.998279,0.500055,0.499393,1.003685,0.405017,0.299625,0.300141,0.502718,0.049887,0.200216,0.299411,0.498088,0.397721,0.050702,0.001675,0.000397,0.000385,0.002178,0.000351,0.000144,0.000169,0.000454,4e-06,9.3e-05,0.000147,0.000442,0.000324,2.6e-05
120,206,226,20,20,0,0,0,4,1.763975,0.0,6052.571163,237.795093,3040.440933,2566.868416,109.17,120,3,99,149760.0,12232.5465,114.6621,181.8929,0.0,0.0,0.0,0.0,21,0.029126,0.996174,0.49954,0.500515,1.005622,0.40493,0.29994,0.300662,0.502049,0.049929,0.200551,0.299459,0.497457,0.398269,0.050835,0.001793,0.000448,0.000456,0.002373,0.000366,0.00016,0.000192,0.000468,4e-06,9.8e-05,0.000165,0.000441,0.000375,2.8e-05
140,209,233,24,24,0,0,0,5,2.40351,0.0,6108.62921,241.020157,3036.576333,2569.752078,124.95,140,3,99,174720.0,14368.7265,138.9038,189.9087,0.0,0.0,0.0,0.0,63,0.033493,0.997172,0.499662,0.50131,1.007325,0.404611,0.300042,0.30064,0.501413,0.049909,0.200659,0.299542,0.497455,0.39859,0.050889,0.001924,0.00047,0.000474,0.002487,0.000367,0.000184,0.000203,0.000484,5e-06,9.7e-05,0.000168,0.000454,0.000383,2.8e-05
160,209,242,33,33,0,0,0,9,8.016752,0.0,6153.287606,238.491914,3033.491334,2570.041315,138.48,160,3,95,199680.0,16497.1455,164.141,198.171,0.0,0.0,0.0,0.0,21,0.038278,0.996763,0.500179,0.501142,1.007112,0.405556,0.299798,0.300291,0.500742,0.049972,0.200381,0.29901,0.497227,0.39836,0.051294,0.001972,0.000489,0.000482,0.002541,0.000473,0.000205,0.000216,0.000467,5e-06,0.000101,0.000171,0.000516,0.000366,3.9e-05
180,202,246,44,44,0,0,0,14,10.230929,0.0,6230.983263,234.442814,3035.326256,2568.588616,154.45,180,3,94,224640.0,18634.4655,191.2258,207.3016,0.0,0.0,0.0,0.0,21,0.044554,0.997168,0.500945,0.501436,1.007466,0.406581,0.299789,0.300555,0.499683,0.049992,0.200175,0.298947,0.497772,0.398112,0.051456,0.002171,0.000556,0.000487,0.002554,0.000478,0.000202,0.000218,0.000436,6e-06,9.8e-05,0.000163,0.000541,0.00035,4.1e-05
200,204,253,49,49,0,0,0,10,6.685425,0.0,6355.216682,236.06296,3037.251615,2565.594111,168.14,200,3,93,249600.0,20783.7225,221.235,215.0991,0.0,0.0,0.0,0.0,21,0.04902,0.995729,0.500571,0.501815,1.008483,0.406556,0.300086,0.300435,0.500384,0.050011,0.200228,0.299027,0.498736,0.398504,0.051641,0.002227,0.000596,0.000496,0.002631,0.000483,0.000202,0.000234,0.000591,6e-06,0.000124,0.000174,0.000667,0.000364,4.5e-05
