tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
12620,60,13,0.026369,162,0.891945,0.318985,0.39596,0.038953
12620,64,13,0.026369,123,0.995736,0.369242,0.43682,0.049243
12620,24,12,0.024341,69,0.785499,0.375669,0.352016,0.050868
12620,54,12,0.024341,170,1.215046,0.587457,0.40211,0.064321
12640,99,19,0.038229,109,0.905073,0.322518,0.468332,0.052251
12640,76,17,0.034205,113,1.132395,0.440444,0.390663,0.056698
12640,35,16,0.032193,100,0.787462,0.41636,0.315198,0.075948
12640,90,15,0.030181,203,1.045592,0.435417,0.383261,0.062891
12640,54,14,0.028169,172,1.221491,0.570584,0.399255,0.064927
12640,77,14,0.028169,121,1.103124,0.350336,0.406175,0.048487
12640,64,13,0.026157,123,0.995736,0.369242,0.43682,0.049243
12640,60,12,0.024145,162,0.895815,0.320364,0.391395,0.039666
12660,99,19,0.037549,109,0.905073,0.322518,0.468332,0.052251
12660,76,17,0.033597,113,1.132395,0.440444,0.390663,0.056698
12660,90,16,0.031621,204,1.051417,0.430516,0.383279,0.06123
12660,35,15,0.029644,100,0.788057,0.416226,0.31485,0.075371
12660,54,15,0.029644,174,1.193048,0.5604,0.384521,0.065272
12660,64,14,0.027668,124,1.005409,0.367938,0.435188,0.049241
12660,77,14,0.027668,121,1.103124,0.350336,0.406175,0.048487
12660,60,12,0.023715,162,0.895815,0.320364,0.391395,0.039666
12680,99,19,0.037849,109,0.905073,0.322518,0.468332,0.052251
12680,76,17,0.033865,113,1.132395,0.440444,0.390663,0.056698
12680,90,16,0.031873,204,1.051417,0.430516,0.383279,0.06123
12680,35,15,0.02988,100,0.788057,0.416226,0.31485,0.075371
12680,54,14,0.027888,174,1.19343,0.566098,0.388055,0.066277
12680,77,14,0.027888,121,1.103124,0.350336,0.406175,0.048487
12680,64,12,0.023904,124,1.020754,0.362502,0.43397,0.049647
12680,89,12,0.023904,85,1.031044,0.435806,0.356163,0.054827
12700,99,19,0.037624,109,0.905073,0.322518,0.468332,0.052251
12700,76,17,0.033663,113,1.132395,0.440444,0.390663,0.056698
12700,90,16,0.031683,204,1.051417,0.430516,0.383279,0.06123
12700,35,15,0.029703,100,0.788057,0.416226,0.31485,0.075371
12700,54,15,0.029703,175,1.196048,0.573492,0.394183,0.065423
12700,77,13,0.025743,121,1.089511,0.349107,0.401927,0.047795
12700,89,12,0.023762,85,1.031044,0.435806,0.356163,0.054827
12700,40,11,0.021782,54,0.879722,0.324231,0.368307,0.055804
12720,99,20,0.039216,110,0.905857,0.322926,0.464779,0.051894
12720,76,17,0.033333,113,1.132395,0.440444,0.390663,0.056698
12720,35,15,0.029412,100,0.788057,0.416226,0.31485,0.075371
12720,54,15,0.029412,175,1.196048,0.573492,0.394183,0.065423
12720,90,15,0.029412,204,1.043153,0.434454,0.383971,0.063029
12720,64,12,0.023529,126,1.008504,0.363298,0.434828,0.048121
12720,77,12,0.023529,122,1.078024,0.349282,0.401234,0.048543
12720,89,12,0.023529,85,1.031044,0.435806,0.356163,0.054827
12740,99,21,0.041257,111,0.906206,0.323752,0.46127,0.052296
12740,76,16,0.031434,113,1.120783,0.431793,0.389739,0.056867
12740,54,15,0.02947,175,1.196048,0.573492,0.394183,0.065423
12740,90,15,0.02947,204,1.043153,0.434454,0.383971,0.063029
12740,35,14,0.027505,100,0.797121,0.416182,0.319801,0.073923
12740,89,12,0.023576,85,1.031044,0.435806,0.356163,0.054827
12740,12,11,0.021611,122,1.002036,0.357026,0.385055,0.042655
12740,40,11,0.021611,54,0.879722,0.324231,0.368307,0.055804
12760,99,21,0.041257,112,0.898127,0.323991,0.462333,0.052115
12760,35,16,0.031434,102,0.757964,0.429872,0.312287,0.072544
12760,76,16,0.031434,113,1.120783,0.431793,0.389739,0.056867
12760,54,15,0.02947,177,1.18698,0.574878,0.389609,0.063786
12760,90,15,0.02947,204,1.043153,0.434454,0.383971,0.063029
12760,12,12,0.023576,123,1.010201,0.355448,0.387523,0.04326
12760,89,12,0.023576,85,1.031044,0.435806,0.356163,0.054827
12760,40,11,0.021611,54,0.879722,0.324231,0.368307,0.055804
12780,99,21,0.040619,112,0.898127,0.323991,0.462333,0.052115
12780,35,16,0.030948,102,0.757964,0.429872,0.312287,0.072544
12780,76,16,0.030948,113,1.120783,0.431793,0.389739,0.056867
12780,90,16,0.030948,205,1.037405,0.435408,0.380429,0.064054
12780,54,15,0.029014,177,1.18698,0.574878,0.389609,0.063786
12780,12,12,0.023211,123,1.010201,0.355448,0.387523,0.04326
12780,89,12,0.023211,85,1.031044,0.435806,0.356163,0.054827
12780,40,11,0.021277,54,0.879722,0.324231,0.368307,0.055804
12800,99,21,0.040153,112,0.898127,0.323991,0.462333,0.052115
12800,35,16,0.030593,102,0.757964,0.429872,0.312287,0.072544
12800,54,16,0.030593,178,1.1875,0.584678,0.390761,0.063913
12800,76,16,0.030593,113,1.120783,0.431793,0.389739,0.056867
12800,90,16,0.030593,205,1.037405,0.435408,0.380429,0.064054
12800,89,12,0.022945,85,1.031044,0.435806,0.356163,0.054827
12800,12,11,0.021033,123,1.005142,0.360214,0.385169,0.043653
12800,40,11,0.021033,54,0.879722,0.324231,0.368307,0.055804
12820,99,19,0.036893,112,0.913,0.321857,0.461191,0.051804
12820,35,16,0.031068,102,0.757964,0.429872,0.312287,0.072544
12820,76,16,0.031068,113,1.120783,0.431793,0.389739,0.056867
12820,54,15,0.029126,178,1.185128,0.592308,0.392077,0.064234
12820,90,15,0.029126,206,1.059003,0.426482,0.372704,0.059866
12820,12,11,0.021359,123,1.005142,0.360214,0.385169,0.043653
12820,40,11,0.021359,54,0.879722,0.324231,0.368307,0.055804
12820,60,11,0.021359,164,0.887171,0.320855,0.395806,0.038522
12840,35,17,0.033074,103,0.753687,0.432125,0.312913,0.07432
12840,99,17,0.033074,112,0.934984,0.319938,0.462913,0.051536
12840,54,15,0.029183,178,1.185128,0.592308,0.392077,0.064234
12840,76,15,0.029183,113,1.103882,0.426178,0.389193,0.056937
12840,90,15,0.029183,206,1.059003,0.426482,0.372704,0.059866
12840,77,12,0.023346,126,1.094889,0.355885,0.398205,0.04929
12840,83,12,0.023346,201,0.932994,0.390869,0.349592,0.039043
12840,22,11,0.021401,50,1.112814,0.329785,0.440588,0.049078
12860,99,18,0.035503,113,0.93748,0.317401,0.459638,0.051224
12860,35,17,0.033531,103,0.753687,0.432125,0.312913,0.07432
12860,76,15,0.029586,113,1.103882,0.426178,0.389193,0.056937
12860,54,14,0.027613,178,1.188748,0.590277,0.387588,0.06363
12860,90,14,0.027613,207,1.048467,0.433053,0.3689,0.06106
12860,40,12,0.023669,55,0.874091,0.322408,0.366855,0.055949
12860,22,11,0.021696,50,1.112814,0.329785,0.440588,0.049078
12860,64,11,0.021696,130,1.022856,0.36287,0.423151,0.048204
12880,99,18,0.035503,113,0.93748,0.317401,0.459638,0.051224
12880,35,16,0.031558,103,0.770465,0.426728,0.316506,0.075009
12880,76,14,0.027613,113,1.11086,0.432813,0.389689,0.057456
12880,90,14,0.027613,207,1.048467,0.433053,0.3689,0.06106
12880,40,13,0.025641,56,0.885272,0.317557,0.364268,0.055429
12880,54,13,0.025641,179,1.162822,0.602371,0.391272,0.06395
12880,53,12,0.023669,68,0.863354,0.461482,0.425666,0.060061
12880,22,11,0.021696,50,1.112814,0.329785,0.440588,0.049078
12900,99,18,0.035363,113,0.93748,0.317401,0.459638,0.051224
12900,35,16,0.031434,103,0.770465,0.426728,0.316506,0.075009
12900,76,15,0.02947,114,1.117966,0.440685,0.389973,0.057021
12900,90,14,0.027505,207,1.048467,0.433053,0.3689,0.06106
12900,40,13,0.02554,56,0.885272,0.317557,0.364268,0.055429
12900,54,13,0.02554,179,1.162822,0.602371,0.391272,0.06395
12900,53,12,0.023576,68,0.863354,0.461482,0.425666,0.060061
12900,23,11,0.021611,159,1.095628,0.299687,0.388575,0.066517
12920,99,18,0.035019,113,0.93748,0.317401,0.459638,0.051224
12920,35,16,0.031128,103,0.770465,0.426728,0.316506,0.075009
12920,76,15,0.029183,114,1.117966,0.440685,0.389973,0.057021
12920,90,14,0.027237,207,1.048467,0.433053,0.3689,0.06106
12920,40,13,0.025292,56,0.885272,0.317557,0.364268,0.055429
12920,53,13,0.025292,69,0.877652,0.450085,0.427639,0.05948
12920,54,13,0.025292,180,1.164979,0.602446,0.398856,0.064054
12920,64,12,0.023346,133,1.007872,0.360358,0.425901,0.050518
12940,99,19,0.037109,114,0.941549,0.317707,0.469472,0.05113
12940,35,17,0.033203,104,0.773206,0.433734,0.317252,0.077658
12940,76,15,0.029297,114,1.117966,0.440685,0.389973,0.057021
12940,90,15,0.029297,208,1.042055,0.431445,0.368531,0.062533
12940,40,14,0.027344,57,0.881918,0.321979,0.364362,0.054778
12940,53,13,0.025391,69,0.877652,0.450085,0.427639,0.05948
12940,54,12,0.023438,180,1.159335,0.596233,0.392096,0.064936
12940,60,12,0.023438,167,0.888582,0.322333,0.392918,0.037911
12960,99,20,0.038835,115,0.946176,0.317738,0.463975,0.051258
12960,35,16,0.031068,104,0.767878,0.439217,0.316512,0.078601
12960,90,16,0.031068,210,1.046163,0.431377,0.371979,0.063474
12960,76,15,0.029126,114,1.117966,0.440685,0.389973,0.057021
12960,40,14,0.027184,57,0.881918,0.321979,0.364362,0.054778
12960,53,13,0.025243,69,0.877652,0.450085,0.427639,0.05948
12960,60,13,0.025243,168,0.898784,0.318267,0.388802,0.040117
12960,64,13,0.025243,134,1.004018,0.357937,0.428425,0.050276
12980,99,20,0.039062,115,0.946176,0.317738,0.463975,0.051258
12980,76,18,0.035156,117,1.12825,0.445764,0.39361,0.057725
12980,35,16,0.03125,104,0.767878,0.439217,0.316512,0.078601
12980,90,16,0.03125,210,1.046163,0.431377,0.371979,0.063474
12980,40,14,0.027344,58,0.890104,0.32402,0.36787,0.054179
12980,53,13,0.025391,69,0.877652,0.450085,0.427639,0.05948
12980,60,13,0.025391,168,0.898784,0.318267,0.388802,0.040117
12980,64,13,0.025391,134,1.004018,0.357937,0.428425,0.050276
13000,99,20,0.039139,115,0.946176,0.317738,0.463975,0.051258
13000,76,17,0.033268,117,1.125767,0.438788,0.39348,0.057559
13000,90,17,0.033268,211,1.050821,0.434019,0.372279,0.063757
13000,35,16,0.031311,104,0.767878,0.439217,0.316512,0.078601
13000,40,14,0.027397,58,0.890104,0.32402,0.36787,0.054179
13000,60,14,0.027397,169,0.89496,0.320154,0.392487,0.039112
13000,54,13,0.02544,181,1.171371,0.595679,0.389449,0.06628
13000,53,12,0.023483,69,0.877295,0.448546,0.431176,0.059064
13020,99,20,0.039062,115,0.946176,0.317738,0.463975,0.051258
13020,35,17,0.033203,105,0.791757,0.434948,0.31797,0.077872
13020,76,17,0.033203,117,1.125767,0.438788,0.39348,0.057559
