tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,197,197,0,0,0,0,0,0,0,0,5726.426997,130.586583,3149.413417,1898.211498,19.48,20,1,100,24960.0,2046.5475,6.3404,50.5866,0.0,0.0,0.0,0.0,0,0.010152,0.999085,0.497596,0.499478,0.994303,0.401928,0.299383,0.301031,0.496941,0.050295,0.20077,0.300792,0.500488,0.400698,0.049836,0.001671,0.00042,0.000461,0.001606,0.000233,0.000163,0.000161,0.000379,4e-06,6.5e-05,0.000112,0.000357,0.000281,1.7e-05
40,197,197,0,0,0,0,0,0,0,0,6166.177729,192.400575,3087.599425,2284.93647,39.48,40,1,100,49920.0,4120.3575,16.5878,112.4006,0.0,0.0,0.0,0.0,0,0.010152,0.999085,0.497596,0.499478,0.994303,0.401928,0.299383,0.301031,0.496941,0.050295,0.20077,0.300792,0.500488,0.400698,0.049836,0.001671,0.00042,0.000461,0.001606,0.000233,0.000163,0.000161,0.000379,4e-06,6.5e-05,0.000112,0.000357,0.000281,1.7e-05
60,207,207,0,0,0,0,0,0,0,0,6275.929408,233.237772,3046.762228,2466.890334,57.34,60,2,100,74880.0,6201.612,29.9953,153.2378,0.0,0.0,0.0,0.0,3,0.014493,1.000698,0.496956,0.499042,0.997806,0.402269,0.299349,0.300781,0.497104,0.05028,0.200951,0.300948,0.500759,0.401363,0.049933,0.002034,0.000496,0.000485,0.002088,0.000253,0.000179,0.000176,0.000454,5e-06,6.7e-05,0.000121,0.000383,0.000314,1.8e-05
80,208,211,3,3,0,0,0,3,2.10847,0.0,6294.569923,240.608299,3037.283231,2539.196703,76.05,80,2,100,99840.0,8309.454,45.3123,164.4102,0.0,0.0,0.0,0.0,7,0.019231,0.999428,0.496796,0.498375,0.997385,0.401537,0.299214,0.300585,0.496541,0.050303,0.200649,0.300686,0.5003,0.40121,0.050016,0.002043,0.000494,0.000486,0.002001,0.000249,0.000178,0.000176,0.000449,5e-06,6.7e-05,0.000122,0.000377,0.000316,1.8e-05
100,211,219,8,8,0,0,0,4,3.750218,0.0,6303.569229,242.902228,3033.347554,2566.2575,92.67,100,2,100,124800.0,10442.4555,60.8378,172.7257,0.0,0.0,0.0,0.0,61,0.023697,0.998022,0.497706,0.49915,0.997667,0.401491,0.299128,0.300698,0.496146,0.05028,0.200789,0.300756,0.5004,0.40123,0.050011,0.00218,0.000502,0.000485,0.002045,0.000255,0.000187,0.000169,0.00047,6e-06,6.7e-05,0.000125,0.000407,0.000308,1.9e-05
120,210,227,17,17,0,0,0,6,4.662185,0.0,6342.54172,240.558335,3034.77948,2574.989773,108.44,120,3,99,149760.0,12597.8385,78.0019,181.237,0.0,0.0,0.0,0.0,61,0.028571,0.999962,0.497963,0.498413,0.998179,0.402143,0.299399,0.300798,0.495833,0.050269,0.20078,0.300681,0.500729,0.401671,0.050182,0.002759,0.000563,0.000485,0.002149,0.00026,0.000186,0.000165,0.000498,6e-06,6.6e-05,0.00015,0.000407,0.000313,2e-05
140,207,233,26,26,0,0,0,8,3.972644,0.0,6403.592925,241.146921,3034.880435,2576.215975,124.75,140,3,99,174720.0,14761.3485,97.8105,192.2466,0.0,0.0,0.0,0.0,61,0.028986,1.000922,0.498176,0.498221,0.995611,0.402029,0.299425,0.3006,0.496213,0.050219,0.200609,0.300244,0.501254,0.401181,0.050103,0.002796,0.000571,0.000493,0.002287,0.000286,0.00019,0.000167,0.000535,5e-06,6.6e-05,0.000153,0.000408,0.000306,2e-05
160,206,236,30,30,0,0,0,7,3.979195,0.0,6466.117027,243.654189,3032.366616,2575.163342,142.53,160,3,99,199680.0,16924.8585,119.7279,199.3834,0.0,0.0,0.0,0.0,61,0.029126,1.000941,0.49785,0.498508,0.996164,0.401951,0.299252,0.300368,0.495951,0.050269,0.200494,0.300205,0.501314,0.400831,0.05028,0.002731,0.00058,0.000499,0.002148,0.000284,0.000195,0.000168,0.000554,5e-06,6.7e-05,0.000151,0.000424,0.000302,2e-05
180,207,243,36,36,0,0,0,9,4.67133,0.0,6536.724127,241.606313,3033.722357,2574.000143,156.86,180,3,97,224640.0,19095.723,142.6558,204.4888,0.0,0.0,0.0,0.0,61,0.033816,1.00149,0.497517,0.498807,0.995826,0.402633,0.299642,0.300544,0.49541,0.050289,0.200718,0.299859,0.501064,0.400745,0.050448,0.002952,0.000598,0.000473,0.002217,0.000309,0.000209,0.000166,0.000548,6e-06,7.3e-05,0.000151,0.000466,0.000305,2.1e-05
200,207,247,40,40,0,0,0,6,4.031313,0.0,6615.478121,242.131154,3033.837533,2573.055718,173.75,200,3,97,249600.0,21259.998,166.051,209.6319,0.0521,0.0,0.0,0.0,61,0.028986,1.002447,0.497485,0.498835,0.996381,0.403062,0.299695,0.300792,0.495327,0.050283,0.201003,0.299916,0.501337,0.400582,0.050446,0.00299,0.000595,0.000482,0.002253,0.000317,0.000202,0.000184,0.00055,6e-06,7e-05,0.000148,0.000453,0.000307,2.2e-05
