tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.01,2,1.018355,0.307527,0.404148,0.047445
20,1,2,0.01,2,0.982626,0.319641,0.386287,0.050431
20,2,2,0.01,2,0.981528,0.286839,0.394659,0.045243
20,3,2,0.01,2,1.023215,0.294615,0.385818,0.053102
20,4,2,0.01,2,0.976229,0.329392,0.377691,0.050601
20,5,2,0.01,2,1.057901,0.291336,0.37607,0.050974
20,6,2,0.01,2,1.05024,0.307448,0.420851,0.050956
20,7,2,0.01,2,1.000835,0.293393,0.40069,0.052438
40,85,3,0.014925,3,0.914736,0.29805,0.417584,0.055187
40,0,2,0.00995,2,1.018355,0.307527,0.404148,0.047445
40,1,2,0.00995,2,0.982626,0.319641,0.386287,0.050431
40,2,2,0.00995,2,0.981528,0.286839,0.394659,0.045243
40,3,2,0.00995,2,1.023215,0.294615,0.385818,0.053102
40,4,2,0.00995,2,0.976229,0.329392,0.377691,0.050601
40,5,2,0.00995,2,1.057901,0.291336,0.37607,0.050974
40,6,2,0.00995,2,1.05024,0.307448,0.420851,0.050956
60,26,4,0.018779,4,1.026019,0.297917,0.370246,0.043117
60,69,4,0.018779,4,0.972019,0.308596,0.403239,0.053358
60,9,3,0.014085,3,1.044077,0.287827,0.408322,0.046136
60,49,3,0.014085,3,0.987304,0.275608,0.399626,0.045381
60,52,3,0.014085,3,0.994609,0.302112,0.402378,0.048032
60,54,3,0.014085,3,1.00623,0.309549,0.428836,0.054613
60,61,3,0.014085,3,1.0011,0.289232,0.408391,0.049854
60,75,3,0.014085,3,0.958541,0.313041,0.4017,0.046912
80,52,5,0.023148,5,0.99136,0.30308,0.399986,0.04671
80,9,4,0.018519,4,1.033921,0.29396,0.406044,0.049836
80,26,4,0.018519,4,1.026019,0.297917,0.370246,0.043117
80,69,4,0.018519,4,0.972019,0.308596,0.403239,0.053358
80,85,4,0.018519,4,0.933841,0.300044,0.414909,0.057423
80,98,4,0.018519,4,0.986806,0.291764,0.416583,0.047189
80,4,3,0.013889,3,0.971344,0.323699,0.380495,0.048533
80,49,3,0.013889,3,0.987304,0.275608,0.399626,0.045381
100,26,5,0.024155,5,1.008817,0.294037,0.375538,0.043045
100,52,5,0.024155,5,0.99136,0.30308,0.399986,0.04671
100,54,5,0.024155,5,1.023717,0.318742,0.420935,0.055157
100,69,5,0.024155,5,0.987856,0.302491,0.403971,0.053011
100,75,5,0.024155,5,0.9727,0.315774,0.397091,0.048873
100,9,4,0.019324,4,1.033921,0.29396,0.406044,0.049836
100,85,4,0.019324,4,0.933841,0.300044,0.414909,0.057423
100,98,4,0.019324,4,0.986806,0.291764,0.416583,0.047189
120,26,6,0.029126,6,1.00568,0.294468,0.381551,0.044991
120,52,5,0.024272,5,0.99136,0.30308,0.399986,0.04671
120,54,5,0.024272,5,1.023717,0.318742,0.420935,0.055157
120,61,5,0.024272,5,1.018242,0.294139,0.410739,0.049433
120,69,5,0.024272,5,0.987856,0.302491,0.403971,0.053011
120,75,5,0.024272,5,0.9727,0.315774,0.397091,0.048873
120,4,4,0.019417,4,0.970713,0.327166,0.38295,0.048905
120,9,4,0.019417,4,1.033921,0.29396,0.406044,0.049836
140,26,6,0.029268,6,1.00568,0.294468,0.381551,0.044991
140,52,6,0.029268,6,0.992944,0.304163,0.395767,0.046946
140,69,6,0.029268,6,0.992276,0.299894,0.403599,0.05226
140,75,6,0.029268,6,0.973871,0.315391,0.399999,0.047348
