tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,191,191,0,0,0,0,0,0,0,0,5743.635641,130.814094,3149.185906,1903.811849,19.48,20,1,100,24960.0,2053.1295,0.0,50.8141,0.0,0.0,0.0,0.0,0,0.010471,1.003216,0.499488,0.499149,1.002609,0.400615,0.300719,0.299617,0.503802,0.050259,0.20015,0.300862,0.499836,0.401435,0.050439,0.001396,0.000325,0.000339,0.001565,0.000196,0.000157,0.000146,0.000459,4e-06,5.7e-05,0.000163,0.00039,0.000226,1.2e-05
40,194,194,0,0,0,0,0,0,0,0,6208.638605,189.649113,3090.350887,2296.041593,38.89,40,2,100,49920.0,4142.0295,0.0,109.6491,0.0,0.0,0.0,0.0,2,0.015464,1.002646,0.499398,0.499459,1.003012,0.400611,0.300891,0.299494,0.504072,0.05027,0.200226,0.300935,0.499726,0.40151,0.050481,0.00144,0.000323,0.000356,0.001635,0.000213,0.000173,0.00016,0.000478,4e-06,5.6e-05,0.000163,0.000389,0.00023,1.3e-05
60,206,206,0,0,0,0,0,0,0,0,6352.829599,228.722971,3051.277029,2481.740327,56.34,60,2,100,74880.0,6242.1795,0.0,148.723,0.0,0.0,0.0,0.0,85,0.019417,1.005411,0.498331,0.500469,1.00174,0.401064,0.300442,0.299851,0.503407,0.050306,0.200518,0.300534,0.500972,0.401182,0.050555,0.001662,0.000348,0.000396,0.001767,0.000274,0.00019,0.00018,0.000486,4e-06,6.1e-05,0.000191,0.000634,0.000282,1.5e-05
80,206,212,6,6,0,0,0,4,2.185198,0.0,6401.38349,235.526511,3042.288291,2556.264515,74.36,80,2,100,99840.0,8366.1885,0.0,162.809,0.0,0.0,0.0,0.0,2,0.019417,1.004923,0.498697,0.500604,1.001192,0.401032,0.300375,0.299782,0.503655,0.050247,0.200408,0.300792,0.50104,0.401046,0.050493,0.001695,0.000353,0.00038,0.001823,0.000268,0.00019,0.000175,0.000476,4e-06,6e-05,0.000192,0.000615,0.00029,1.5e-05
100,200,217,17,17,0,0,0,9,5.90064,0.0,6467.89244,232.02263,3042.07673,2584.141417,91.86,100,2,96,124800.0,10493.7405,0.0,172.7691,0.0,0.0,0.0,0.0,84,0.025,1.003528,0.499244,0.500242,1.002914,0.401451,0.30054,0.299615,0.503174,0.050248,0.200597,0.300972,0.50109,0.400981,0.050613,0.001775,0.000364,0.00037,0.001935,0.000269,0.00019,0.00019,0.000462,4e-06,6.2e-05,0.000197,0.000639,0.000295,1.6e-05
120,213,234,21,21,0,0,0,7,4.754751,0.0,6535.482437,238.693539,3036.55171,2594.291414,103.54,120,2,96,149760.0,12660.0195,0.0,184.5485,0.0,0.0,0.0,0.0,84,0.028169,1.002912,0.499537,0.501913,1.001676,0.401028,0.299989,0.299216,0.502937,0.050206,0.200237,0.301,0.500608,0.401997,0.050739,0.001777,0.000397,0.000458,0.00199,0.000296,0.000187,0.000229,0.000522,5e-06,7.3e-05,0.000209,0.000708,0.000333,1.7e-05
140,213,239,26,26,0,0,0,7,4.502005,0.0,6601.797457,246.807514,3028.69048,2597.950514,120.59,140,2,96,174720.0,14877.7425,0.0,198.6149,0.0,0.0,0.0,0.0,84,0.028169,1.002837,0.499312,0.501443,1.000755,0.401186,0.299968,0.299697,0.502308,0.050234,0.200538,0.301103,0.500215,0.401883,0.05065,0.001689,0.000416,0.000448,0.001904,0.000296,0.000189,0.000245,0.00055,5e-06,7.1e-05,0.00022,0.000731,0.000321,1.7e-05
160,216,247,31,31,0,0,0,5,3.897163,0.0,6646.514065,251.677036,3024.4258,2599.264897,135.35,160,3,95,199680.0,17107.356,0.0,209.2574,0.0,0.0,0.0,0.0,84,0.032407,1.003693,0.499612,0.501583,1.001667,0.401321,0.300131,0.299728,0.502197,0.050205,0.200874,0.301085,0.500392,0.401594,0.050654,0.001842,0.00045,0.000459,0.001955,0.000313,0.00021,0.000267,0.000581,5e-06,7.7e-05,0.000223,0.000754,0.000337,1.8e-05
180,221,255,34,34,0,0,0,7,3.80035,0.0,6654.050495,256.756425,3019.443224,2599.736426,149.8,180,3,95,224640.0,19340.7915,0.0,218.1485,0.0,0.0,0.0,0.0,84,0.036199,1.002126,0.498581,0.502002,1.000035,0.401555,0.299422,0.299932,0.50206,0.050185,0.200882,0.300892,0.50099,0.401898,0.050666,0.001815,0.000473,0.000487,0.002027,0.000316,0.000222,0.000275,0.000575,5e-06,7.9e-05,0.000224,0.000757,0.000338,1.8e-05
200,223,259,36,36,0,0,0,6,4.180241,0.0,6636.124023,262.228042,3013.591716,2599.905506,166.65,200,3,95,249600.0,21586.1415,0.0,226.1377,0.0,0.0,0.0,0.0,84,0.035874,1.002201,0.498396,0.502327,1.000667,0.40207,0.299447,0.299658,0.5018,0.050193,0.201067,0.300968,0.500403,0.401926,0.050706,0.001794,0.000485,0.000482,0.002093,0.000322,0.000222,0.000285,0.000596,5e-06,8.3e-05,0.00022,0.000752,0.000347,1.9e-05
