tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,195,195,0,0,0,0,0,0,0,0,5686.384914,130.678345,3149.321655,1822.194262,19.47,20,1,100,24960.0,1998.309,9.4714,50.6783,0.0,0.0,0.0,0.0,1,0.010256,1.003491,0.504209,0.501026,0.998887,0.402147,0.299653,0.301669,0.49978,0.050191,0.201315,0.29959,0.501332,0.400559,0.05045,0.001409,0.000411,0.000353,0.001626,0.000233,0.000165,0.000141,0.000363,4e-06,5.6e-05,0.000135,0.000379,0.000311,1.1e-05
40,197,197,0,0,0,0,0,0,0,0,6083.562764,192.049532,3087.950468,2190.906498,39.07,40,2,100,49920.0,4022.859,24.8365,112.0495,0.0,0.0,0.0,0.0,50,0.015228,1.002743,0.504258,0.50156,0.998818,0.401959,0.299632,0.301612,0.499922,0.050227,0.201358,0.299941,0.50153,0.400382,0.05043,0.001452,0.000411,0.000384,0.001628,0.000239,0.000187,0.000142,0.000364,4e-06,5.9e-05,0.000146,0.000381,0.000316,1.1e-05
60,207,207,0,0,0,0,0,0,0,0,6182.252356,232.751452,3047.248548,2363.494663,56.86,60,2,100,74880.0,6081.5685,44.9739,152.7515,0.0,0.0,0.0,0.0,86,0.019324,1.003085,0.504236,0.501127,0.997521,0.401919,0.299471,0.300848,0.499847,0.050179,0.201316,0.299885,0.501722,0.400013,0.050346,0.001562,0.000426,0.000416,0.00179,0.000245,0.000198,0.000161,0.000383,4e-06,6.2e-05,0.000151,0.000424,0.000349,1.2e-05
80,206,210,4,4,0,0,0,1,0.779236,0.0,6202.097188,239.903396,3039.317368,2432.211221,75.92,80,2,100,99840.0,8174.3115,66.9428,164.8384,0.0,0.0,0.0,0.0,6,0.019417,1.003034,0.504865,0.501702,0.996989,0.40185,0.299723,0.301036,0.499713,0.050212,0.201281,0.299998,0.501609,0.399769,0.050407,0.001551,0.000416,0.000425,0.001778,0.000247,0.000208,0.000161,0.00038,4e-06,6.1e-05,0.00015,0.000423,0.000356,1.2e-05
100,205,221,16,16,0,0,0,7,6.626037,0.0,6251.017113,233.741589,3039.632374,2458.127132,91.0,100,3,98,124800.0,10294.8075,88.9116,173.3212,0.0,0.0,0.0,0.0,6,0.02439,1.002262,0.505179,0.503506,0.994255,0.402237,0.299667,0.301445,0.498914,0.050118,0.201355,0.300324,0.501311,0.39982,0.050231,0.001505,0.000407,0.000546,0.0019,0.000251,0.000209,0.000196,0.000396,4e-06,5.9e-05,0.00015,0.000438,0.000423,1.2e-05
120,206,230,24,24,0,0,0,6,3.645484,0.0,6354.927599,233.97073,3042.383786,2467.677825,106.25,120,3,97,149760.0,12443.8215,110.8804,183.3237,0.0,0.0,0.0,0.0,88,0.033981,1.000502,0.505102,0.504201,0.994311,0.402082,0.299848,0.301206,0.498464,0.050119,0.201637,0.30027,0.50165,0.400329,0.05022,0.001618,0.000392,0.000533,0.001989,0.000275,0.000218,0.000195,0.000433,4e-06,6.3e-05,0.000154,0.000452,0.000447,1.3e-05
140,207,235,28,28,0,0,0,5,2.137391,0.0,6462.446624,239.620824,3038.241785,2471.181095,123.13,140,3,97,174720.0,14606.4915,132.8492,193.6743,0.0,0.0,0.0,0.0,88,0.033816,1.002447,0.506274,0.504926,0.993243,0.401425,0.299586,0.300715,0.497814,0.050095,0.201471,0.300552,0.500216,0.400067,0.050136,0.001884,0.000447,0.000541,0.001976,0.000283,0.000218,0.000199,0.000452,4e-06,6.4e-05,0.000151,0.000451,0.000467,1.3e-05
160,206,239,33,33,0,0,0,7,3.769335,0.0,6544.326533,241.829377,3034.401288,2472.470796,140.18,160,3,97,199680.0,16769.1615,154.818,201.8704,0.0,0.0,0.0,0.0,88,0.038835,1.002583,0.505564,0.504549,0.992903,0.401405,0.299338,0.300517,0.49787,0.050132,0.201405,0.300133,0.500458,0.399842,0.050123,0.001984,0.000431,0.00054,0.002011,0.000285,0.000216,0.000194,0.000447,5e-06,6.3e-05,0.000144,0.000439,0.000471,1.3e-05
180,208,243,35,35,0,0,0,7,2.854443,0.0,6626.351227,244.327094,3032.818464,2472.949684,156.98,180,3,96,224640.0,18932.823,176.7868,206.7978,0.0,0.0,0.0,0.0,88,0.038462,1.002415,0.504913,0.504461,0.992669,0.401621,0.299529,0.300614,0.497803,0.050077,0.201486,0.300042,0.500582,0.400125,0.050078,0.002003,0.000439,0.000546,0.002075,0.000317,0.00022,0.000201,0.000451,5e-06,6.3e-05,0.000144,0.000444,0.000466,1.4e-05
200,214,251,37,37,0,0,0,8,3.67094,0.0,6683.258135,248.047099,3028.281961,2472.861796,170.45,200,3,95,249600.0,21113.349,199.0508,212.9771,0.0,0.0,0.0,0.0,88,0.037383,1.000825,0.504607,0.504669,0.990347,0.401551,0.299402,0.300611,0.498306,0.050044,0.201576,0.299581,0.500775,0.400036,0.050188,0.002219,0.000458,0.000585,0.002124,0.000337,0.000228,0.000204,0.000473,5e-06,6.4e-05,0.00015,0.000479,0.000464,1.4e-05
