tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,194,194,0,0,0,0,0,0,0,0,5578.8238,130.707115,3149.292885,1862.615045,19.46,20,1,100,24960.0,1891.677,5.2109,50.7071,0.0,0.0,0.0,0.0,0,0.010309,0.996479,0.502504,0.500013,0.999721,0.399892,0.303117,0.300748,0.50014,0.049937,0.199613,0.30053,0.501819,0.399188,0.049774,0.001954,0.000288,0.000362,0.001904,0.0003,0.000172,0.000137,0.000375,5e-06,7.9e-05,0.000137,0.000416,0.000249,1.2e-05
40,196,196,0,0,0,0,0,0,0,0,5872.17739,190.85548,3089.14452,2242.971535,39.07,40,2,100,49920.0,3811.35,13.5187,110.8555,0.0,0.0,0.0,0.0,13,0.015306,0.995925,0.502733,0.499687,0.998603,0.399826,0.303261,0.301058,0.500175,0.049909,0.19978,0.300443,0.501852,0.399445,0.049711,0.001964,0.000293,0.00037,0.002024,0.000298,0.000172,0.000146,0.000372,5e-06,8.1e-05,0.000136,0.000412,0.000259,1.3e-05
60,202,202,0,0,0,0,0,0,0,0,5888.443091,230.145735,3049.854265,2422.587952,57.67,60,2,100,74880.0,5769.324,23.9613,150.1457,0.0,0.0,0.0,0.0,7,0.019802,0.996062,0.503314,0.499124,0.9993,0.399653,0.303561,0.301548,0.499983,0.049905,0.199689,0.300323,0.502936,0.399156,0.049654,0.002025,0.00032,0.000418,0.002096,0.000302,0.000191,0.000161,0.000399,5e-06,8e-05,0.000138,0.000474,0.000262,1.3e-05
80,203,206,3,3,0,0,0,3,3.205508,0.0,5816.593398,235.441651,3041.352841,2491.674499,76.35,80,2,100,99840.0,7747.281,39.1264,159.1587,0.0,0.0,0.0,0.0,7,0.019704,0.995605,0.503447,0.498151,0.998421,0.399705,0.303304,0.301476,0.499868,0.049889,0.199776,0.300253,0.502597,0.399552,0.049683,0.002081,0.000318,0.000389,0.001982,0.000304,0.000194,0.000163,0.000394,5e-06,7.9e-05,0.000134,0.000466,0.000265,1.4e-05
100,200,215,15,15,0,0,0,6,4.099203,0.0,5792.621548,228.72284,3047.177957,2514.044357,92.36,100,3,99,124800.0,9750.8115,59.1749,166.5334,0.0,0.0,0.0,0.0,19,0.035,0.995332,0.504521,0.4965,0.99702,0.400485,0.303204,0.301887,0.50042,0.04989,0.199559,0.300216,0.503009,0.399529,0.049644,0.002249,0.000365,0.000426,0.002412,0.000319,0.000182,0.000184,0.000422,5e-06,7.5e-05,0.000137,0.000466,0.000272,1.4e-05
120,202,223,21,21,0,0,0,3,2.590419,0.0,5843.204003,231.373421,3046.03616,2519.273887,108.14,120,3,99,149760.0,11810.0475,82.4429,176.2637,0.0,0.0,0.0,0.0,19,0.034653,0.997408,0.504687,0.496099,0.998965,0.400801,0.303594,0.302351,0.501434,0.049978,0.199623,0.300014,0.502821,0.399837,0.049756,0.002367,0.00039,0.00046,0.002457,0.000329,0.000211,0.000192,0.000412,6e-06,7.3e-05,0.000124,0.000451,0.000283,1.6e-05
140,196,227,31,31,0,0,0,8,8.421232,0.0,5912.311269,227.735359,3043.843409,2519.144015,125.09,140,4,95,174720.0,13875.0735,107.5507,184.3297,0.2097,0.0,0.0,0.0,19,0.040816,0.997788,0.504843,0.495886,0.998451,0.400925,0.303861,0.303013,0.502262,0.049985,0.199648,0.300402,0.50267,0.400681,0.049692,0.002381,0.000411,0.000466,0.002592,0.000339,0.00021,0.000197,0.000438,6e-06,8.6e-05,0.000121,0.000436,0.000288,1.6e-05
160,198,232,34,34,0,0,0,6,6.073266,0.0,6025.893457,229.652891,3044.273844,2517.736525,141.34,160,4,94,199680.0,15951.828,133.7236,189.7695,0.2097,0.0,0.0,0.0,19,0.040404,0.996916,0.505443,0.496091,0.998833,0.401057,0.303473,0.303036,0.502029,0.050005,0.199586,0.300213,0.503258,0.400854,0.049763,0.002462,0.000433,0.000486,0.002651,0.000359,0.000218,0.000208,0.000459,6e-06,9e-05,0.000126,0.000455,0.000291,1.9e-05
180,204,242,38,38,0,0,0,8,6.888396,0.0,6109.28048,232.980675,3040.130929,2516.697695,153.53,180,4,93,224640.0,18042.2955,159.9284,197.8372,0.2097,0.0,0.0,0.0,13,0.039216,1.000383,0.505287,0.495787,0.99779,0.400758,0.303637,0.303103,0.50292,0.050157,0.199357,0.299769,0.50247,0.400313,0.049588,0.002914,0.000503,0.00055,0.002807,0.000366,0.000221,0.000205,0.000521,6e-06,9.4e-05,0.00012,0.00043,0.000305,2e-05
200,204,249,45,45,0,0,0,10,8.611424,0.0,6150.787272,236.222208,3035.166367,2515.493183,167.36,200,4,91,249600.0,20120.418,186.7082,209.2331,0.3386,0.0,0.0,0.0,19,0.04902,0.999818,0.505118,0.495769,0.99636,0.400476,0.303558,0.303758,0.503639,0.050211,0.199305,0.299905,0.503557,0.400441,0.049625,0.00305,0.000523,0.000539,0.003053,0.00037,0.000216,0.000232,0.000516,6e-06,9.7e-05,0.00013,0.000467,0.00032,2e-05
