tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,195,195,0,0,0,0,0,0,0,0,5751.652033,130.75702,3149.24298,1864.520375,19.48,20,1,100,24960.0,2070.024,3.0268,50.757,0.0,0.0,0.0,0.0,0,0.010256,0.99963,0.501248,0.50052,1.004793,0.401055,0.299124,0.303495,0.500335,0.049863,0.201299,0.300089,0.498715,0.399674,0.050052,0.001171,0.000554,0.000452,0.001509,0.000256,0.000149,0.000164,0.000411,4e-06,6.1e-05,0.00014,0.000413,0.00027,1.1e-05
40,197,197,0,0,0,0,0,0,0,0,6215.931618,192.109472,3087.890528,2246.536731,39.08,40,2,100,49920.0,4172.334,7.913,112.1095,0.0,0.0,0.0,0.0,73,0.015228,0.999082,0.501152,0.50038,1.004802,0.400914,0.298976,0.303627,0.500514,0.049886,0.201338,0.30013,0.498622,0.39986,0.050019,0.001206,0.000552,0.000449,0.001595,0.000256,0.00015,0.000164,0.00043,4e-06,6.1e-05,0.000145,0.000423,0.000276,1.1e-05
60,205,205,0,0,0,0,0,0,0,0,6365.56036,232.148583,3047.851417,2426.755713,57.27,60,2,100,74880.0,6287.91,14.3718,152.1486,0.0,0.0,0.0,0.0,12,0.014634,1.000148,0.500869,0.500675,1.004798,0.400841,0.299628,0.303602,0.499811,0.049913,0.201685,0.299905,0.499021,0.39967,0.050006,0.001331,0.000572,0.00052,0.001818,0.000284,0.000169,0.000168,0.000451,4e-06,6.3e-05,0.000167,0.00044,0.000286,1.2e-05
80,208,209,1,1,0,0,0,1,1.083626,0.0,6413.35503,240.297025,3038.619349,2498.674386,75.91,80,2,100,99840.0,8412.33,21.7379,161.5113,0.0,0.0,0.0,0.0,33,0.019231,1.000709,0.500739,0.500725,1.004573,0.400307,0.299714,0.30352,0.499506,0.049991,0.201645,0.299929,0.499093,0.399806,0.050081,0.001529,0.000566,0.000527,0.001806,0.000287,0.000168,0.00017,0.000462,5e-06,6.3e-05,0.000168,0.000445,0.000287,1.2e-05
100,204,215,11,11,0,0,0,4,3.197646,0.0,6440.469776,237.282988,3039.519366,2525.610592,93.26,100,3,100,124800.0,10536.75,29.1153,170.3931,0.0,0.0,0.0,0.0,50,0.02451,1.00175,0.501055,0.500632,1.004664,0.400021,0.300048,0.302941,0.500039,0.050022,0.201537,0.30012,0.499017,0.400148,0.050126,0.001664,0.000562,0.000536,0.00196,0.000286,0.000168,0.000154,0.000478,4e-06,6.3e-05,0.000171,0.000385,0.00027,1.2e-05
120,210,230,20,20,0,0,0,3,1.729598,0.0,6521.90034,236.272672,3041.99773,2535.439255,105.55,120,3,100,149760.0,12702.069,36.4928,180.1507,0.0,0.0,0.0,0.0,33,0.02381,0.999314,0.501414,0.500212,1.005397,0.400007,0.30021,0.303083,0.501564,0.050036,0.201468,0.300113,0.498934,0.40018,0.050011,0.001747,0.000583,0.000562,0.002168,0.00028,0.000182,0.000153,0.00048,5e-06,6.6e-05,0.000187,0.000377,0.000272,1.4e-05
140,215,243,28,28,0,0,0,4,3.68093,0.0,6649.433375,241.357914,3034.961156,2538.993768,118.0,140,3,99,174720.0,14959.0305,43.8703,194.76,0.0,0.0,0.0,0.0,33,0.023256,0.999048,0.500636,0.499592,1.006175,0.399851,0.300342,0.303533,0.502308,0.050046,0.201288,0.299445,0.498902,0.400034,0.049972,0.001807,0.000601,0.000564,0.002197,0.000284,0.000181,0.00018,0.000556,5e-06,6.5e-05,0.000223,0.000436,0.000299,1.6e-05
160,217,251,34,34,0,0,0,5,3.677094,0.0,6744.938299,249.812945,3026.509961,2539.845076,132.74,160,3,98,199680.0,17237.8485,51.7348,210.3172,0.0,0.0,0.0,0.0,33,0.023041,0.999642,0.500407,0.498953,1.006539,0.399241,0.300473,0.30368,0.503363,0.050128,0.201288,0.299255,0.499362,0.400254,0.049872,0.001885,0.000588,0.000537,0.002257,0.000285,0.000191,0.000187,0.000614,6e-06,6.6e-05,0.000229,0.000453,0.000305,1.8e-05
180,215,254,39,39,0,0,0,4,3.309578,0.0,6850.167855,253.481661,3023.208762,2538.614826,150.35,180,3,96,224640.0,19524.051,61.5377,219.9478,0.0,0.0,0.0,0.0,33,0.023256,0.999299,0.50105,0.498868,1.005769,0.399485,0.300834,0.30356,0.50293,0.050079,0.201423,0.299504,0.499672,0.399663,0.049875,0.001918,0.000576,0.000544,0.002202,0.000288,0.000187,0.000187,0.000602,6e-06,6.5e-05,0.000225,0.00045,0.000302,1.8e-05
200,221,264,43,43,0,0,0,7,5.194766,0.0,6924.960083,255.384055,3019.421179,2536.826265,162.5,200,3,95,249600.0,21812.01,72.6492,226.6167,0.0,0.0,0.0,0.0,50,0.027149,0.998638,0.500486,0.499174,1.003949,0.400131,0.301146,0.3034,0.503343,0.050082,0.201807,0.299267,0.499404,0.399924,0.049995,0.002039,0.000618,0.000588,0.002256,0.000302,0.000195,0.000209,0.000633,7e-06,6.9e-05,0.000225,0.000518,0.000329,1.9e-05
