tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.010309,2,1.005436,0.312919,0.390357,0.050916
20,2,2,0.010309,2,0.977233,0.294412,0.411546,0.046073
20,3,2,0.010309,2,0.99154,0.297008,0.400638,0.05235
20,4,2,0.010309,2,1.042721,0.299865,0.402979,0.047281
20,5,2,0.010309,2,0.936513,0.289842,0.406799,0.05523
20,6,2,0.010309,2,1.001933,0.303654,0.404138,0.048265
20,7,2,0.010309,2,1.057745,0.324077,0.416127,0.052826
20,8,2,0.010309,2,0.987718,0.292291,0.382099,0.050783
40,29,3,0.015228,3,0.982121,0.300079,0.411086,0.041808
40,37,3,0.015228,3,0.942098,0.305707,0.392363,0.048497
40,64,3,0.015228,3,0.973094,0.302303,0.391948,0.048418
40,0,2,0.010152,2,1.005436,0.312919,0.390357,0.050916
40,2,2,0.010152,2,0.977233,0.294412,0.411546,0.046073
40,3,2,0.010152,2,0.99154,0.297008,0.400638,0.05235
40,4,2,0.010152,2,1.042721,0.299865,0.402979,0.047281
40,5,2,0.010152,2,0.936513,0.289842,0.406799,0.05523
60,11,3,0.014851,3,1.019322,0.311098,0.392717,0.046933
60,21,3,0.014851,3,0.97642,0.313452,0.40524,0.049241
60,29,3,0.014851,3,0.982121,0.300079,0.411086,0.041808
60,37,3,0.014851,3,0.942098,0.305707,0.392363,0.048497
60,50,3,0.014851,3,0.959922,0.302457,0.419624,0.052394
60,64,3,0.014851,3,0.973094,0.302303,0.391948,0.048418
60,70,3,0.014851,3,1.04188,0.312346,0.386277,0.052006
60,73,3,0.014851,3,1.024291,0.325136,0.364446,0.055498
80,11,4,0.019512,4,1.009515,0.311262,0.390215,0.045176
80,29,4,0.019512,4,0.98835,0.297406,0.40944,0.042845
80,50,4,0.019512,4,0.990128,0.300855,0.413071,0.053915
80,21,3,0.014634,3,0.97642,0.313452,0.40524,0.049241
80,37,3,0.014634,3,0.942098,0.305707,0.392363,0.048497
80,64,3,0.014634,3,0.973094,0.302303,0.391948,0.048418
80,70,3,0.014634,3,1.04188,0.312346,0.386277,0.052006
80,73,3,0.014634,3,1.024291,0.325136,0.364446,0.055498
100,11,5,0.024876,5,1.010055,0.313088,0.38448,0.045241
100,21,5,0.024876,5,0.983555,0.313008,0.401394,0.051176
100,37,5,0.024876,5,0.947309,0.29177,0.388258,0.046848
100,29,4,0.0199,4,0.98835,0.297406,0.40944,0.042845
100,50,4,0.0199,4,0.990128,0.300855,0.413071,0.053915
100,64,4,0.0199,4,1.000751,0.298598,0.39335,0.048855
100,82,4,0.0199,4,1.029574,0.295177,0.393215,0.052663
100,70,3,0.014925,3,1.04188,0.312346,0.386277,0.052006
120,11,7,0.034653,7,1.028657,0.312214,0.384919,0.046574
120,21,6,0.029703,6,0.993102,0.309138,0.401381,0.050204
