tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
20,196,196,0,0,0,0,0,0,0,0,5717.016749,131.016155,3148.983845,1681.596322,19.49,20,1,100,24960.0,2040.354,2.8764,51.0162,0.0,0.0,0.0,0.0,0,0.010204,0.996187,0.500383,0.500285,0.999683,0.399259,0.299493,0.30081,0.502291,0.04996,0.200172,0.300041,0.498144,0.401249,0.050449,0.001355,0.00028,0.00049,0.001988,0.000301,0.000162,0.000139,0.000539,5e-06,5.2e-05,0.000143,0.000303,0.000259,1.3e-05
40,198,198,0,0,0,0,0,0,0,0,6140.061322,192.747291,3087.252709,2026.063055,39.1,40,2,100,49920.0,4108.824,7.5013,112.7473,0.0,0.0,0.0,0.0,28,0.015152,0.996102,0.500264,0.50042,0.999499,0.399805,0.299705,0.301029,0.502787,0.04995,0.200081,0.300002,0.49881,0.401351,0.050398,0.00135,0.000289,0.000497,0.00205,0.000328,0.000165,0.000142,0.000562,5e-06,5.2e-05,0.000142,0.000343,0.000271,1.4e-05
60,205,205,0,0,0,0,0,0,0,0,6258.114964,232.784517,3047.215483,2188.653988,57.62,60,2,100,74880.0,6201.084,13.484,152.7845,0.0,0.0,0.0,0.0,8,0.014634,0.997618,0.500641,0.500257,1.000337,0.399512,0.299253,0.301082,0.502598,0.049864,0.19982,0.299675,0.498466,0.401202,0.050403,0.001634,0.000313,0.000501,0.002214,0.00034,0.000173,0.000166,0.000569,6e-06,5.6e-05,0.000151,0.00035,0.000283,1.6e-05
80,208,212,4,4,0,0,0,2,1.199255,0.0,6267.713036,238.044792,3040.755953,2253.689861,75.29,80,2,100,99840.0,8293.344,20.1376,162.9201,0.0,0.0,0.0,0.0,25,0.019231,0.997856,0.501046,0.500095,0.999951,0.399529,0.299258,0.301345,0.502358,0.049876,0.199526,0.299478,0.498777,0.400856,0.05026,0.001658,0.000405,0.000503,0.002139,0.000343,0.000165,0.000163,0.00054,6e-06,5.7e-05,0.000152,0.000379,0.000274,1.6e-05
100,212,224,12,12,0,0,0,2,2.040607,0.0,6270.313449,239.355191,3038.604202,2278.092234,90.17,100,2,99,124800.0,10398.0645,26.7911,173.8295,0.0,0.0,0.0,0.0,28,0.023585,0.996056,0.501133,0.500049,1.000339,0.399285,0.298877,0.301618,0.503669,0.049894,0.199839,0.299272,0.498407,0.400134,0.050328,0.001921,0.000424,0.000572,0.002162,0.000373,0.000172,0.00016,0.000555,6e-06,6.2e-05,0.000156,0.000443,0.000271,1.6e-05
120,214,235,21,21,0,0,0,5,3.539882,0.0,6246.879523,242.701569,3033.758549,2287.016361,104.67,120,2,98,149760.0,12522.948,33.4447,187.9913,0.0,0.0,0.0,0.0,28,0.028037,0.996079,0.501733,0.499183,1.001973,0.399287,0.298711,0.301343,0.504274,0.049907,0.200062,0.299128,0.498584,0.400201,0.050177,0.00186,0.000435,0.000581,0.00223,0.000401,0.000169,0.000181,0.000574,6e-06,6.7e-05,0.000166,0.000456,0.000289,1.6e-05
140,215,244,29,29,0,0,0,9,6.672606,0.0,6227.340529,245.233224,3028.09417,2290.253389,119.21,140,2,96,174720.0,14676.1395,40.0983,200.0125,0.0,0.0,0.0,0.0,28,0.032558,0.995615,0.502112,0.499452,1.002433,0.399008,0.29905,0.300959,0.504604,0.049939,0.200085,0.299112,0.498935,0.400317,0.050255,0.001931,0.000449,0.000553,0.002339,0.000401,0.000187,0.000185,0.00055,6e-06,7.2e-05,0.000168,0.000495,0.000301,1.6e-05
160,219,250,31,31,0,0,0,7,3.612804,0.0,6226.442579,253.026614,3023.360583,2291.426102,135.45,160,2,96,199680.0,16862.2005,46.7519,210.1914,0.0,0.0,0.0,0.0,28,0.03653,0.996012,0.502481,0.500205,1.003617,0.399157,0.298934,0.30077,0.504756,0.049963,0.200085,0.299217,0.498323,0.400481,0.05023,0.00194,0.00044,0.00057,0.002298,0.000395,0.000188,0.000185,0.000566,6e-06,7.7e-05,0.00016,0.000513,0.000297,1.7e-05
180,218,257,39,39,0,0,0,11,7.865796,0.0,6215.684144,251.934105,3020.200099,2291.85177,149.86,180,2,94,224640.0,19075.017,53.4055,218.7702,0.0,0.0,0.0,0.0,28,0.036697,0.995063,0.502977,0.500244,1.003842,0.39929,0.298484,0.3013,0.505191,0.04993,0.200176,0.299381,0.49803,0.400293,0.050492,0.002051,0.000464,0.000606,0.002281,0.000392,0.000196,0.000198,0.000561,6e-06,7.9e-05,0.00017,0.000496,0.000309,1.8e-05
200,220,261,41,41,0,0,0,8,4.684979,0.0,6212.41515,256.669424,3018.645597,2294.252351,166.62,200,2,94,249600.0,21278.397,57.0027,225.8443,0.0,0.0,0.0,0.0,28,0.036364,0.995095,0.503038,0.500522,1.003561,0.398985,0.298337,0.301154,0.50533,0.049924,0.200092,0.299891,0.497926,0.400926,0.050526,0.002044,0.000458,0.00062,0.002202,0.000392,0.000199,0.000202,0.000559,6e-06,8.1e-05,0.00018,0.000493,0.000314,1.8e-05
