tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
20,0,2,0.010204,2,0.968695,0.298374,0.382779,0.046517
20,1,2,0.010204,2,1.010646,0.295182,0.407641,0.050383
20,2,2,0.010204,2,1.020084,0.284927,0.418291,0.04883
20,3,2,0.010204,2,0.967039,0.303884,0.399024,0.050472
20,4,2,0.010204,2,1.019208,0.299674,0.403069,0.051449
20,5,2,0.010204,2,1.016969,0.30862,0.430292,0.052266
20,6,2,0.010204,2,0.999731,0.297219,0.389592,0.050883
20,7,2,0.010204,2,1.003493,0.291578,0.401721,0.046518
40,28,3,0.015152,3,0.996495,0.306918,0.392558,0.045698
40,42,3,0.015152,3,0.9781,0.304991,0.431215,0.05132
40,0,2,0.010101,2,0.968695,0.298374,0.382779,0.046517
40,1,2,0.010101,2,1.010646,0.295182,0.407641,0.050383
40,2,2,0.010101,2,1.020084,0.284927,0.418291,0.04883
40,3,2,0.010101,2,0.967039,0.303884,0.399024,0.050472
40,4,2,0.010101,2,1.019208,0.299674,0.403069,0.051449
40,5,2,0.010101,2,1.016969,0.30862,0.430292,0.052266
60,8,3,0.014634,3,0.953071,0.287085,0.385083,0.046472
60,11,3,0.014634,3,1.026604,0.30445,0.391054,0.055079
60,25,3,0.014634,3,1.075406,0.300769,0.412039,0.054141
60,28,3,0.014634,3,0.996495,0.306918,0.392558,0.045698
60,42,3,0.014634,3,0.9781,0.304991,0.431215,0.05132
60,58,3,0.014634,3,1.101642,0.281636,0.401062,0.051607
60,60,3,0.014634,3,0.980819,0.292592,0.407489,0.042089
60,61,3,0.014634,3,1.00808,0.290172,0.392328,0.053726
80,25,4,0.019231,4,1.067334,0.29493,0.406387,0.052565
80,28,4,0.019231,4,1.012063,0.310547,0.389295,0.045241
80,42,4,0.019231,4,0.972662,0.300808,0.420285,0.048751
80,58,4,0.019231,4,1.074095,0.288312,0.39609,0.052427
80,60,4,0.019231,4,1.001578,0.293213,0.412224,0.044091
80,61,4,0.019231,4,1.012831,0.287436,0.389688,0.053373
80,91,4,0.019231,4,1.004635,0.300901,0.41914,0.048174
80,8,3,0.014423,3,0.953071,0.287085,0.385083,0.046472
100,28,5,0.023585,5,1.014848,0.311938,0.388121,0.045073
100,61,5,0.023585,5,1.002641,0.283709,0.386149,0.053553
100,13,4,0.018868,4,1.03902,0.300587,0.401355,0.055198
100,22,4,0.018868,4,0.961808,0.310976,0.385002,0.05313
100,25,4,0.018868,4,1.067334,0.29493,0.406387,0.052565
100,33,4,0.018868,4,0.941407,0.282801,0.390864,0.05014
100,42,4,0.018868,4,0.972662,0.300808,0.420285,0.048751
100,58,4,0.018868,4,1.074095,0.288312,0.39609,0.052427
120,28,6,0.028037,6,1.000793,0.308962,0.39154,0.045378
120,61,5,0.023364,5,1.002641,0.283709,0.386149,0.053553
120,8,4,0.018692,4,0.966349,0.290832,0.391537,0.047599
120,11,4,0.018692,4,1.046811,0.307515,0.378291,0.054283
120,13,4,0.018692,4,1.03902,0.300587,0.401355,0.055198
120,22,4,0.018692,4,0.961808,0.310976,0.385002,0.05313
120,25,4,0.018692,4,1.067334,0.29493,0.406387,0.052565
120,33,4,0.018692,4,0.941407,0.282801,0.390864,0.05014
140,28,7,0.032558,7,0.994677,0.31402,0.39278,0.045024
140,42,5,0.023256,5,0.975826,0.300518,0.422014,0.049184
140,58,5,0.023256,5,1.061023,0.285527,0.402365,0.053094
140,60,5,0.023256,5,0.995943,0.301254,0.405098,0.046096
140,61,5,0.023256,5,1.002641,0.283709,0.386149,0.053553
140,3,4,0.018605,4,0.958678,0.303247,0.395832,0.050131
140,8,4,0.018605,4,0.966349,0.290832,0.391537,0.047599
140,11,4,0.018605,4,1.046811,0.307515,0.378291,0.054283
160,28,8,0.03653,8,0.987239,0.312337,0.393124,0.045357
160,22,5,0.022831,5,0.966728,0.313993,0.390249,0.051081
160,33,5,0.022831,5,0.956049,0.283573,0.390064,0.048626
160,42,5,0.022831,5,0.975826,0.300518,0.422014,0.049184
160,58,5,0.022831,5,1.061023,0.285527,0.402365,0.053094
160,60,5,0.022831,5,0.995943,0.301254,0.405098,0.046096
160,61,5,0.022831,5,1.002641,0.283709,0.386149,0.053553
160,3,4,0.018265,4,0.958678,0.303247,0.395832,0.050131
180,28,8,0.036697,8,0.987239,0.312337,0.393124,0.045357
180,33,6,0.027523,6,0.95419,0.283866,0.388619,0.049955
180,42,6,0.027523,6,0.971998,0.301438,0.420129,0.04905
180,11,5,0.022936,5,1.059788,0.297561,0.379542,0.05608
180,13,5,0.022936,5,1.030109,0.299523,0.395935,0.056536
180,22,5,0.022936,5,0.966728,0.313993,0.390249,0.051081
180,58,5,0.022936,5,1.061023,0.285527,0.402365,0.053094
180,60,5,0.022936,5,0.995943,0.301254,0.405098,0.046096
200,28,8,0.036364,8,0.987239,0.312337,0.393124,0.045357
200,33,6,0.027273,6,0.95419,0.283866,0.388619,0.049955
200,42,6,0.027273,6,0.971998,0.301438,0.420129,0.04905
200,60,6,0.027273,6,0.999401,0.30367,0.403456,0.04736
200,11,5,0.022727,5,1.059788,0.297561,0.379542,0.05608
200,13,5,0.022727,5,1.030109,0.299523,0.395935,0.056536
200,22,5,0.022727,5,0.966728,0.313993,0.390249,0.051081
200,43,5,0.022727,5,0.950041,0.282591,0.411661,0.050109
220,28,8,0.036199,8,0.987239,0.312337,0.393124,0.045357
220,33,8,0.036199,8,0.96868,0.282674,0.389823,0.049613
220,42,6,0.027149,6,0.971998,0.301438,0.420129,0.04905
220,60,6,0.027149,7,1.005439,0.315186,0.395651,0.050413
220,11,5,0.022624,5,1.059788,0.297561,0.379542,0.05608
220,13,5,0.022624,5,1.030109,0.299523,0.395935,0.056536
220,22,5,0.022624,5,0.966728,0.313993,0.390249,0.051081
220,43,5,0.022624,5,0.950041,0.282591,0.411661,0.050109
240,33,8,0.036199,8,0.96868,0.282674,0.389823,0.049613
240,28,7,0.031674,8,0.981703,0.3116,0.39451,0.045493
240,42,6,0.027149,7,0.99518,0.305144,0.422205,0.050282
240,43,6,0.027149,6,0.968867,0.286458,0.414097,0.049801
240,60,6,0.027149,7,1.005439,0.315186,0.395651,0.050413
240,3,5,0.022624,5,0.959434,0.305017,0.394361,0.05282
240,11,5,0.022624,5,1.059788,0.297561,0.379542,0.05608
240,13,5,0.022624,5,1.030109,0.299523,0.395935,0.056536
260,33,8,0.037037,8,0.96868,0.282674,0.389823,0.049613
260,60,7,0.032407,8,1.013747,0.322231,0.389011,0.051761
260,28,6,0.027778,8,0.990234,0.314519,0.392155,0.045258
260,43,6,0.027778,6,0.968867,0.286458,0.414097,0.049801
260,81,6,0.027778,6,0.949352,0.291748,0.381837,0.052577
260,3,5,0.023148,5,0.959434,0.305017,0.394361,0.05282
260,11,5,0.023148,5,1.059788,0.297561,0.379542,0.05608
260,16,5,0.023148,5,1.024543,0.303813,0.391306,0.051075
280,33,10,0.047847,10,0.975567,0.282191,0.387898,0.050317
280,60,7,0.033493,8,1.013747,0.322231,0.389011,0.051761
280,28,6,0.028708,8,0.990234,0.314519,0.392155,0.045258
280,43,6,0.028708,6,0.968867,0.286458,0.414097,0.049801
280,81,6,0.028708,6,0.949352,0.291748,0.381837,0.052577
280,42,5,0.023923,7,1.002214,0.301194,0.417061,0.049478
280,75,5,0.023923,5,1.004761,0.283134,0.40377,0.053407
280,8,4,0.019139,4,0.966349,0.290832,0.391537,0.047599
300,33,8,0.038647,10,0.980617,0.282362,0.385137,0.050851
300,60,7,0.033816,8,1.013747,0.322231,0.389011,0.051761
