condition,seed,final_tick,final_pop,completed,mean_body_size,vent_frac_mean,hi_q_frac_mean,move_mean,q_mean,dq_abs_mean,sigma_eff_mean,light_flow_cum,chem_flow_cum,light_supply_cum,deaths_starvation,n_lineages,band_d0_1_n,band_d0_1_chem_e,band_d0_1_light_e,band_d0_1_sigma,band_d1_2_n,band_d1_2_chem_e,band_d1_2_light_e,band_d1_2_sigma,band_d2_4_n,band_d2_4_chem_e,band_d2_4_light_e,band_d2_4_sigma,band_d4plus_n,band_d4plus_chem_e,band_d4plus_light_e,band_d4plus_sigma
b2_chem_only_chemspec_control,16,10000,24,True,0.650701,0.759987,1.0,0.566483,0.151862,0.029132,0.5,0.0,142641.9687,0.0,786,1,24178.0,15574.5703,0.0,0.5,134730.0,96989.5381,0.0,0.5,96058.0,30077.8605,0.0,0.5,1109.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,17,10000,20,True,1.152117,0.795723,1.0,0.505468,0.153913,0.028181,0.5,0.0,177616.01,0.0,785,2,23588.0,18086.0072,0.0,0.5,157578.0,124046.6439,0.0,0.5,97123.0,35483.36,0.0,0.5,987.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,18,10000,73,True,0.64163,0.779992,1.0,0.605662,0.155061,0.030311,0.5,0.0,244821.8784,0.0,1237,3,39424.0,25738.2329,0.0,0.5,237742.0,164813.5711,0.0,0.5,165359.0,54270.0749,0.0,0.5,2095.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,19,10000,15,True,0.750218,0.746216,1.0,0.619378,0.171745,0.031939,0.5,0.0,129769.3975,0.0,679,1,18620.0,14856.6709,0.0,0.5,106931.0,87676.1038,0.0,0.5,81694.0,27236.6231,0.0,0.5,1450.0,0.0,0.0,0.5
b2_chem_only_chemspec_control,20,10000,122,True,0.502685,0.830448,1.0,0.547591,0.141103,0.024958,0.5,0.0,331978.2251,0.0,1776,2,75112.0,31068.4407,0.0,0.5,461602.0,238607.0622,0.0,0.5,231315.0,62302.7258,0.0,0.5,1378.0,0.0,0.0,0.5
b2_chem_only_chemspec_treatment,1,10000,103,True,0.767345,0.888442,1.0,0.695057,0.138739,0.028213,0.523482,0.0,505934.2322,0.0,1152,5,77276.0,44289.7901,0.0,0.522778,549285.0,358710.3738,0.0,0.506998,231806.0,102934.0702,0.0,0.560325,401.0,0.0,0.0,0.536468
b2_chem_only_chemspec_treatment,2,10000,117,True,0.707278,0.846047,1.0,0.639954,0.126187,0.027066,0.526792,0.0,470608.155,0.0,1484,4,68995.0,40915.6766,0.0,0.512822,474874.0,305850.9693,0.0,0.50716,288959.0,123841.5083,0.0,0.559465,784.0,0.0,0.0,0.533543
b2_chem_only_chemspec_treatment,3,10000,111,True,0.708955,0.841672,1.0,0.672017,0.129131,0.028483,0.528174,0.0,457894.253,0.0,1376,4,64118.0,40114.8723,0.0,0.510695,441370.0,297559.0318,0.0,0.508562,272615.0,120220.3477,0.0,0.561511,984.0,0.0,0.0,0.525771
b2_chem_only_chemspec_treatment,4,10000,105,True,0.819481,0.860488,1.0,0.688285,0.136144,0.028958,0.526807,0.0,483582.9102,0.0,1185,5,71545.0,46398.6564,0.0,0.50986,449405.0,308817.7697,0.0,0.508316,272461.0,128366.4857,0.0,0.55889,720.0,0.0,0.0,0.532817
b2_chem_only_chemspec_treatment,5,10000,107,True,0.744756,0.846708,1.0,0.713942,0.133118,0.029012,0.528498,0.0,482498.0123,0.0,1346,5,76532.0,46127.6741,0.0,0.514103,462300.0,302661.3029,0.0,0.507063,302173.0,133709.0349,0.0,0.561683,1164.0,0.0,0.0,0.532565
b2_chem_only_chemspec_treatment,6,10000,94,True,0.82106,0.836584,1.0,0.713232,0.131112,0.029469,0.528,0.0,456692.9152,0.0,1313,4,62707.0,39936.1227,0.0,0.507713,433291.0,296153.5911,0.0,0.508145,275661.0,120603.2003,0.0,0.560596,722.0,0.0,0.0,0.526816
b2_chem_only_chemspec_treatment,7,10000,82,True,0.841914,0.834564,1.0,0.727525,0.130677,0.029679,0.528659,0.0,455986.2001,0.0,1279,4,60298.0,39677.6876,0.0,0.506272,423995.0,294771.3261,0.0,0.509493,276783.0,121537.1859,0.0,0.560288,760.0,0.0,0.0,0.536181
b2_chem_only_chemspec_treatment,8,10000,113,True,0.6748,0.849601,1.0,0.671029,0.13317,0.028406,0.528071,0.0,482285.1699,0.0,1378,4,75789.0,46213.1016,0.0,0.509382,461247.0,302985.8865,0.0,0.50768,298122.0,133086.183,0.0,0.561443,837.0,0.0,0.0,0.538873
b2_chem_only_chemspec_treatment,9,10000,115,True,0.697554,0.840546,1.0,0.699664,0.128939,0.028719,0.528731,0.0,471298.6708,0.0,1444,4,68206.0,41682.7722,0.0,0.508984,484030.0,311541.1294,0.0,0.509736,285609.0,118074.7686,0.0,0.563745,1010.0,0.0,0.0,0.532349
